GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,68134.0,68251.0,68162.5,68152.5,98.0,98.0,98.0,98.0,73.0,85.0,79.88,83.0,2216.95,7025.85,6445.16,6967.38,19.68,62.37,57.22,61.86,0.0,98.0,80.56,96.0,
NVIDIA GeForce GTX 1080 Ti,dict1,447.0,447.0,447.0,447.0,46.0,46.0,46.0,46.0,59.0,59.0,59.0,59.0,1624.78,6280.43,3952.82,3949.41,14.42,55.76,35.09,35.06,3.0,98.0,31.17,4.0,
NVIDIA GeForce GTX 1080 Ti,dict2,44.0,48.0,45.5,45.0,63.0,68.0,66.61,67.0,59.0,60.0,59.17,59.0,1670.41,6312.77,5822.42,6311.15,14.83,56.04,51.69,56.03,0.0,77.0,56.63,68.0,
NVIDIA GeForce GTX 1080 Ti,dict3,57527.0,62070.0,58536.17,58387.5,68.0,97.0,93.5,97.0,81.0,85.0,83.5,83.5,1693.34,6445.31,5950.65,6330.2,15.03,57.22,52.83,56.2,0.0,98.0,81.78,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,69596.0,72317.0,70542.5,70215.0,97.0,98.0,97.83,98.0,82.0,85.0,83.56,83.5,1138.23,5786.46,5206.06,5786.46,10.1,51.37,46.22,51.37,0.0,99.0,81.71,98.0,
NVIDIA GeForce GTX 1080 Ti,force,4.0,4.0,4.0,4.0,67.0,70.0,67.78,67.0,53.0,54.0,53.33,53.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,20770.0,20772.0,20771.0,20771.0,92.0,93.0,92.75,93.0,56.0,56.0,56.0,56.0,1144.04,5852.84,3551.42,3568.84,10.16,51.96,31.53,31.68,0.0,98.0,43.5,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,68228.0,70229.0,69026.54,68788.0,80.0,81.0,80.23,80.0,85.0,87.0,85.85,86.0,327.78,5013.68,3019.18,5013.68,4.0,61.2,36.86,61.2,0.0,79.0,40.36,59.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,93.0,94.0,93.78,94.0,64.0,65.0,64.44,64.0,61.0,61.0,61.0,61.0,338.56,4958.46,3968.62,4958.46,4.13,60.53,48.45,60.53,0.0,64.0,52.21,64.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,89197.0,91465.0,90257.33,90159.0,93.0,97.0,94.44,94.0,84.0,88.0,86.78,87.0,338.56,4958.46,4355.91,4958.46,4.13,60.53,53.17,60.53,0.0,94.0,79.26,94.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,82577.0,87045.0,84516.06,84151.0,94.0,94.0,94.0,94.0,86.0,89.0,87.71,88.0,338.56,4958.46,4355.95,4958.46,4.13,60.53,53.17,60.53,0.0,95.0,79.04,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,9.0,7300.0,3548.56,336.0,52.0,74.0,66.76,65.0,64.0,68.0,64.72,65.0,338.56,5024.46,3790.21,5024.46,4.13,61.33,46.27,61.33,0.0,74.0,45.2,64.0,
