GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,359829022.0,361644067.0,360388224.0,360155371.0,94.0,94.0,94.0,94.0,62.0,63.0,62.89,63.0,2211.14,5229.31,4728.26,5229.31,19.63,46.43,41.98,46.43,6.0,98.0,76.33,94.5,
NVIDIA GeForce GTX 1080 Ti,dict3,35724857.0,35835730.0,35780293.5,35780293.5,34.0,34.0,34.0,34.0,70.0,70.0,70.0,70.0,1151.98,2229.96,1922.0,2229.96,10.23,19.8,17.06,19.8,0.0,25.0,13.71,21.0,
NVIDIA GeForce GTX 1080 Ti,dict4,82344635.0,84135874.0,82917394.4,82655860.5,35.0,51.0,41.0,39.0,66.0,67.0,66.3,66.0,1145.16,2230.46,2075.67,2230.46,10.17,19.8,18.43,19.8,0.0,49.0,30.5,36.5,
NVIDIA GeForce GTX 1080 Ti,force,193447065.0,324964905.0,312421650.23,324889055.0,96.0,97.0,96.08,96.0,58.0,61.0,60.15,60.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,171632313.0,185568512.0,175025694.9,174142278.5,88.0,95.0,93.0,94.0,57.0,58.0,57.8,58.0,1146.19,4172.84,3051.41,4172.84,10.18,37.05,27.09,37.05,0.0,99.0,42.58,26.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,557052242.0,570427341.0,562165100.62,560776301.0,90.0,91.0,90.31,90.0,83.0,85.0,84.38,84.0,327.78,3333.68,2037.09,3333.68,4.0,40.69,24.87,40.69,0.0,92.0,48.96,85.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,40126049.0,40654240.0,40390144.5,40390144.5,25.0,27.0,26.0,26.0,59.0,59.0,59.0,59.0,338.56,2070.46,1471.99,2006.46,4.13,25.27,17.97,24.49,0.0,34.0,16.67,21.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,94000768.0,97466320.0,95164384.0,95010809.0,33.0,38.0,34.88,34.0,70.0,75.0,72.38,72.5,338.56,2070.46,1670.94,2070.46,4.13,25.27,20.4,25.27,0.0,40.0,29.46,35.0,
NVIDIA GeForce RTX 2080 SUPER,force,139790651.0,604206627.0,560464980.91,589644649.0,59.0,94.0,87.48,93.0,74.0,86.0,82.96,85.0,338.56,3344.46,2370.07,3344.46,4.13,40.83,28.93,40.83,0.0,93.0,54.43,76.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,502827138.0,594124795.0,563676661.94,579108418.0,54.0,93.0,85.65,93.0,72.0,85.0,82.18,84.0,338.56,3344.46,2159.17,3344.46,4.13,40.83,26.36,40.83,0.0,93.0,42.63,32.0,
NVIDIA GeForce RTX 3070,combinator,942976016.0,956217393.0,947655955.23,946655230.0,82.0,85.0,83.15,83.0,75.0,80.0,78.08,78.0,356.11,3378.07,2090.67,3378.07,4.35,41.24,25.52,41.24,0.0,87.0,45.59,82.0,
NVIDIA GeForce RTX 3070,dict4,196231242.0,203874250.0,199821637.33,199359420.0,25.0,31.0,28.0,28.0,71.0,71.0,71.0,71.0,356.11,2058.07,1420.08,2058.07,4.35,25.12,17.33,25.12,0.0,31.0,18.62,28.0,
NVIDIA GeForce RTX 3070,force,350971499.0,1095524950.0,1035982819.58,1091535576.0,69.0,97.0,91.95,93.0,71.0,78.0,75.11,75.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,843270988.0,1111570563.0,1061735077.38,1100408816.5,39.0,94.0,86.5,93.0,66.0,77.0,73.31,74.0,511.75,3532.73,2079.71,2098.73,6.25,43.12,25.39,25.62,0.0,100.0,33.96,0.5,
NVIDIA GeForce RTX 3090,combinator,1615769107.0,1634971005.0,1622410052.23,1620530489.0,83.0,84.0,83.08,83.0,84.0,87.0,85.46,86.0,499.16,3621.83,3101.53,3621.83,2.03,14.74,12.62,14.74,0.0,93.0,68.44,85.0,
NVIDIA GeForce RTX 3090,dict4,143363474.0,150257794.0,147484899.2,148758839.0,8.0,21.0,15.6,17.0,75.0,76.0,75.6,76.0,542.01,3553.34,2459.26,3553.34,2.21,14.46,10.01,14.46,0.0,26.0,10.45,15.0,
NVIDIA GeForce RTX 3090,force,529686693.0,1796569164.0,1684433587.4,1789676526.0,88.0,95.0,92.33,92.0,79.0,84.0,82.2,83.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,1333955400.0,1492003489.0,1446267693.15,1447593635.0,47.0,82.0,76.08,77.0,78.0,85.0,83.0,83.0,530.66,3653.34,1562.34,787.34,2.16,14.87,6.36,3.2,0.0,97.0,14.81,0.0,
NVIDIA RTX A4000,combinator,862991059.0,877680662.0,868242273.31,867587448.0,84.0,87.0,84.69,85.0,80.0,86.0,83.38,84.0,759.67,3809.64,2615.19,3809.64,4.64,23.26,15.97,23.26,0.0,94.0,50.81,90.0,
NVIDIA RTX A4000,dict4,184575678.0,187796558.0,186551038.33,187280879.0,25.0,34.0,31.0,34.0,81.0,82.0,81.67,82.0,889.66,2665.62,2392.55,2665.62,5.43,16.28,14.61,16.28,1.0,37.0,20.0,19.0,
NVIDIA RTX A4000,force,343523264.0,885033900.0,848310189.58,881805744.0,88.0,97.0,89.89,89.0,82.0,88.0,85.26,85.0,,,,,,,,,,,,,
