GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,143881.0,144012.0,143930.88,143916.0,97.0,98.0,97.5,97.5,60.0,61.0,60.5,60.5,1572.73,5203.44,4793.62,5193.69,13.96,46.2,42.56,46.11,0.0,98.0,81.39,98.0,
NVIDIA GeForce GTX 1080 Ti,dict2,211.0,212.0,211.5,211.5,95.0,95.0,95.0,95.0,60.0,60.0,60.0,60.0,1655.99,5209.29,3877.02,5209.29,14.7,46.25,34.42,46.25,0.0,95.0,47.5,47.5,
NVIDIA GeForce GTX 1080 Ti,dict3,160066.0,160398.0,160220.71,160190.0,87.0,99.0,96.24,98.0,82.0,83.0,82.71,83.0,1142.23,4688.59,4380.24,4688.59,10.14,41.62,38.89,41.62,0.0,98.0,82.04,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,189612.0,190412.0,189912.33,189814.5,85.0,97.0,94.94,96.0,78.0,79.0,78.72,79.0,1145.81,4698.46,4214.25,4698.46,10.17,41.71,37.41,41.71,0.0,98.0,83.91,97.0,
NVIDIA GeForce GTX 1080 Ti,force,12.0,75765.0,31817.62,12645.0,82.0,100.0,90.48,89.0,56.0,58.0,56.72,56.0,1147.29,4768.09,2966.43,1288.09,10.19,42.33,26.34,11.44,0.0,98.0,43.31,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,79732.0,79839.0,79796.25,79807.0,96.0,100.0,98.5,100.0,52.0,53.0,52.62,53.0,1146.19,4764.84,2468.15,1284.84,10.18,42.3,21.91,11.41,0.0,98.0,29.09,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,446463.0,459006.0,451580.17,451135.5,95.0,96.0,95.58,96.0,84.0,89.0,86.58,87.0,327.78,4223.68,1967.79,445.68,4.0,51.56,24.02,5.44,0.0,96.0,36.51,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,428506.0,448015.0,435448.0,433864.0,92.0,96.0,94.33,95.0,85.0,89.0,86.89,87.0,338.56,4168.46,3646.7,4168.46,4.13,50.88,44.52,50.88,0.0,92.0,75.77,89.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,404252.0,416801.0,407728.88,406417.0,95.0,96.0,95.35,95.0,87.0,88.0,87.71,88.0,338.56,4168.46,3803.75,4168.46,4.13,50.88,46.43,50.88,0.0,96.0,82.14,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,1639.0,424686.0,362110.0,411000.5,65.0,95.0,87.68,92.0,63.0,86.0,81.5,84.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,452776.0,459526.0,455493.75,454931.0,95.0,96.0,95.5,95.5,82.0,87.0,85.38,86.0,338.56,4234.46,1747.81,456.46,4.13,51.69,21.34,5.57,0.0,96.0,31.62,0.0,
NVIDIA GeForce RTX 3070,combinator,506001.0,509523.0,507161.38,507087.0,95.0,95.0,95.0,95.0,72.0,78.0,75.38,76.0,356.11,5156.07,2510.86,510.07,4.35,62.94,30.65,6.23,0.0,94.0,37.19,0.0,
NVIDIA GeForce RTX 3070,dict3,481301.0,494017.0,486109.82,485266.0,81.0,96.0,92.76,95.0,82.0,84.0,83.06,83.0,356.11,5090.07,4444.62,5090.07,4.35,62.13,54.26,62.13,0.0,94.0,75.82,94.0,
NVIDIA GeForce RTX 3070,dict4,489426.0,499399.0,493128.88,492226.0,91.0,96.0,94.88,95.0,82.0,84.0,82.88,83.0,356.11,5090.07,4460.48,5090.07,4.35,62.13,54.45,62.13,0.0,93.0,75.09,92.0,
NVIDIA GeForce RTX 3070,force,1537.0,718118.0,424847.35,507413.0,49.0,95.0,86.96,93.0,62.0,76.0,71.09,72.0,356.11,5156.07,3126.45,5156.07,4.35,62.94,38.16,62.94,0.0,94.0,45.28,54.5,
NVIDIA GeForce RTX 3070,hybrid,508083.0,509448.0,508627.25,508524.0,95.0,95.0,95.0,95.0,72.0,75.0,73.75,74.0,489.27,5289.23,2141.35,643.23,5.97,64.57,26.14,7.85,0.0,95.0,31.18,0.0,
NVIDIA GeForce RTX 3090,combinator,818022.0,824928.0,821036.46,820444.0,94.0,96.0,94.69,95.0,82.0,86.0,84.23,84.0,499.16,8985.83,7987.83,8985.83,2.03,36.56,32.5,36.56,0.0,96.0,78.24,95.0,
NVIDIA GeForce RTX 3090,dict3,762228.0,786053.0,768044.5,765521.5,72.0,97.0,95.11,96.0,85.0,88.0,86.17,86.0,541.8,8963.97,7912.16,8963.97,2.2,36.47,32.19,36.47,0.0,96.0,76.25,95.0,
NVIDIA GeForce RTX 3090,dict4,783242.0,804041.0,788495.18,785783.0,95.0,97.0,96.29,96.0,86.0,87.0,86.29,86.0,541.8,8963.97,8198.35,8963.84,2.2,36.47,33.36,36.47,0.0,96.0,82.5,95.0,
NVIDIA GeForce RTX 3090,force,1306.0,1189019.0,667793.67,824504.0,62.0,95.0,89.05,94.0,71.0,84.0,79.48,81.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,761989.0,770230.0,764250.88,762585.5,92.0,94.0,92.62,92.5,80.0,82.0,80.75,80.5,530.66,9017.34,3376.57,787.34,2.16,36.69,13.74,3.2,0.0,99.0,30.45,0.0,
NVIDIA RTX A4000,combinator,423421.0,428449.0,425536.15,425366.0,94.0,94.0,94.0,94.0,78.0,84.0,81.62,82.0,744.04,5750.01,3262.39,2439.01,4.54,35.11,19.92,14.89,0.0,99.0,45.59,13.5,
NVIDIA RTX A4000,dict3,419785.0,422720.0,420789.5,420704.5,81.0,96.0,91.33,95.5,90.0,91.0,90.33,90.0,842.96,5782.93,3323.91,1004.93,5.15,35.31,20.3,6.14,0.0,98.0,44.1,1.0,
NVIDIA RTX A4000,dict4,424628.0,425599.0,424928.0,424831.0,95.0,97.0,96.2,96.0,90.0,91.0,90.4,90.0,828.2,5770.94,5062.9,5766.19,5.06,35.24,30.92,35.21,2.0,98.0,75.36,97.0,
NVIDIA RTX A4000,force,1796.0,450319.0,368056.78,429229.0,63.0,97.0,90.48,94.0,72.0,86.0,79.83,80.0,743.73,5749.7,3518.92,5749.7,4.54,35.11,21.49,35.11,0.0,95.0,45.22,69.0,
NVIDIA RTX A4000,hybrid,453014.0,456973.0,454634.88,454301.5,95.0,96.0,95.62,96.0,78.0,82.0,80.25,80.5,1292.56,6303.3,3192.92,1438.8,7.89,38.49,19.5,8.79,0.0,98.0,41.79,21.0,
