GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,882.0,883.0,882.57,883.0,99.0,100.0,99.29,99.0,58.0,58.0,58.0,58.0,2298.22,9842.25,8571.12,9822.4,20.4,87.38,76.09,87.2,0.0,100.0,79.56,99.0,
NVIDIA GeForce GTX 1080 Ti,dict1,89.0,89.0,89.0,89.0,99.0,99.0,99.0,99.0,59.0,59.0,59.0,59.0,1639.0,9109.42,7615.91,9109.42,14.55,80.87,67.61,80.87,2.0,99.0,70.0,99.0,
NVIDIA GeForce GTX 1080 Ti,dict2,8.0,12.0,9.88,9.5,99.0,100.0,99.62,100.0,52.0,56.0,53.25,53.0,1533.08,8997.73,8024.18,8997.73,13.61,79.88,71.24,79.88,0.0,100.0,81.91,99.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1082.0,1085.0,1083.94,1084.0,99.0,100.0,99.06,99.0,71.0,73.0,72.0,72.0,1104.73,8570.02,7596.35,8570.02,9.81,76.08,67.44,76.08,0.0,100.0,81.87,99.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1084.0,1086.0,1085.35,1086.0,99.0,100.0,99.18,99.0,72.0,73.0,72.18,72.0,1147.91,8613.21,7934.58,8613.21,10.19,76.47,70.44,76.47,0.0,100.0,85.64,99.0,
NVIDIA GeForce GTX 1080 Ti,force,361.0,362.0,361.5,361.5,99.0,100.0,99.62,100.0,53.0,54.0,53.62,54.0,1145.0,8675.65,4479.64,1283.65,10.17,77.02,39.77,11.4,0.0,100.0,38.78,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,353.0,355.0,354.67,355.0,100.0,100.0,100.0,100.0,55.0,56.0,55.67,56.0,1132.04,8665.77,4649.09,1271.77,10.05,76.93,41.27,11.29,0.0,100.0,41.25,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1624.0,1630.0,1627.33,1627.5,99.0,99.0,99.0,99.0,80.0,84.0,82.75,83.0,327.78,6781.68,3817.35,6781.68,4.0,82.78,46.6,82.78,0.0,99.0,48.17,29.5,
NVIDIA GeForce RTX 2080 SUPER,dict1,120.0,121.0,120.2,120.0,99.0,99.0,99.0,99.0,59.0,60.0,59.6,60.0,327.78,6715.68,2817.49,445.68,4.0,81.98,34.39,5.44,0.0,99.0,33.86,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,13.0,13.0,13.0,13.0,98.0,99.0,98.88,99.0,61.0,61.0,61.0,61.0,338.56,6726.46,5893.34,6726.46,4.13,82.11,71.94,82.11,0.0,99.0,83.74,99.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1599.0,1621.0,1609.12,1608.0,99.0,99.0,99.0,99.0,83.0,86.0,84.62,85.0,338.56,6726.46,5855.83,6726.46,4.13,82.11,71.48,82.11,0.0,99.0,84.14,99.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1518.0,1538.0,1524.41,1523.0,98.0,99.0,98.94,99.0,86.0,88.0,86.59,87.0,338.56,6726.46,5893.73,6726.46,4.13,82.11,71.94,82.11,1.0,99.0,84.61,99.0,
NVIDIA GeForce RTX 2080 SUPER,force,1638.0,1638.0,1638.0,1638.0,99.0,99.0,99.0,99.0,76.0,79.0,77.75,78.0,338.56,6792.46,3191.43,456.46,4.13,82.92,38.96,5.57,0.0,99.0,36.04,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1634.0,1636.0,1635.14,1635.0,99.0,99.0,99.0,99.0,78.0,82.0,80.57,81.0,338.56,6792.46,3230.75,456.46,4.13,82.92,39.44,5.57,0.0,99.0,39.48,0.0,
NVIDIA GeForce RTX 3070,combinator,1676.0,1680.0,1678.75,1679.0,99.0,100.0,99.25,99.0,70.0,73.0,71.5,71.5,356.11,6636.07,3566.61,3629.58,4.35,81.01,43.54,44.31,0.0,99.0,49.1,45.5,
NVIDIA GeForce RTX 3070,dict1,126.0,126.0,126.0,126.0,99.0,99.0,99.0,99.0,58.0,58.0,58.0,58.0,356.11,6570.07,2796.74,510.07,4.35,80.2,34.14,6.23,0.0,99.0,37.05,0.0,
NVIDIA GeForce RTX 3070,dict2,14.0,14.0,14.0,14.0,98.0,99.0,98.82,99.0,61.0,61.0,61.0,61.0,356.11,6570.07,6005.21,6570.07,4.35,80.2,73.31,80.2,0.0,99.0,88.59,98.0,
NVIDIA GeForce RTX 3070,dict3,1653.0,1663.0,1659.82,1660.0,98.0,99.0,98.94,99.0,79.0,80.0,79.76,80.0,356.11,6570.07,5779.39,6570.07,4.35,80.2,70.55,80.2,0.0,99.0,81.18,99.0,
NVIDIA GeForce RTX 3070,dict4,1656.0,1663.0,1661.12,1662.0,99.0,99.0,99.0,99.0,80.0,80.0,80.0,80.0,356.11,6570.07,5722.8,6570.07,4.35,80.2,69.86,80.2,0.0,100.0,80.91,99.0,
NVIDIA GeForce RTX 3070,force,1682.0,1687.0,1685.38,1686.0,99.0,99.0,99.0,99.0,66.0,68.0,67.12,67.0,356.11,6636.07,3161.07,510.07,4.35,81.01,38.59,6.23,0.0,99.0,37.29,0.0,
NVIDIA GeForce RTX 3070,hybrid,1677.0,1679.0,1678.29,1678.0,92.0,99.0,97.86,99.0,69.0,71.0,70.14,70.0,505.63,6785.46,3333.91,659.46,6.17,82.83,40.7,8.05,0.0,100.0,39.0,0.0,
NVIDIA GeForce RTX 3090,combinator,3834.0,3842.0,3838.33,3838.5,98.0,100.0,98.5,98.0,82.0,84.0,83.08,83.0,499.16,22121.83,19719.9,22121.83,2.03,90.01,80.24,90.01,0.0,100.0,81.94,98.0,
NVIDIA GeForce RTX 3090,dict1,185.0,185.0,185.0,185.0,97.0,97.0,97.0,97.0,71.0,71.0,71.0,71.0,499.91,22056.58,14871.32,22056.58,2.03,89.75,60.51,89.75,0.0,99.0,54.11,94.0,
NVIDIA GeForce RTX 3090,dict2,21.0,21.0,21.0,21.0,96.0,99.0,97.59,98.0,74.0,75.0,74.94,75.0,499.91,22056.58,19244.95,22056.58,2.03,89.75,78.31,89.75,0.0,99.0,81.52,97.0,
NVIDIA GeForce RTX 3090,dict3,3630.0,3649.0,3634.24,3631.0,98.0,100.0,98.88,99.0,84.0,85.0,84.41,84.0,541.8,22101.78,20227.2,22101.78,2.2,89.93,82.3,89.93,0.0,100.0,85.61,99.0,
NVIDIA GeForce RTX 3090,force,3865.0,3872.0,3868.38,3867.5,98.0,99.0,98.12,98.0,79.0,80.0,79.5,79.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,3864.0,3872.0,3867.0,3867.0,97.0,99.0,98.29,98.0,79.0,81.0,80.0,80.0,428.43,22050.97,17042.73,22050.97,1.74,89.73,69.35,89.73,0.0,100.0,66.46,99.0,
NVIDIA RTX A4000,combinator,2127.0,2134.0,2131.33,2132.5,98.0,99.0,98.83,99.0,78.0,84.0,81.42,81.5,743.42,13453.39,7697.32,13453.39,4.54,82.15,47.0,82.15,0.0,100.0,52.32,87.0,
NVIDIA RTX A4000,dict1,185.0,185.0,185.0,185.0,98.0,98.0,98.0,98.0,66.0,66.0,66.0,66.0,743.42,13387.39,9173.17,13387.39,4.54,81.75,56.02,81.75,0.0,99.0,55.11,98.0,
NVIDIA RTX A4000,dict2,21.0,21.0,21.0,21.0,97.0,99.0,98.25,98.0,75.0,75.0,75.0,75.0,702.82,13387.44,11710.12,13346.79,4.29,81.75,71.51,81.5,0.0,99.0,82.43,99.0,
NVIDIA RTX A4000,dict3,1954.0,1992.0,1968.76,1966.0,98.0,100.0,98.94,99.0,89.0,90.0,89.53,90.0,878.06,13538.98,8521.23,13510.48,5.36,82.68,52.03,82.5,0.0,100.0,59.2,99.0,
NVIDIA RTX A4000,dict4,1928.0,1937.0,1931.85,1933.0,98.0,100.0,99.08,99.0,90.0,91.0,90.15,90.0,790.26,13438.98,11629.85,13434.23,4.83,82.07,71.02,82.04,3.0,100.0,79.76,99.0,
NVIDIA RTX A4000,force,2132.0,2140.0,2135.12,2134.0,98.0,100.0,99.0,99.0,77.0,81.0,79.5,79.5,743.73,13453.7,6630.29,905.7,4.54,82.15,40.49,5.53,0.0,100.0,41.38,0.0,
NVIDIA RTX A4000,hybrid,2131.0,2141.0,2134.0,2132.5,98.0,100.0,98.75,99.0,78.0,82.0,80.0,80.0,,,,,,,,,,,,,
