GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,64943.0,65081.0,64977.38,64963.0,96.0,97.0,96.88,97.0,67.0,68.0,67.62,68.0,2209.73,7252.94,6692.38,7252.38,19.62,64.39,59.41,64.39,6.0,97.0,76.67,97.0,
NVIDIA GeForce GTX 1080 Ti,dict2,62.0,68.0,65.14,64.5,70.0,87.0,84.36,86.0,58.0,61.0,59.36,59.0,1639.41,6621.64,5955.14,6619.08,14.55,58.79,52.87,58.76,2.0,91.0,65.27,85.0,
NVIDIA GeForce GTX 1080 Ti,dict4,78599.0,82626.0,79481.78,79130.5,96.0,97.0,96.89,97.0,82.0,85.0,83.67,83.5,1145.16,6122.46,5500.48,6122.46,10.17,54.35,48.83,54.35,0.0,98.0,80.62,97.0,
NVIDIA GeForce GTX 1080 Ti,force,5.0,5.0,5.0,5.0,76.0,78.0,76.67,76.0,54.0,55.0,54.22,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,33222.0,33243.0,33235.14,33239.0,96.0,96.0,96.0,96.0,60.0,61.0,60.57,61.0,1146.19,6188.84,4067.33,6188.84,10.18,54.94,36.11,54.94,0.0,97.0,47.67,44.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,74403.0,76128.0,75202.92,75325.0,72.0,75.0,73.62,74.0,84.0,86.0,85.54,86.0,327.78,5349.68,3417.76,5349.68,4.0,65.3,41.72,65.3,0.0,85.0,48.08,83.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,88.0,88.0,88.0,88.0,58.0,59.0,58.33,58.0,61.0,61.0,61.0,61.0,338.56,5294.46,4232.62,5294.46,4.13,64.63,51.67,64.63,0.0,59.0,47.29,59.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,100589.0,104643.0,102374.71,102696.0,95.0,96.0,95.82,96.0,86.0,89.0,87.18,87.0,338.56,5294.46,4648.12,5294.46,4.13,64.63,56.74,64.63,1.0,96.0,81.48,96.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,94494.0,99063.0,96173.11,96316.0,96.0,96.0,96.0,96.0,87.0,88.0,87.78,88.0,338.56,5294.46,4843.97,5294.46,4.13,64.63,59.13,64.63,0.0,96.0,82.32,96.0,
NVIDIA GeForce RTX 2080 SUPER,force,8.0,3783.0,1871.09,319.0,58.0,73.0,61.74,61.0,64.0,67.0,64.3,64.0,,,,,,,,,,,,,
