GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,567952159.0,571843597.0,569267670.12,568859837.5,92.0,93.0,92.88,93.0,83.0,84.0,83.5,83.5,2229.2,5256.5,4920.17,5256.5,19.79,46.67,43.68,46.67,6.0,98.0,80.83,96.0,
NVIDIA GeForce GTX 1080 Ti,dict3,37455779.0,37676029.0,37565904.0,37565904.0,21.0,32.0,26.5,26.5,69.0,69.0,69.0,69.0,1151.6,2236.9,1875.73,2236.9,10.22,19.86,16.65,19.86,0.0,23.0,10.83,9.5,
NVIDIA GeForce GTX 1080 Ti,dict4,31142737.0,31764187.0,31422419.33,31374135.5,14.0,22.0,18.61,19.0,60.0,62.0,60.44,60.0,1145.16,2230.46,2075.48,2230.46,10.17,19.8,18.43,19.8,0.0,36.0,24.38,28.0,
NVIDIA GeForce GTX 1080 Ti,force,89446586.0,266039001.0,248719891.46,263830485.0,82.0,97.0,92.54,93.0,57.0,62.0,60.38,61.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,190725199.0,198876918.0,193846434.45,192499330.0,94.0,95.0,94.09,94.0,57.0,59.0,58.27,58.0,1146.19,4172.84,3008.4,4172.84,10.18,37.05,26.71,37.05,0.0,97.0,34.07,1.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,875721481.0,915643648.0,891984797.5,889171602.5,93.0,93.0,93.0,93.0,86.0,88.0,86.83,87.0,327.78,3333.68,1927.34,3333.68,4.0,40.69,23.53,40.69,0.0,93.0,45.31,22.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,24951990.0,26150252.0,25428060.0,25304999.0,19.0,23.0,21.75,22.5,58.0,58.0,58.0,58.0,338.56,2070.46,1328.49,2070.46,4.13,25.27,16.22,25.27,0.0,29.0,14.43,14.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,52833685.0,62883028.0,56658982.75,55944722.0,23.0,38.0,32.25,33.0,61.0,68.0,63.25,62.5,338.56,2070.46,1823.14,2070.46,4.13,25.27,22.26,25.27,0.0,38.0,25.62,31.0,
NVIDIA GeForce RTX 2080 SUPER,force,223065747.0,518835766.0,496092965.67,513973512.0,63.0,95.0,89.1,94.0,73.0,86.0,83.48,85.0,338.56,3344.46,2374.68,3344.46,4.13,40.83,28.99,40.83,0.0,90.0,52.12,72.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,772602787.0,955045363.0,906067922.53,918094804.0,54.0,95.0,87.73,94.0,73.0,90.0,84.73,86.0,338.56,3344.46,1455.52,456.46,4.13,40.83,17.77,5.57,0.0,94.0,14.35,0.0,
