GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,96470029.0,96502740.0,96486604.25,96487073.0,93.0,94.0,93.75,94.0,57.0,58.0,57.88,58.0,1995.79,5022.43,4518.28,5022.18,17.72,44.59,40.11,44.59,2.0,98.0,73.78,94.0,
NVIDIA GeForce GTX 1080 Ti,dict3,21532342.0,21770668.0,21695510.25,21739515.5,19.0,22.0,20.5,20.5,59.0,63.0,61.5,62.0,1105.38,2190.02,1829.12,2190.02,9.81,19.44,16.24,19.44,0.0,27.0,14.44,19.0,
NVIDIA GeForce GTX 1080 Ti,dict4,28822819.0,29450767.0,29097431.78,29128436.0,13.0,26.0,21.33,20.0,62.0,64.0,62.5,62.0,1145.0,2229.65,2094.3,2229.65,10.17,19.79,18.59,19.79,0.0,54.0,41.06,49.5,
NVIDIA GeForce GTX 1080 Ti,force,43174144.0,73480139.0,68783656.31,73106139.5,95.0,98.0,96.0,96.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,8616456.0,27453351.0,24070866.14,26315190.0,4.0,94.0,79.57,94.0,53.0,54.0,53.86,54.0,1132.04,4159.77,2589.42,1271.77,10.05,36.93,22.99,11.29,0.0,99.0,23.1,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,286865372.0,296380608.0,291047176.62,290937752.0,73.0,81.0,79.0,80.0,81.0,85.0,83.54,84.0,327.78,3333.68,1835.26,445.68,4.0,40.69,22.4,5.44,0.0,88.0,39.3,1.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,22895535.0,24410064.0,23706972.75,23761146.0,23.0,31.0,26.75,26.5,57.0,58.0,57.5,57.5,338.56,2070.46,1421.24,2070.46,4.13,25.27,17.35,25.27,1.0,23.0,12.38,14.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,99224704.0,99640921.0,99534842.12,99575275.5,39.0,44.0,42.38,42.5,78.0,79.0,78.75,79.0,338.56,2070.46,1804.09,2070.46,4.13,25.27,22.02,25.27,0.0,42.0,31.31,35.0,
NVIDIA GeForce RTX 2080 SUPER,force,270237103.0,458615090.0,441140154.52,452004588.0,61.0,90.0,84.7,89.0,71.0,84.0,81.7,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,255072025.0,291844763.0,261665055.0,256351481.5,44.0,81.0,75.67,79.0,67.0,84.0,79.75,81.0,338.56,3344.46,2017.52,3344.46,4.13,40.83,24.63,40.83,0.0,88.0,34.14,14.0,
NVIDIA GeForce RTX 3070,combinator,379284895.0,381800574.0,380092697.69,379843136.0,87.0,87.0,87.0,87.0,74.0,78.0,76.0,76.0,356.11,3378.07,1934.48,1944.07,4.35,41.24,23.61,23.73,0.0,89.0,39.97,0.0,
NVIDIA GeForce RTX 3070,dict3,48486066.0,48486066.0,48486066.0,48486066.0,10.0,10.0,10.0,10.0,72.0,72.0,72.0,72.0,356.11,2058.07,1490.91,2058.07,4.35,25.12,18.2,25.12,0.0,14.0,6.33,5.5,
NVIDIA GeForce RTX 3070,dict4,113572271.0,123400064.0,118799373.33,119063363.5,19.0,35.0,26.83,27.5,68.0,72.0,70.17,70.0,356.11,2058.07,1632.74,2058.07,4.35,25.12,19.93,25.12,0.0,35.0,19.5,25.0,
NVIDIA GeForce RTX 3070,force,18829263.0,996836485.0,887948519.89,994482949.0,55.0,96.0,89.79,94.0,68.0,77.0,73.37,74.0,356.11,3378.07,1816.07,510.07,4.35,41.24,22.17,6.23,0.0,100.0,36.31,0.0,
NVIDIA GeForce RTX 3070,hybrid,334855697.0,399043774.0,377810432.86,387447513.0,37.0,91.0,83.43,90.0,67.0,77.0,73.1,74.0,495.0,3516.96,2025.54,648.96,6.04,42.93,24.73,7.92,0.0,99.0,33.85,0.0,
NVIDIA GeForce RTX 3090,combinator,533731857.0,537774398.0,534772698.69,534271299.0,89.0,89.0,89.0,89.0,80.0,83.0,82.08,82.0,499.66,3622.33,3102.03,3622.33,2.03,14.74,12.62,14.74,0.0,96.0,74.28,92.0,
NVIDIA GeForce RTX 3090,dict3,51639750.0,51639750.0,51639750.0,51639750.0,7.0,7.0,7.0,7.0,79.0,79.0,79.0,79.0,540.61,3553.34,2262.57,3553.34,2.2,14.46,9.21,14.46,0.0,12.0,3.43,0.0,
NVIDIA GeForce RTX 3090,dict4,68006286.0,82018243.0,74420357.75,73558205.0,11.0,43.0,21.58,20.5,62.0,65.0,63.0,62.5,533.14,3544.73,3042.73,3544.48,2.17,14.42,12.38,14.42,0.0,41.0,15.94,12.0,
NVIDIA GeForce RTX 3090,force,524928682.0,1540952379.0,1458083179.53,1533256333.0,57.0,97.0,92.0,94.0,76.0,81.0,78.76,79.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,425292089.0,460422996.0,436794445.22,434511766.0,32.0,74.0,67.06,70.0,77.0,82.0,79.61,80.0,510.24,3631.58,3264.43,3631.58,2.08,14.78,13.28,14.78,3.0,98.0,72.35,97.0,
NVIDIA RTX A4000,combinator,360810354.0,361558571.0,361067757.43,360967369.5,88.0,92.0,90.36,90.0,78.0,84.0,81.29,81.5,743.42,3793.39,2385.58,3793.39,4.54,23.16,14.57,23.16,0.0,96.0,44.97,1.0,
NVIDIA RTX A4000,dict3,47799806.0,47799806.0,47799806.0,47799806.0,8.0,8.0,8.0,8.0,83.0,83.0,83.0,83.0,741.74,2510.08,1328.01,896.08,4.53,15.33,8.11,5.47,1.0,39.0,8.06,3.0,
NVIDIA RTX A4000,dict4,109365054.0,118815167.0,114148439.86,115269482.0,21.0,33.0,28.57,29.0,79.0,82.0,80.57,80.0,795.01,2590.35,2320.96,2566.23,4.85,15.82,14.17,15.67,2.0,37.0,19.29,19.0,
NVIDIA RTX A4000,force,159652951.0,775949575.0,693692392.26,757092852.0,78.0,97.0,90.68,90.0,76.0,84.0,80.26,81.0,743.73,3793.7,2794.33,3793.7,4.54,23.17,17.06,23.17,0.0,99.0,56.71,93.0,
NVIDIA RTX A4000,hybrid,0.0,334612969.0,287299411.0,317463790.5,43.0,92.0,75.8,84.5,75.0,80.0,78.4,79.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,83587378.0,84055694.0,83648778.0,83614846.0,14.0,44.0,39.38,40.0,64.0,67.0,65.23,65.0,5648.77,6942.38,6530.44,6935.51,34.6,42.6,40.04,42.5,0,0,0,0,
Radeon RX Vega,dict3,27309990.0,27525768.0,27436626.33,27474121.0,0.0,2.0,1.0,1.0,71.0,71.0,71.0,71.0,5043.97,6364.86,5995.8,6362.31,30.9,39.0,36.76,39.0,0,0,0,0,
Radeon RX Vega,dict4,85014957.0,86513078.0,86082155.0,86171452.0,0.0,57.0,23.86,16.5,73.0,74.0,73.14,73.0,6737.5,8104.51,7742.86,8085.44,41.3,49.7,47.48,49.6,0,0,0,0,
Radeon RX Vega,force,221125244.0,702843560.0,664777067.14,699828553.0,14.0,96.0,58.76,62.0,60.0,66.0,63.76,64.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,81664229.0,85661960.0,82829572.4,82269523.5,0.0,59.0,36.7,41.0,56.0,58.0,56.8,57.0,8393.26,9987.3,9354.99,9028.99,51.5,61.2,57.35,55.3,0,0,0,0,
