GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,809772642.0,889967595.0,853499789.12,853708841.0,23.0,69.0,62.62,68.5,69.0,71.0,70.25,70.0,2207.6,5545.64,4873.79,5313.09,19.6,49.23,43.27,47.17,3.0,98.0,78.39,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,249598261.0,250478869.0,250038565.0,250038565.0,46.0,57.0,51.5,51.5,68.0,68.0,68.0,68.0,1132.73,2218.02,1908.03,2218.02,10.06,19.69,16.94,19.69,0.0,56.0,28.0,44.0,
NVIDIA GeForce GTX 1080 Ti,force,390321414.0,5086296040.0,3397874021.0,4510312139.0,85.0,97.0,94.2,96.0,64.0,70.0,66.8,68.0,1145.62,4177.09,2322.97,1288.09,10.17,37.08,20.62,11.44,0.0,98.0,23.6,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,1570226532.0,722864789.39,766924078.0,0.0,97.0,83.06,97.0,55.0,63.0,57.0,56.0,1142.29,4172.84,2777.61,4172.84,10.14,37.05,24.66,37.05,0.0,97.0,17.57,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2621707706.0,2643401276.0,2635922816.33,2642659467.0,94.0,94.0,94.0,94.0,81.0,82.0,81.67,82.0,327.78,3333.68,2144.05,3333.68,4.0,40.69,26.17,40.69,0.0,57.0,31.78,50.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,318284683.0,318284683.0,318284683.0,318284683.0,45.0,45.0,45.0,45.0,77.0,77.0,77.0,77.0,338.56,2070.46,1421.99,2070.46,4.13,25.27,17.36,25.27,0.0,32.0,22.12,28.0,
NVIDIA GeForce RTX 2080 SUPER,force,28838244.0,6793462554.0,3837827067.0,5812445423.0,63.0,77.0,68.86,64.0,72.0,79.0,75.71,76.0,338.56,3344.46,1624.94,456.46,4.13,40.83,19.84,5.57,0.0,91.0,29.82,1.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,10544389.0,3300965506.0,1672275262.57,1599501700.0,2.0,68.0,57.5,63.5,55.0,71.0,68.5,70.0,338.56,3344.46,1653.9,456.46,4.13,40.83,20.19,5.57,0.0,54.0,11.11,0.0,
NVIDIA GeForce RTX 3070,combinator,3331449191.0,3334026142.0,3332737666.5,3332737666.5,92.0,93.0,92.5,92.5,73.0,73.0,73.0,73.0,356.11,3378.07,1377.58,510.07,4.35,41.24,16.82,6.23,0.0,91.0,19.56,0.0,
NVIDIA GeForce RTX 3070,dict4,255483531.0,256007784.0,255745657.5,255745657.5,19.0,21.0,20.0,20.0,72.0,72.0,72.0,72.0,356.11,2058.07,1328.94,2058.07,4.35,25.12,16.22,25.12,0.0,21.0,10.71,17.0,
NVIDIA GeForce RTX 3070,force,0.0,6757717038.0,4313521457.43,6307353417.0,66.0,91.0,82.14,88.0,70.0,73.0,71.29,71.0,356.11,3378.07,1435.41,510.07,4.35,41.24,17.52,6.23,0.0,100.0,19.73,0.0,
NVIDIA GeForce RTX 3070,hybrid,10615675.0,4632349593.0,1713411372.44,835970455.0,3.0,94.0,36.67,26.0,61.0,69.0,63.67,62.0,450.43,3472.39,2023.58,2047.89,5.5,42.39,24.7,25.0,0.0,93.0,12.59,0.0,
NVIDIA GeForce RTX 3090,combinator,1671084476.0,2208689355.0,2024453820.23,2064926902.0,37.0,69.0,62.46,68.0,77.0,79.0,78.62,79.0,499.16,3621.83,3102.49,3621.83,2.03,14.74,12.62,14.74,0.0,83.0,56.56,70.5,
NVIDIA GeForce RTX 3090,dict4,277766192.0,278317106.0,278041649.0,278041649.0,10.0,10.0,10.0,10.0,77.0,77.0,77.0,77.0,544.51,3555.84,2695.62,3555.84,2.22,14.47,10.97,14.47,0.0,15.0,7.0,9.0,
NVIDIA GeForce RTX 3090,force,400547231.0,11301941308.0,6693385355.75,7535526442.0,41.0,90.0,69.0,72.5,76.0,80.0,78.25,78.5,723.67,3846.34,1744.39,980.34,2.94,15.65,7.1,3.99,0.0,99.0,19.64,0.0,
NVIDIA GeForce RTX 3090,hybrid,10797319.0,2297686323.0,1589976654.45,2264436323.5,2.0,76.0,46.6,59.0,68.0,75.0,72.45,74.0,506.88,3629.55,2778.16,3629.55,2.06,14.77,11.3,14.77,4.0,77.0,20.18,10.0,
NVIDIA RTX A4000,combinator,3127516584.0,3128812704.0,3128164644.0,3128164644.0,93.0,93.0,93.0,93.0,81.0,82.0,81.5,81.5,964.02,4013.99,2884.68,4013.99,5.89,24.51,17.62,24.51,0.0,97.0,54.31,93.0,
NVIDIA RTX A4000,dict4,253864024.0,254010783.0,253937403.5,253937403.5,16.0,16.0,16.0,16.0,83.0,83.0,83.0,83.0,784.67,2560.14,2117.56,2558.73,4.79,15.63,12.93,15.62,2.0,70.0,20.38,20.0,
NVIDIA RTX A4000,force,282468190.0,6031387189.0,4819585342.5,5949675811.0,90.0,96.0,91.75,90.5,79.0,83.0,81.12,81.0,743.73,3793.7,2478.0,3793.7,4.54,23.17,15.13,23.17,0.0,96.0,44.2,32.0,
NVIDIA RTX A4000,hybrid,10571530.0,4341133505.0,1808347753.12,1027571212.5,3.0,94.0,36.12,24.0,71.0,78.0,74.0,74.0,1003.97,4053.94,2583.16,2609.94,6.13,24.76,15.77,15.94,0.0,42.0,7.67,1.0,
Radeon RX Vega,combinator,347867553.0,351270221.0,349698408.08,349905605.0,16.0,44.0,40.0,42.0,65.0,67.0,66.08,66.0,9163.68,10455.86,9937.83,9551.61,56.2,64.1,60.92,58.6,0,0,0,0,
Radeon RX Vega,dict3,45675578.0,45675578.0,45675578.0,45675578.0,0.0,0.0,0.0,0.0,72.0,72.0,72.0,72.0,4570.42,5886.77,5408.78,5856.35,28.0,36.1,33.16,35.9,0,0,0,0,
Radeon RX Vega,dict4,87485093.0,93157112.0,88856456.21,88209161.5,0.0,56.0,26.5,19.5,72.0,73.0,72.57,73.0,7122.45,8360.66,7920.14,8255.55,43.7,51.3,48.55,50.6,0,0,0,0,
Radeon RX Vega,force,99496646.0,846856874.0,786693105.63,833535706.0,3.0,94.0,53.21,52.0,68.0,70.0,69.47,70.0,7098.07,8767.04,7930.68,7760.01,43.5,53.7,48.61,47.55,0,0,0,0,
