GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,590051340.0,600488031.0,594362171.38,594142120.5,97.0,98.0,97.75,98.0,60.0,60.0,60.0,60.0,1621.73,4664.86,4150.43,4654.92,14.4,41.41,36.85,41.33,0.0,98.0,74.06,96.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,960824491.0,503849846.4,512080315.0,93.0,98.0,95.0,95.0,56.0,58.0,56.8,56.0,1147.04,4176.09,2299.54,1288.09,10.18,37.07,20.41,11.44,0.0,98.0,26.07,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,608359855.0,608359855.0,608359855.0,608359855.0,79.0,79.0,79.0,79.0,56.0,56.0,56.0,56.0,1133.12,4159.77,1906.53,1271.77,10.06,36.93,16.93,11.29,0.0,86.0,6.69,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1368001398.0,1430178600.0,1392684138.77,1394119192.0,93.0,94.0,93.69,94.0,84.0,85.0,84.54,85.0,327.78,3333.68,2098.3,3333.68,4.0,40.69,25.61,40.69,0.0,71.0,36.46,57.5,
NVIDIA GeForce RTX 2080 SUPER,force,162822501.0,3423336625.0,1673415870.33,1434088485.0,53.0,63.0,59.67,63.0,69.0,75.0,71.67,71.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2559566045.0,2559566045.0,2559566045.0,2559566045.0,33.0,33.0,33.0,33.0,68.0,68.0,68.0,68.0,338.56,3344.46,1336.97,456.46,4.13,40.83,16.32,5.57,0.0,46.0,7.25,0.0,
NVIDIA GeForce RTX 3070,combinator,1639296240.0,1691692164.0,1656615424.0,1652987902.0,87.0,93.0,92.0,92.0,71.0,75.0,73.15,73.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,435492525.0,3378288645.0,1981098226.67,2129513510.0,53.0,92.0,69.0,62.0,66.0,69.0,67.33,67.0,356.11,3378.07,1136.54,510.07,4.35,41.24,13.87,6.23,0.0,99.0,16.08,0.0,
NVIDIA GeForce RTX 3070,hybrid,2638898801.0,2638898801.0,2638898801.0,2638898801.0,86.0,86.0,86.0,86.0,64.0,64.0,64.0,64.0,505.5,3527.46,1526.97,659.46,6.17,43.06,18.64,8.05,0.0,9.0,1.0,0.0,
NVIDIA GeForce RTX 3090,combinator,2812142686.0,2903370210.0,2844804245.77,2846290861.0,91.0,92.0,91.15,91.0,83.0,86.0,84.62,85.0,499.16,3621.83,3101.53,3621.83,2.03,14.74,12.62,14.74,0.0,94.0,72.06,92.0,
NVIDIA GeForce RTX 3090,force,783179098.0,5508577791.0,2874236095.0,2330951396.0,84.0,92.0,89.33,92.0,77.0,79.0,77.67,77.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,10665527.0,4629923322.0,2320294424.5,2320294424.5,3.0,80.0,41.5,41.5,68.0,71.0,69.5,69.5,533.1,3655.77,2317.87,3655.77,2.17,14.88,9.43,14.88,0.0,74.0,11.29,0.0,
NVIDIA RTX A4000,combinator,1527786992.0,1579585028.0,1549755534.54,1548717355.0,92.0,93.0,92.92,93.0,81.0,86.0,83.62,84.0,743.67,3793.64,2664.33,3793.64,4.54,23.17,16.27,23.17,0.0,97.0,54.62,92.0,
NVIDIA RTX A4000,force,232121265.0,3011193625.0,1598951945.67,1553540947.0,92.0,96.0,94.33,95.0,78.0,79.0,78.33,78.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,2675943771.0,2675943771.0,2675943771.0,2675943771.0,75.0,75.0,75.0,75.0,76.0,76.0,76.0,76.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,265764870.0,269866038.0,267107666.0,266342220.0,22.0,59.0,42.23,42.0,63.0,65.0,64.08,64.0,5564.0,6998.7,6483.44,6818.52,34.1,42.9,39.73,41.8,0,0,0,0,
Radeon RX Vega,dict3,26376603.0,26677639.0,26528740.33,26531979.0,0.0,2.0,0.67,0.0,67.0,68.0,67.33,67.0,5052.95,6359.7,5500.02,5293.72,31.0,39.0,33.72,32.45,0,0,0,0,
Radeon RX Vega,dict4,92427718.0,97440450.0,93969049.08,93237680.0,0.0,57.0,21.92,2.0,71.0,72.0,71.69,72.0,6502.48,7795.09,6934.57,6720.36,39.9,47.8,42.52,41.2,0,0,0,0,
Radeon RX Vega,force,162108607.0,748214170.0,572202354.5,689243320.5,4.0,95.0,31.75,14.0,60.0,64.0,62.0,62.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,304693083.0,304693083.0,304693083.0,304693083.0,14.0,14.0,14.0,14.0,56.0,56.0,56.0,56.0,7980.21,9596.3,8552.07,8586.87,48.9,58.8,52.42,52.6,0,0,0,0,
