GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,50728612.0,52996445.0,51807685.44,51641030.0,94.0,95.0,94.78,95.0,61.0,63.0,61.56,61.0,2196.19,5223.86,4867.43,5223.48,19.5,46.38,43.21,46.37,0.0,95.0,76.47,93.0,
NVIDIA GeForce GTX 1080 Ti,dict3,5930384.0,6100033.0,6017561.44,6024097.0,22.0,29.0,25.44,25.0,59.0,61.0,59.5,59.0,1152.25,2236.9,2020.32,2236.9,10.23,19.86,17.94,19.86,0.0,26.0,17.33,20.0,
NVIDIA GeForce GTX 1080 Ti,dict4,13730850.0,14103521.0,13857206.89,13797957.0,19.0,33.0,26.33,25.5,63.0,63.0,63.0,63.0,1148.88,2233.77,2092.09,2233.52,10.2,19.83,18.57,19.83,0.0,75.0,59.57,73.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,45059263.0,41919966.59,44934457.0,97.0,98.0,97.76,98.0,60.0,62.0,61.71,62.0,1149.44,4176.09,3119.85,4176.09,10.2,37.07,27.7,37.07,0.0,99.0,54.68,80.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,8276323.0,25995570.0,22806803.46,25056405.0,9.0,94.0,76.31,94.0,53.0,56.0,55.38,56.0,1144.04,4172.84,2985.89,4172.84,10.16,37.05,26.51,37.05,0.0,81.0,19.0,4.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,55321049.0,55931944.0,55534856.08,55490886.0,89.0,90.0,89.15,89.0,73.0,76.0,74.92,75.0,327.78,3333.68,2213.87,3333.68,4.0,40.69,27.02,40.69,0.0,90.0,48.88,78.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,5081450.0,6404752.0,5441395.83,5302324.0,28.0,37.0,33.11,32.5,50.0,52.0,50.89,51.0,338.56,2070.46,1844.64,2070.46,4.13,25.27,22.52,25.27,0.0,39.0,23.04,31.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,38888699.0,39567811.0,39147910.5,39114770.5,69.0,71.0,70.06,70.0,74.0,78.0,76.33,76.0,338.56,2070.46,1844.6,2070.46,4.13,25.27,22.52,25.27,0.0,32.0,19.65,24.0,
NVIDIA GeForce RTX 2080 SUPER,force,31722868.0,61628364.0,58242749.13,61478325.0,57.0,98.0,89.73,98.0,70.0,78.0,75.0,76.0,338.56,3344.46,2372.01,3344.46,4.13,40.83,28.96,40.83,0.0,98.0,53.88,65.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,54052028.0,57044850.0,54729473.64,54480608.0,81.0,90.0,86.18,88.0,71.0,74.0,73.27,74.0,338.56,3344.46,2006.14,3344.46,4.13,40.83,24.49,40.83,0.0,82.0,35.25,17.0,
NVIDIA GeForce RTX 3070,combinator,101039581.0,102136232.0,101446705.14,101335888.0,86.0,87.0,86.43,86.0,70.0,73.0,71.64,72.0,356.11,3378.07,2263.19,3378.07,4.35,41.24,27.63,41.24,0.0,99.0,50.46,86.0,
NVIDIA GeForce RTX 3070,dict3,12141205.0,14329855.0,13378293.67,13433607.0,15.0,37.0,25.78,28.0,56.0,58.0,56.89,57.0,356.11,2058.07,1717.81,2058.07,4.35,25.12,20.97,25.12,0.0,34.0,18.0,15.0,
NVIDIA GeForce RTX 3070,dict4,14525569.0,17956115.0,15905323.33,15450626.5,18.0,36.0,30.22,32.0,60.0,66.0,62.39,62.0,356.11,2058.07,1836.16,2058.07,4.35,25.12,22.41,25.12,0.0,39.0,25.43,28.0,
