GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,276010823.0,276521910.0,276148209.75,276097691.5,92.0,94.0,93.0,93.0,78.0,78.0,78.0,78.0,2116.52,5485.85,4727.64,5121.06,18.79,48.7,41.97,45.46,1.0,97.0,76.58,96.0,
NVIDIA GeForce GTX 1080 Ti,dict3,16594651.0,17767795.0,17332381.14,17455846.0,11.0,18.0,15.57,16.0,68.0,70.0,69.0,69.0,1649.9,4676.95,4182.35,4639.51,14.65,41.52,37.13,41.19,0.0,12.0,6.38,7.0,
NVIDIA GeForce GTX 1080 Ti,dict4,2.0,120016340.0,102846613.62,117104874.5,9.0,47.0,41.75,46.5,69.0,279530121.0,34941326.12,69.5,1133.38,4094.02,3460.36,4094.02,10.06,36.35,30.72,36.35,0.0,36.0,20.67,27.5,
NVIDIA GeForce GTX 1080 Ti,force,76531346.0,255392531.0,225590347.0,235154087.0,96.0,98.0,97.07,97.0,59.0,64.0,61.07,60.0,1149.44,4176.09,2264.1,1288.09,10.2,37.07,20.1,11.44,0.0,97.0,29.8,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,156783127.0,252823481.0,196003899.92,186194280.0,33.0,96.0,88.58,96.0,58.0,67.0,60.92,59.5,1141.04,4168.4,2668.14,1280.4,10.13,37.01,23.69,11.37,0.0,97.0,36.39,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,275924132.0,279514030.0,277146680.38,277035396.0,91.0,92.0,91.15,91.0,77.0,83.0,81.0,82.0,327.78,3333.68,1838.8,445.68,4.0,40.69,22.45,5.44,0.0,93.0,39.55,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,13482718.0,15919402.0,14157925.89,13806132.0,13.0,32.0,25.0,30.0,54.0,55.0,54.44,54.0,338.56,3278.46,2600.17,3278.46,4.13,40.02,31.74,40.02,0.0,36.0,16.38,11.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,2.0,113706401.0,97834077.25,111638108.5,9.0,43.0,36.12,39.5,78.0,279530121.0,34941334.0,79.0,338.56,3278.46,2543.64,3278.46,4.13,40.02,31.05,40.02,0.0,56.0,30.42,39.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,297949695.0,255967931.86,297352170.0,76.0,97.0,89.86,96.0,71.0,80.0,76.21,77.0,338.56,3344.46,1413.54,456.46,4.13,40.83,17.26,5.57,0.0,97.0,25.76,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,269321536.0,278283772.0,272075878.9,271644257.5,84.0,93.0,88.9,89.0,74.0,79.0,76.9,78.0,338.56,3344.46,1893.55,1900.46,4.13,40.83,23.11,23.2,0.0,94.0,37.21,2.0,
NVIDIA GeForce RTX 3070,combinator,532362980.0,536146680.0,533868581.38,533755434.0,91.0,91.0,91.0,91.0,72.0,77.0,74.77,75.0,356.11,3378.07,1891.31,510.07,4.35,41.24,23.09,6.23,0.0,93.0,39.12,0.0,
NVIDIA GeForce RTX 3070,dict3,29918638.0,32430240.0,31339441.67,31669447.0,0.0,11.0,5.67,6.0,71.0,71.0,71.0,71.0,356.11,3312.07,2573.2,3312.07,4.35,40.43,31.41,40.43,0.0,11.0,5.5,5.5,
NVIDIA GeForce RTX 3070,dict4,2.0,213026840.0,158244336.5,209975252.0,9.0,39.0,29.5,35.0,76.0,279530121.0,69882587.75,77.0,356.11,3314.57,2790.69,3312.07,4.35,40.46,34.07,40.43,0.0,42.0,20.41,19.0,
NVIDIA GeForce RTX 3070,force,146523148.0,555400039.0,526747242.24,552198591.0,67.0,93.0,90.52,93.0,65.0,74.0,70.48,71.0,356.11,3378.07,1732.95,510.07,4.35,41.24,21.15,6.23,0.0,99.0,36.39,0.0,
NVIDIA GeForce RTX 3070,hybrid,457376304.0,548964844.0,529761671.17,543081904.5,62.0,94.0,88.28,93.0,67.0,75.0,72.0,72.5,447.63,3480.53,1944.57,612.59,5.46,42.49,23.74,7.48,0.0,96.0,35.56,0.0,
NVIDIA GeForce RTX 3090,combinator,2.0,927207040.0,838662886.0,921713971.0,9.0,92.0,83.64,91.0,82.0,279530121.0,25411905.27,84.0,499.16,3621.83,3102.27,3621.83,2.03,14.74,12.62,14.74,0.0,95.0,72.39,93.0,
NVIDIA GeForce RTX 3090,dict3,47619163.0,47619163.0,47619163.0,47619163.0,1.0,1.0,1.0,1.0,77.0,77.0,77.0,77.0,539.17,3597.34,2287.51,3597.34,2.19,14.64,9.31,14.64,0.0,12.0,3.43,0.0,
NVIDIA GeForce RTX 3090,dict4,2.0,330285058.0,165142530.0,165142530.0,9.0,39.0,24.0,24.0,80.0,279530121.0,139765100.5,139765100.5,540.23,3599.84,2289.8,3599.84,2.2,14.65,9.32,14.65,0.0,39.0,16.43,0.0,
NVIDIA GeForce RTX 3090,force,410605118.0,955847797.0,916535463.53,951190722.0,48.0,95.0,89.58,92.0,75.0,84.0,80.84,82.0,719.36,3846.34,2090.59,980.34,2.93,15.65,8.51,3.99,0.0,94.0,29.59,0.0,
NVIDIA GeForce RTX 3090,hybrid,728975498.0,949173112.0,756842160.8,733579267.0,42.0,94.0,74.87,76.0,76.0,83.0,80.4,81.0,505.45,3629.55,3161.07,3629.55,2.06,14.77,12.86,14.77,3.0,98.0,54.5,64.0,
NVIDIA RTX A4000,combinator,467467708.0,473129499.0,469750066.46,469776177.0,84.0,88.0,85.08,85.0,78.0,84.0,81.54,82.0,973.89,4013.99,2563.7,2574.33,5.95,24.51,15.66,15.72,0.0,93.0,41.09,1.5,
NVIDIA RTX A4000,dict3,28677611.0,33399972.0,31132045.67,31318554.0,1.0,12.0,4.67,1.0,82.0,83.0,82.67,83.0,665.2,3649.17,1604.45,827.17,4.06,22.28,9.8,5.05,0.0,43.0,6.36,0.0,
NVIDIA RTX A4000,dict4,2.0,207308683.0,153456637.75,203258933.0,9.0,42.0,31.75,38.0,86.0,279530121.0,69882595.5,87.5,727.91,3787.23,3266.39,3722.78,4.44,23.13,19.95,22.73,1.0,86.0,22.53,19.0,
NVIDIA RTX A4000,force,178429909.0,522329485.0,477155378.73,518394499.0,56.0,96.0,88.55,93.0,72.0,85.0,79.45,79.5,743.73,3793.7,1908.45,905.7,4.54,23.17,11.65,5.53,0.0,98.0,27.82,0.0,
NVIDIA RTX A4000,hybrid,9795317.0,517337711.0,466857464.74,507382804.0,6.0,94.0,84.21,93.0,68.0,85.0,79.26,80.0,1000.22,4053.94,2755.12,4050.19,6.11,24.76,16.82,24.73,0.0,100.0,37.64,7.0,
Radeon RX Vega,combinator,311538426.0,314333646.0,312439079.46,312084238.0,14.0,41.0,35.54,39.0,67.0,69.0,68.08,68.0,9195.52,10934.93,10304.36,10915.33,56.4,67.0,63.17,66.9,0,0,0,0,
Radeon RX Vega,dict3,32151143.0,38162094.0,35156618.5,35156618.5,0.0,0.0,0.0,0.0,71.0,71.0,71.0,71.0,4546.34,6360.01,5722.83,6336.87,27.9,39.0,35.1,38.85,0,0,0,0,
Radeon RX Vega,dict4,2.0,132349364.0,111525730.86,129697987.0,0.0,54.0,18.86,9.0,73.0,279530121.0,39932937.0,73.0,7366.95,9189.0,8511.69,9061.33,45.2,56.3,52.18,55.5,0,0,0,0,
Radeon RX Vega,force,161902075.0,318848677.0,305810688.8,318209686.0,15.0,95.0,75.6,94.0,66.0,70.0,69.4,70.0,7121.06,9219.08,8566.54,9197.64,43.7,56.5,52.51,56.4,0,0,0,0,
Radeon RX Vega,hybrid,281466999.0,353805831.0,323857614.5,334337836.0,24.0,54.0,45.1,51.0,58.0,61.0,59.5,60.0,8530.57,10607.95,9789.6,9598.75,52.3,65.0,60.03,58.85,0,0,0,0,
