GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1572881.0,1615634.0,1600769.78,1605585.0,91.0,93.0,92.11,92.0,62.0,63.0,62.78,63.0,2209.45,8878.75,8137.75,8878.75,19.62,78.82,72.25,78.82,6.0,96.0,79.11,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1659950.0,1768350.0,1678863.72,1669887.0,38.0,98.0,83.11,97.0,75.0,86.0,82.39,83.0,1143.81,7746.46,6885.95,7746.46,10.15,68.77,61.13,68.77,0.0,97.0,53.0,52.0,
NVIDIA GeForce GTX 1080 Ti,dict4,2156816.0,2221745.0,2176826.39,2170800.0,61.0,96.0,91.06,95.0,81.0,85.0,83.06,83.5,1137.38,7740.02,6879.51,7740.02,10.1,68.71,61.08,68.71,0.0,97.0,78.26,94.0,
NVIDIA GeForce GTX 1080 Ti,force,275720.0,3122162.0,2810497.29,3113761.0,71.0,92.0,88.43,91.0,57.0,64.0,62.64,64.0,1146.6,7818.65,5630.29,7818.65,10.18,69.41,49.98,69.41,0.0,100.0,53.67,88.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,523157.0,533867.0,527085.88,525503.0,93.0,95.0,94.62,95.0,58.0,58.0,58.0,58.0,1142.29,7814.84,4685.32,7814.84,10.14,69.38,41.6,69.38,0.0,95.0,36.76,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2100120.0,2140035.0,2114848.92,2111445.0,94.0,95.0,94.08,94.0,84.0,85.0,84.31,84.0,327.78,6971.68,4425.53,6971.68,4.0,85.1,54.02,85.1,0.0,94.0,53.69,94.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1743157.0,1820000.0,1775564.17,1773186.0,76.0,85.0,78.67,76.5,82.0,87.0,84.78,85.0,338.56,6916.46,6059.29,6916.46,4.13,84.43,73.97,84.43,0.0,86.0,66.61,76.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,2032177.0,2111229.0,2052401.78,2044540.0,84.0,94.0,91.61,93.0,86.0,89.0,87.06,87.0,338.56,6916.46,6058.56,6916.46,4.13,84.43,73.96,84.43,0.0,94.0,75.87,93.0,
NVIDIA GeForce RTX 2080 SUPER,force,494280.0,5146081.0,4540174.54,5091580.0,57.0,87.0,81.77,86.0,75.0,88.0,83.69,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2124355.0,2190410.0,2152866.38,2148597.5,85.0,94.0,90.62,94.0,79.0,84.0,83.12,84.0,338.56,6982.46,4052.24,6982.46,4.13,85.24,49.47,85.24,0.0,94.0,39.36,21.0,
NVIDIA GeForce RTX 3070,combinator,3367755.0,3385572.0,3374324.21,3371610.5,92.0,94.0,92.21,92.0,75.0,78.0,76.79,77.0,356.11,7000.07,4383.0,7000.07,4.35,85.45,53.5,85.45,0.0,91.0,51.38,89.0,
NVIDIA GeForce RTX 3070,dict3,2480965.0,2564050.0,2503845.0,2495185.5,49.0,94.0,69.0,65.0,79.0,82.0,80.33,80.0,356.11,6934.07,6076.16,6934.07,4.35,84.64,74.17,84.64,0.0,92.0,54.43,53.0,
NVIDIA GeForce RTX 3070,dict4,3254384.0,3315733.0,3275086.94,3266418.5,51.0,94.0,89.67,92.0,82.0,84.0,83.0,83.0,356.11,6934.07,6076.16,6934.07,4.35,84.64,74.17,84.64,0.0,92.0,70.78,90.0,
NVIDIA GeForce RTX 3070,force,706350.0,6363720.0,5377164.93,6318567.0,67.0,88.0,83.0,86.0,62.0,73.0,68.93,70.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,2915260.0,3276149.0,3160258.0,3237644.0,30.0,92.0,74.38,92.0,70.0,74.0,72.38,73.0,500.27,7144.23,4180.28,7144.23,6.11,87.21,51.03,87.21,0.0,96.0,33.41,13.5,
NVIDIA GeForce RTX 3090,combinator,5015221.0,5073280.0,5036301.38,5031625.0,84.0,85.0,84.31,84.0,84.0,86.0,85.08,85.0,499.16,7267.83,6139.86,7267.83,2.03,29.57,24.98,29.57,0.0,93.0,68.89,88.0,
NVIDIA GeForce RTX 3090,dict3,3150929.0,3222145.0,3179986.0,3175428.5,40.0,78.0,58.72,60.5,82.0,85.0,83.17,83.0,540.23,7245.84,6371.57,7245.84,2.2,29.48,25.93,29.48,0.0,76.0,46.39,48.0,
NVIDIA GeForce RTX 3090,dict4,4621743.0,4726550.0,4688225.06,4689565.0,47.0,92.0,79.17,87.0,82.0,85.0,84.06,84.0,540.23,7245.84,6371.57,7245.84,2.2,29.48,25.93,29.48,0.0,90.0,71.61,87.0,
NVIDIA GeForce RTX 3090,force,1819629.0,10073068.0,8753129.38,9998672.0,66.0,83.0,79.46,82.0,75.0,83.0,81.0,82.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,2783196.0,5044167.0,3784606.12,3601284.5,34.0,86.0,55.5,52.0,75.0,82.0,77.38,76.0,530.66,7299.34,4316.06,7299.34,2.16,29.7,17.56,29.7,0.0,92.0,27.5,19.5,
NVIDIA RTX A4000,combinator,2786868.0,2838786.0,2808103.77,2806632.0,87.0,88.0,87.54,88.0,82.0,87.0,84.85,85.0,759.67,7457.64,5265.56,7457.64,4.64,45.54,32.15,45.54,0.0,95.0,58.62,93.0,
NVIDIA RTX A4000,dict3,1752928.0,1797032.0,1763802.94,1761046.5,41.0,80.0,55.72,55.0,87.0,88.0,87.83,88.0,786.45,7422.17,5334.7,7418.42,4.8,45.32,32.58,45.3,0.0,90.0,38.27,43.0,
NVIDIA RTX A4000,dict4,2756289.0,2845016.0,2781836.75,2775080.0,92.0,93.0,92.75,93.0,90.0,91.0,90.25,90.0,861.41,7493.38,6733.34,7463.59,5.26,45.76,41.12,45.58,2.0,94.0,73.11,93.0,
NVIDIA RTX A4000,force,997076.0,5418970.0,4467787.14,5396678.0,69.0,86.0,82.14,85.0,77.0,85.0,81.36,82.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,2671868.0,2797156.0,2749602.67,2767130.0,42.0,89.0,73.0,87.0,80.0,84.0,82.22,82.0,1105.41,7803.38,4874.62,7803.38,6.75,47.65,29.77,47.65,1.0,96.0,45.38,53.0,
Radeon RX Vega,combinator,227526.0,232773.0,229378.15,228898.0,14.0,44.0,38.85,41.0,65.0,67.0,65.69,66.0,8889.69,10092.05,9649.93,9936.89,54.5,61.9,59.16,60.9,0,0,0,0,
Radeon RX Vega,dict2,382.0,382.0,382.0,382.0,0.0,0.0,0.0,0.0,64.0,64.0,64.0,64.0,4782.33,6074.54,5383.67,5166.14,29.3,37.2,33.0,31.7,0,0,0,0,
Radeon RX Vega,dict3,261902.0,279302.0,267908.11,266561.5,0.0,59.0,44.44,54.0,71.0,72.0,71.39,71.0,5036.48,6544.18,6274.56,6343.81,30.9,40.1,38.48,38.9,0,0,0,0,
Radeon RX Vega,dict4,329269.0,340369.0,334794.0,334744.5,14.0,58.0,40.33,40.0,72.0,73.0,72.17,72.0,9544.02,10900.06,10635.92,10880.86,58.5,66.8,65.21,66.7,0,0,0,0,
Radeon RX Vega,force,96490.0,970987.0,854678.82,964688.0,4.0,90.0,66.76,76.0,58.0,67.0,64.47,66.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,246978.0,257676.0,253045.88,252424.5,16.0,59.0,39.75,41.0,59.0,60.0,59.62,60.0,8334.75,10024.21,9585.52,9877.86,51.1,61.4,58.77,60.6,0,0,0,0,
