GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,330159683.0,339700865.0,335540423.12,336418660.5,97.0,98.0,97.38,97.0,61.0,64.0,62.25,62.0,1467.43,4494.73,3990.25,4494.73,13.03,39.9,35.42,39.9,1.0,98.0,78.72,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,303833139.0,303833139.0,303833139.0,303833139.0,37.0,37.0,37.0,37.0,66.0,66.0,66.0,66.0,1145.73,2230.46,1869.39,2230.46,10.17,19.8,16.6,19.8,0.0,39.0,18.5,17.0,
NVIDIA GeForce GTX 1080 Ti,force,102592300.0,1939380158.0,1466726877.5,1788528814.5,74.0,96.0,90.62,92.0,53.0,54.0,53.62,54.0,1149.44,4176.09,2750.78,3428.09,10.2,37.07,24.42,30.43,0.0,98.0,29.93,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,111567952.0,116445943.0,114587978.6,114650656.5,88.0,97.0,95.4,96.0,55.0,55.0,55.0,55.0,1141.81,4168.46,3068.29,4168.46,10.14,37.01,27.24,37.01,0.0,98.0,47.25,33.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,642971263.0,645012639.0,643683175.77,643357673.0,95.0,98.0,96.92,97.0,80.0,84.0,83.0,83.0,327.78,3333.68,2361.22,3333.68,4.0,40.69,28.82,40.69,0.0,94.0,57.38,92.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,352310003.0,352310003.0,352310003.0,352310003.0,31.0,31.0,31.0,31.0,66.0,66.0,66.0,66.0,338.56,2070.46,1205.16,1205.99,4.13,25.27,14.71,14.72,0.0,40.0,18.83,20.0,
NVIDIA GeForce RTX 2080 SUPER,force,532181400.0,9664617031.0,5103334228.75,5108269242.0,63.0,77.0,67.0,64.0,71.0,80.0,74.25,73.0,338.56,3344.46,1540.17,456.46,4.13,40.83,18.8,5.57,0.0,78.0,28.54,23.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,461267166.0,515023622.0,495138628.61,508842553.0,46.0,94.0,86.83,90.0,70.0,80.0,76.56,77.0,338.56,3344.46,2329.73,3344.46,4.13,40.83,28.44,40.83,0.0,95.0,49.74,59.0,
NVIDIA GeForce RTX 3070,combinator,803067602.0,803924345.0,803617636.31,803787956.0,97.0,98.0,97.69,98.0,72.0,77.0,74.85,75.0,316.07,3413.51,2376.43,3334.33,3.86,41.67,29.01,40.7,0.0,98.0,55.42,93.0,
NVIDIA GeForce RTX 3070,dict4,253392510.0,254124075.0,253758292.5,253758292.5,23.0,23.0,23.0,23.0,59.0,59.0,59.0,59.0,356.11,2058.07,1207.46,1207.58,4.35,25.12,14.74,14.74,0.0,22.0,10.0,7.5,
NVIDIA GeForce RTX 3070,force,0.0,9241513604.0,5246175841.71,6959943436.0,79.0,92.0,86.57,88.0,68.0,71.0,69.57,70.0,356.11,3378.07,1810.15,510.07,4.35,41.24,22.1,6.23,0.0,91.0,20.23,0.0,
NVIDIA GeForce RTX 3070,hybrid,627491448.0,788257698.0,748882566.0,786372536.0,33.0,95.0,80.62,95.0,64.0,71.0,68.15,69.0,443.93,3454.39,2444.8,3454.39,5.42,42.17,29.84,42.17,0.0,96.0,44.91,40.0,
NVIDIA GeForce RTX 3090,combinator,933343936.0,936841411.0,934879840.6,934703533.0,91.0,92.0,91.1,91.0,77.0,79.0,78.0,78.0,495.56,3618.23,3112.01,3618.23,2.02,14.72,12.66,14.72,0.0,96.0,72.5,93.0,
