GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,175424412.0,180409311.0,177909858.38,177738515.0,94.0,95.0,94.38,94.0,59.0,61.0,60.0,60.0,1461.93,4494.73,4158.09,4494.73,12.98,39.9,36.91,39.9,1.0,95.0,76.06,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,164456105.0,165925084.0,165210107.5,165229620.5,32.0,42.0,37.0,37.0,67.0,67.0,67.0,67.0,1145.81,2230.46,1869.49,2230.46,10.17,19.8,16.6,19.8,0.0,48.0,26.56,34.0,
NVIDIA GeForce GTX 1080 Ti,force,87703768.0,779449887.0,714200252.89,768357264.0,69.0,97.0,91.74,94.0,53.0,56.0,55.42,56.0,1149.44,4176.09,3125.4,4176.09,10.2,37.07,27.75,37.07,0.0,96.0,52.08,85.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,5325135.0,39101439.0,29423350.0,37705470.0,2.0,96.0,68.67,95.0,50.0,52.0,51.13,51.0,1140.73,4168.46,3056.04,4168.46,10.13,37.01,27.13,37.01,0.0,96.0,38.76,23.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,471904217.0,474403857.0,473561324.0,473695822.0,93.0,94.0,93.85,94.0,80.0,84.0,83.0,83.0,327.78,3333.68,1924.91,3333.68,4.0,40.69,23.5,40.69,0.0,88.0,42.29,25.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,188748063.0,191033999.0,189567649.0,188920885.0,32.0,35.0,33.33,33.0,65.0,65.0,65.0,65.0,338.56,2070.46,1207.65,1213.46,4.13,25.27,14.74,14.81,1.0,47.0,33.5,41.0,
NVIDIA GeForce RTX 2080 SUPER,force,423816095.0,2231210568.0,1940983915.2,2192508609.0,57.0,95.0,84.33,93.0,69.0,87.0,81.6,84.0,338.56,3344.46,1726.97,456.46,4.13,40.83,21.08,5.57,0.0,94.0,29.83,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,300561198.0,351543889.0,325702986.3,329050033.5,36.0,92.0,76.7,84.0,69.0,77.0,73.5,74.5,338.56,3344.46,1988.9,3344.46,4.13,40.83,24.28,40.83,0.0,91.0,39.03,30.5,
NVIDIA GeForce RTX 3070,combinator,533218723.0,533552554.0,533351912.62,533332361.0,96.0,97.0,96.69,97.0,71.0,77.0,74.08,74.0,356.11,3378.07,2029.44,3378.07,4.35,41.24,24.77,41.24,0.0,99.0,45.87,45.0,
NVIDIA GeForce RTX 3070,dict4,251437443.0,251801202.0,251619322.5,251619322.5,24.0,25.0,24.5,24.5,59.0,59.0,59.0,59.0,356.11,2058.07,1208.91,1212.07,4.35,25.12,14.76,14.8,0.0,30.0,12.67,11.5,
