GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,129214848.0,137275891.0,133474489.89,132574514.0,90.0,96.0,92.56,91.0,61.0,73.0,66.0,64.0,1533.48,4592.12,4109.43,4592.12,13.61,40.77,36.48,40.77,0.0,95.0,71.47,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,22794735.0,23128805.0,22925499.25,22889228.5,22.0,25.0,22.75,22.0,64.0,64.0,64.0,64.0,1688.65,2785.38,2472.12,2785.38,14.99,24.73,21.95,24.73,3.0,28.0,15.86,20.0,
NVIDIA GeForce GTX 1080 Ti,dict4,83283813.0,84616530.0,83739131.56,83637285.0,33.0,47.0,39.33,39.0,67.0,68.0,67.22,67.0,1145.81,2246.46,2010.98,2246.46,10.17,19.94,17.85,19.94,0.0,46.0,32.5,40.0,
NVIDIA GeForce GTX 1080 Ti,force,53577921.0,133649678.0,122328257.07,133386269.0,75.0,96.0,91.27,92.0,54.0,55.0,54.67,55.0,1149.44,4190.09,3021.14,4190.09,10.2,37.2,26.82,37.2,0.0,96.0,50.0,63.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,13877610.0,60686678.0,56017377.0,59664977.0,4.0,94.0,86.5,94.0,52.0,54.0,53.75,54.0,1143.85,4205.02,2818.6,4205.02,10.15,37.33,25.02,37.33,0.0,96.0,38.88,6.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,323906731.0,332655181.0,327289948.38,326809907.0,95.0,96.0,95.92,96.0,84.0,87.0,85.31,85.0,327.78,3359.68,1890.84,1889.68,4.0,41.01,23.08,23.07,0.0,92.0,44.03,28.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,22665366.0,24916204.0,23771099.5,23751414.0,22.0,28.0,25.5,26.0,53.0,55.0,54.0,54.0,338.56,2084.46,1429.99,2084.46,4.13,25.45,17.46,25.45,0.0,25.0,11.38,12.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,52686555.0,64384432.0,57134845.88,55798358.0,23.0,38.0,30.75,32.0,58.0,65.0,60.44,60.0,338.56,2084.46,1835.56,2084.46,4.13,25.45,22.41,25.45,0.0,37.0,25.81,29.0,
NVIDIA GeForce RTX 2080 SUPER,force,307136395.0,687301518.0,639875091.42,661346373.0,57.0,92.0,86.68,92.0,73.0,89.0,85.11,86.0,338.56,3358.46,2104.7,3358.46,4.13,41.0,25.69,41.0,0.0,93.0,47.57,59.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,329134703.0,279883756.09,307415020.0,36.0,93.0,74.82,84.0,74.0,86.0,81.73,82.0,338.56,3370.46,1894.28,1782.46,4.13,41.14,23.12,21.76,0.0,93.0,37.25,8.5,
NVIDIA GeForce RTX 3070,combinator,548436602.0,554312956.0,550770227.54,550500894.0,90.0,92.0,90.77,91.0,75.0,80.0,77.92,78.0,356.11,3424.07,1861.64,510.07,4.35,41.8,22.73,6.23,0.0,91.0,40.59,0.0,
NVIDIA GeForce RTX 3070,dict3,48875795.0,48875795.0,48875795.0,48875795.0,11.0,11.0,11.0,11.0,59.0,59.0,59.0,59.0,356.11,2078.07,1504.25,2078.07,4.35,25.37,18.36,25.37,0.0,16.0,7.0,5.5,
NVIDIA GeForce RTX 3070,dict4,120468710.0,128712578.0,124944744.83,125551534.0,18.0,37.0,27.17,27.0,59.0,60.0,59.5,59.5,356.11,2078.07,1896.86,2078.07,4.35,25.37,23.16,25.37,0.0,49.0,22.63,20.0,
NVIDIA GeForce RTX 3070,force,217705293.0,698320806.0,664622241.0,695416465.0,48.0,94.0,85.55,91.0,70.0,78.0,74.65,75.0,356.11,3398.07,2071.41,3398.07,4.35,41.48,25.29,41.48,0.0,91.0,44.21,52.0,
NVIDIA GeForce RTX 3070,hybrid,10439742.0,411532787.0,248502956.69,329176348.0,6.0,97.0,61.69,68.0,60.0,71.0,67.23,68.0,434.71,3501.69,1986.77,589.5,5.31,42.75,24.25,7.2,0.0,94.0,35.73,0.0,
NVIDIA GeForce RTX 3090,combinator,888889081.0,897441660.0,891923507.4,891096927.0,91.0,92.0,91.7,92.0,81.0,83.0,82.1,82.0,499.12,3702.45,3169.16,3702.45,2.03,15.07,12.9,15.07,0.0,95.0,72.33,93.0,
NVIDIA GeForce RTX 3090,dict3,53130704.0,53130704.0,53130704.0,53130704.0,8.0,8.0,8.0,8.0,71.0,71.0,71.0,71.0,542.01,3589.34,2283.5,3589.34,2.21,14.61,9.29,14.61,0.0,12.0,3.43,0.0,
NVIDIA GeForce RTX 3090,dict4,142084137.0,147356012.0,145026594.2,145665158.0,9.0,33.0,19.4,19.0,71.0,73.0,72.0,72.0,541.8,3591.97,2760.62,3591.97,2.2,14.62,11.23,14.62,0.0,33.0,11.73,13.0,
NVIDIA GeForce RTX 3090,force,154010531.0,1168025344.0,1022656590.8,1125149324.0,74.0,91.0,86.4,90.0,78.0,83.0,80.8,81.0,719.36,3878.34,2451.19,3878.34,2.93,15.78,9.97,15.78,0.0,94.0,39.23,0.0,
NVIDIA GeForce RTX 3090,hybrid,298039829.0,917446558.0,565790379.53,423559389.0,38.0,94.0,67.47,67.0,75.0,81.0,78.13,77.0,505.74,3703.91,3277.58,3703.91,2.06,15.07,13.34,15.07,3.0,94.0,22.13,18.0,
NVIDIA RTX A4000,combinator,465808968.0,470951211.0,468068187.0,467874189.0,87.0,93.0,91.92,92.0,79.0,84.0,81.92,82.0,977.58,4073.55,2643.49,4073.55,5.97,24.88,16.14,24.88,0.0,95.0,43.55,2.0,
NVIDIA RTX A4000,dict3,48173559.0,48173559.0,48173559.0,48173559.0,12.0,12.0,12.0,12.0,68.0,68.0,68.0,68.0,592.8,2386.77,1057.07,754.77,3.62,14.57,6.45,4.61,0.0,50.0,5.15,0.0,
NVIDIA RTX A4000,dict4,60208730.0,73496671.0,66124493.79,65588804.0,14.0,42.0,24.36,23.0,69.0,73.0,71.0,71.0,731.27,2547.05,2274.86,2524.25,4.47,15.55,13.89,15.41,0.0,43.0,22.43,22.0,
NVIDIA RTX A4000,force,104261096.0,622269321.0,588398545.2,617762769.0,73.0,95.0,91.4,92.0,76.0,87.0,82.25,82.5,743.73,3811.7,2336.99,2295.7,4.54,23.28,14.27,14.02,0.0,99.0,42.96,0.0,
NVIDIA RTX A4000,hybrid,75848116.0,438446303.0,327022157.45,382515071.0,34.0,85.0,63.18,79.0,73.0,78.0,76.27,77.0,941.89,4041.61,2849.44,4037.86,5.75,24.68,17.4,24.66,0.0,96.0,38.1,14.5,
Radeon RX Vega,combinator,30275169.0,30448013.0,30323043.38,30295595.0,18.0,42.0,38.31,41.0,66.0,67.0,66.77,67.0,8952.68,10302.98,9904.45,10278.24,54.9,63.2,60.71,63.0,0,0,0,0,
Radeon RX Vega,dict3,3860800.0,3935040.0,3881509.17,3872629.0,0.0,24.0,4.33,1.0,70.0,71.0,70.5,70.5,4569.71,5889.44,5664.21,5885.36,28.0,36.1,34.73,36.1,0,0,0,0,
Radeon RX Vega,dict4,18154387.0,18899043.0,18396948.22,18306014.5,0.0,57.0,30.56,44.5,74.0,74.0,74.0,74.0,6908.93,8247.97,8024.12,8224.88,42.4,50.6,49.2,50.4,0,0,0,0,
Radeon RX Vega,force,12391193.0,47474672.0,42825363.29,47406077.0,17.0,96.0,65.53,65.0,70.0,71.0,70.82,71.0,7677.56,9323.34,8803.18,9265.49,47.1,57.2,53.96,56.8,0,0,0,0,
Radeon RX Vega,hybrid,9331113.0,31155026.0,28900222.0,30694870.0,0.0,55.0,35.83,40.0,59.0,67.0,64.92,65.0,8344.94,10154.59,9528.2,9934.04,51.2,62.2,58.4,60.9,0,0,0,0,
