GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,13439184.0,13932626.0,13691616.5,13677957.5,94.0,95.0,94.25,94.0,61.0,63.0,61.75,61.0,2195.4,5246.05,4737.73,5246.05,19.49,46.57,42.06,46.57,0.0,95.0,70.0,94.0,
NVIDIA GeForce GTX 1080 Ti,dict3,3070421.0,3118103.0,3081004.94,3074006.0,21.0,27.0,23.78,25.0,67.0,69.0,68.0,68.0,1152.25,2236.9,2089.23,2236.9,10.23,19.86,18.55,19.86,0.0,17.0,12.68,16.0,
NVIDIA GeForce GTX 1080 Ti,dict4,13005613.0,13248681.0,13115910.0,13124011.5,48.0,75.0,62.61,63.5,70.0,70.0,70.0,70.0,1147.06,2231.71,2090.08,2231.71,10.18,19.81,18.56,19.81,0.0,74.0,49.35,55.0,
NVIDIA GeForce GTX 1080 Ti,force,9760645.0,15692393.0,15140488.43,15332404.0,75.0,98.0,95.14,97.0,57.0,59.0,58.48,59.0,1145.54,4176.09,2487.25,1288.09,10.17,37.07,22.08,11.44,0.0,98.0,35.67,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,4167506.0,5151837.0,4825465.29,5140851.0,32.0,96.0,89.35,95.0,55.0,55.0,55.0,55.0,1144.85,4196.84,2503.61,1284.84,10.16,37.26,22.23,11.41,0.0,96.0,28.29,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,20404586.0,20607970.0,20466628.86,20447602.0,92.0,92.0,92.0,92.0,72.0,77.0,74.79,75.0,327.78,3333.68,1531.48,445.68,4.0,40.69,18.69,5.44,0.0,92.0,31.33,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1409596.0,1826318.0,1523529.06,1477357.5,21.0,34.0,30.22,31.0,51.0,53.0,51.78,52.0,338.56,2070.46,1844.64,2070.46,4.13,25.27,22.52,25.27,0.0,34.0,20.57,26.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,10526361.0,10642099.0,10570968.83,10563751.0,48.0,53.0,50.17,50.0,75.0,77.0,75.78,76.0,338.56,2070.46,1845.03,2070.46,4.13,25.27,22.52,25.27,0.0,52.0,42.39,49.0,
NVIDIA GeForce RTX 2080 SUPER,force,14579589.0,21902042.0,21162029.72,21628850.0,63.0,97.0,92.72,96.0,67.0,76.0,73.39,74.0,338.56,3344.46,1685.8,456.46,4.13,40.83,20.58,5.57,0.0,96.0,35.76,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,20217487.0,21028920.0,20484508.36,20295058.0,39.0,92.0,85.64,92.0,70.0,76.0,73.91,74.0,338.56,3344.46,1413.54,456.46,4.13,40.83,17.26,5.57,0.0,93.0,23.52,0.0,
