GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,22831302.0,23678462.0,23284567.44,23285724.0,95.0,95.0,95.0,95.0,61.0,63.0,61.78,61.0,2195.4,5222.05,4717.9,5222.05,19.49,46.36,41.88,46.36,0.0,95.0,76.28,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,5225174.0,5548298.0,5351121.88,5301533.0,28.0,38.0,35.06,36.0,60.0,69.0,62.06,61.0,1152.25,2236.9,2095.65,2236.9,10.23,19.86,18.6,19.86,0.0,38.0,24.39,28.0,
NVIDIA GeForce GTX 1080 Ti,dict4,7077009.0,7167211.0,7098755.72,7096233.5,23.0,31.0,25.67,24.0,64.0,65.0,64.17,64.0,1146.41,2231.59,2090.09,2231.59,10.18,19.81,18.56,19.81,0.0,76.0,56.78,66.0,
NVIDIA GeForce GTX 1080 Ti,force,11887995.0,20483157.0,19855813.79,20428670.0,71.0,97.0,94.16,96.0,58.0,61.0,60.37,60.0,1149.44,4176.09,2447.18,1288.09,10.2,37.07,21.73,11.44,0.0,99.0,36.24,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,5123705.0,8787927.0,7890137.07,8744533.0,15.0,96.0,89.0,96.0,53.0,55.0,54.53,55.0,1140.66,4168.4,2326.81,1280.4,10.13,37.01,20.66,11.37,0.0,94.0,20.9,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,27014632.0,27387137.0,27154466.69,27124627.0,89.0,90.0,89.38,89.0,73.0,78.0,76.15,76.0,327.78,3333.68,1493.78,445.68,4.0,40.69,18.23,5.44,0.0,89.0,30.88,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,2567846.0,3330600.0,2776924.83,2682353.0,24.0,39.0,34.11,35.0,50.0,52.0,50.56,50.5,338.56,2070.46,1834.38,2070.46,4.13,25.27,22.39,25.27,0.0,41.0,24.0,26.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,3488712.0,4480531.0,3886735.67,3777176.0,18.0,40.0,30.39,32.0,58.0,66.0,60.0,59.0,338.56,2070.46,1845.03,2070.46,4.13,25.27,22.52,25.27,0.0,45.0,33.04,42.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,29260322.0,26408477.65,28984034.0,63.0,97.0,91.59,94.0,66.0,76.0,73.0,74.0,338.56,3344.46,1647.39,456.46,4.13,40.83,20.11,5.57,0.0,96.0,35.63,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,26523687.0,28877976.0,27083124.25,26774098.0,32.0,91.0,83.25,90.0,64.0,76.0,73.58,74.5,338.56,3344.46,1417.67,456.46,4.13,40.83,17.31,5.57,0.0,88.0,24.54,0.0,
NVIDIA GeForce RTX 3070,combinator,50418155.0,50858930.0,50582612.85,50564743.0,88.0,89.0,88.92,89.0,67.0,72.0,70.0,70.0,356.11,3378.07,1548.12,510.07,4.35,41.24,18.9,6.23,0.0,90.0,30.85,0.0,
NVIDIA GeForce RTX 3070,dict3,5807785.0,7409287.0,6471576.11,6342446.0,14.0,34.0,27.28,30.0,56.0,61.0,57.89,57.5,356.11,2058.07,1836.16,2058.07,4.35,25.12,22.41,25.12,0.0,42.0,23.3,30.0,
NVIDIA GeForce RTX 3070,dict4,31331665.0,31940986.0,31530960.94,31450693.0,42.0,65.0,55.47,58.0,70.0,72.0,70.71,71.0,356.11,2058.07,1836.16,2058.07,4.35,25.12,22.41,25.12,0.0,68.0,45.3,51.0,
NVIDIA GeForce RTX 3070,force,13426081.0,55573817.0,49424868.29,54363577.0,70.0,97.0,91.71,94.0,62.0,70.0,67.0,67.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,49271876.0,52291905.0,50043818.73,49669207.0,50.0,91.0,86.45,90.0,65.0,69.0,66.82,67.0,513.5,3532.73,1776.65,664.73,6.27,43.12,21.69,8.11,0.0,90.0,22.17,0.0,
NVIDIA GeForce RTX 3090,combinator,85680031.0,86856314.0,86148299.31,86078004.0,88.0,89.0,88.08,88.0,80.0,84.0,82.85,83.0,499.16,3621.83,3101.53,3621.83,2.03,14.74,12.62,14.74,0.0,95.0,71.39,90.0,
NVIDIA GeForce RTX 3090,dict3,6533045.0,8289441.0,7209238.94,7019279.0,9.0,44.0,24.11,24.5,66.0,71.0,67.61,67.0,540.61,3553.34,3160.5,3553.34,2.2,14.46,12.86,14.46,0.0,39.0,16.17,19.0,
NVIDIA GeForce RTX 3090,dict4,43524330.0,45071876.0,44162903.06,44021036.0,42.0,51.0,44.28,43.5,75.0,79.0,77.0,77.0,539.17,3553.34,3160.44,3553.34,2.19,14.46,12.86,14.46,0.0,52.0,37.7,43.0,
NVIDIA GeForce RTX 3090,force,54428781.0,95849153.0,91582913.86,94426793.5,85.0,97.0,93.57,94.0,75.0,83.0,80.0,80.5,719.36,3846.34,2015.93,980.34,2.93,15.65,8.2,3.99,0.0,97.0,30.76,0.0,
NVIDIA GeForce RTX 3090,hybrid,85030211.0,89571434.0,85949267.1,85571544.5,70.0,89.0,85.6,88.0,78.0,81.0,79.3,79.0,517.88,3640.55,3222.7,3638.18,2.11,14.81,13.11,14.8,3.0,96.0,59.13,66.0,
NVIDIA RTX A4000,combinator,48553815.0,49355372.0,48866313.54,48831975.0,90.0,91.0,90.15,90.0,74.0,82.0,78.77,79.0,983.44,4034.28,2218.04,1163.09,6.01,24.64,13.54,7.1,2.0,96.0,40.02,20.0,
NVIDIA RTX A4000,dict3,5550469.0,7223840.0,6253451.17,6125322.0,16.0,44.0,30.67,31.5,63.0,68.0,65.28,65.0,703.7,2479.67,1585.8,865.67,4.3,15.14,9.68,5.29,0.0,40.0,14.07,1.0,
NVIDIA RTX A4000,dict4,22072345.0,24421217.0,23018315.0,22648200.0,28.0,48.0,42.11,45.0,85.0,87.0,86.17,86.0,864.06,2640.03,2408.55,2640.03,5.28,16.12,14.71,16.12,1.0,40.0,24.26,28.0,
NVIDIA RTX A4000,force,24614829.0,52628363.0,50361241.88,52330706.0,67.0,96.0,93.0,95.0,71.0,83.0,77.81,78.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,47493795.0,49928516.0,48058245.8,47869701.5,50.0,92.0,86.2,90.0,73.0,80.0,76.7,76.5,1026.16,4079.88,2291.03,1188.12,6.27,24.91,13.99,7.26,3.0,97.0,32.95,10.0,
Radeon RX Vega,combinator,26766856.0,27002713.0,26823584.07,26781771.5,15.0,41.0,33.79,36.5,68.0,69.0,68.57,69.0,9224.84,10994.08,10388.85,10976.86,56.5,67.4,63.68,67.3,0,0,0,0,
Radeon RX Vega,dict3,1868633.0,1910691.0,1882232.89,1879784.0,0.0,41.0,7.39,0.0,69.0,69.0,69.0,69.0,4578.96,5900.67,5756.85,5898.83,28.1,36.2,35.31,36.2,0,0,0,0,
Radeon RX Vega,dict4,7095725.0,7350056.0,7159853.39,7152186.5,0.0,56.0,29.5,35.0,72.0,72.0,72.0,72.0,8669.49,9974.62,9739.36,9912.23,53.1,61.1,59.71,60.8,0,0,0,0,
Radeon RX Vega,force,11645197.0,27989203.0,26826002.25,27902286.5,3.0,95.0,56.06,57.0,62.0,68.0,66.38,67.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,27113456.0,28011083.0,27423546.64,27295761.0,27.0,56.0,42.55,39.0,62.0,63.0,62.36,62.0,8484.16,10806.95,10011.34,10677.83,52.0,66.2,61.37,65.5,0,0,0,0,
