GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,6530092100.0,6758005115.0,6666187780.4,6738793632.0,93.0,94.0,93.2,93.0,66.0,69.0,67.2,67.0,1531.91,4558.56,3045.53,3046.1,13.6,40.47,27.04,27.04,0.0,95.0,28.17,0.5,
NVIDIA GeForce GTX 1080 Ti,dict4,309934070.0,309934070.0,309934070.0,309934070.0,39.0,39.0,39.0,39.0,65.0,65.0,65.0,65.0,1148.1,2230.46,1869.78,2230.46,10.19,19.8,16.6,19.8,0.0,42.0,19.5,18.5,
NVIDIA GeForce GTX 1080 Ti,force,157888324.0,8639041470.0,5520224458.83,6851996375.5,64.0,98.0,88.5,93.5,61.0,65.0,62.33,62.0,1144.35,4171.65,2833.65,4171.65,10.16,37.04,25.16,37.04,0.0,96.0,34.36,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,7982541.0,3366620107.0,1422574238.46,711282247.0,0.0,94.0,43.46,26.0,53.0,57.0,55.08,55.0,1144.12,4172.84,3026.47,4172.84,10.16,37.05,26.87,37.05,0.0,94.0,9.06,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,940757261.0,1546143381.0,1195784166.38,1182341817.0,16.0,33.0,23.85,24.0,53.0,56.0,54.0,54.0,327.78,3333.68,1962.49,3333.68,4.0,40.69,23.96,40.69,0.0,57.0,25.13,4.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,355248439.0,355248439.0,355248439.0,355248439.0,32.0,32.0,32.0,32.0,65.0,65.0,65.0,65.0,338.56,2070.46,1493.32,2070.46,4.13,25.27,18.23,25.27,0.0,32.0,17.83,22.0,
NVIDIA GeForce RTX 2080 SUPER,force,733919926.0,15305138615.0,8989515409.8,12093098432.0,57.0,80.0,71.2,78.0,75.0,84.0,79.0,78.0,338.56,3344.46,2165.81,3344.46,4.13,40.83,26.44,40.83,0.0,74.0,32.47,53.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2680324445.0,7504193434.0,6021716388.15,6375568350.0,20.0,69.0,53.92,57.0,69.0,79.0,76.15,78.0,338.56,3344.46,1973.27,3344.46,4.13,40.83,24.09,40.83,0.0,57.0,14.27,1.0,
NVIDIA GeForce RTX 3070,combinator,4908082652.0,5178176199.0,4998823198.0,4971411883.5,34.0,62.0,55.83,60.0,72.0,72.0,72.0,72.0,356.11,3378.07,2210.41,3378.07,4.35,41.24,26.98,41.24,0.0,78.0,33.0,38.0,
NVIDIA GeForce RTX 3070,dict4,257809529.0,257848580.0,257829054.5,257829054.5,22.0,22.0,22.0,22.0,59.0,59.0,59.0,59.0,356.11,2058.07,1571.94,2058.07,4.35,25.12,19.19,25.12,0.0,17.0,9.0,14.0,
