GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,198819824.0,199173407.0,199080155.22,199123186.0,93.0,95.0,93.56,93.0,58.0,59.0,58.56,59.0,2127.57,5177.99,4667.95,5171.68,18.89,45.97,41.44,45.91,0.0,94.0,69.17,92.0,
NVIDIA GeForce GTX 1080 Ti,dict3,40399949.0,40399949.0,40399949.0,40399949.0,18.0,18.0,18.0,18.0,65.0,65.0,65.0,65.0,1143.25,2227.9,1866.64,2227.9,10.15,19.78,16.57,19.78,0.0,20.0,12.0,16.0,
NVIDIA GeForce GTX 1080 Ti,dict4,145738000.0,147791735.0,146356057.8,146167274.0,42.0,49.0,44.8,43.0,68.0,68.0,68.0,68.0,1140.29,2229.65,1978.98,2229.65,10.12,19.79,17.57,19.79,0.0,34.0,23.38,32.0,
NVIDIA GeForce GTX 1080 Ti,force,56459037.0,310167286.0,264901770.13,308830627.0,95.0,97.0,95.67,95.0,51.0,53.0,52.13,52.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,105895404.0,115687288.0,107802945.55,106811215.0,33.0,93.0,82.36,93.0,50.0,51.0,50.09,50.0,1135.41,4164.21,2972.13,4164.21,10.08,36.97,26.39,36.97,0.0,96.0,40.26,28.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,668673921.0,691975205.0,677292818.54,676052104.0,91.0,92.0,91.85,92.0,85.0,88.0,86.69,87.0,327.78,3333.68,2037.09,3333.68,4.0,40.69,24.87,40.69,0.0,91.0,47.52,84.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,44396250.0,44396250.0,44396250.0,44396250.0,22.0,22.0,22.0,22.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,181714468.0,189557051.0,185498952.33,185225338.0,35.0,40.0,36.67,35.0,75.0,79.0,77.0,77.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,220862633.0,1307065152.0,1207100325.39,1287155415.0,66.0,93.0,87.56,92.0,73.0,88.0,84.72,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,353301152.0,399673952.0,376348870.65,381275558.0,49.0,63.0,57.05,59.0,70.0,83.0,77.85,80.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,720559011.0,733366712.0,727760655.0,727171785.0,85.0,89.0,86.08,86.0,75.0,79.0,76.92,77.0,356.11,3378.07,2263.19,3378.07,4.35,41.24,27.63,41.24,0.0,69.0,35.96,61.0,
NVIDIA GeForce RTX 3070,dict4,225180074.0,229114245.0,227147159.5,227147159.5,22.0,22.0,22.0,22.0,72.0,73.0,72.5,72.5,356.11,2058.07,1061.83,510.07,4.35,25.12,12.96,6.23,0.0,75.0,12.94,0.0,
NVIDIA GeForce RTX 3070,force,366314029.0,1284932794.0,1210176554.29,1277460713.0,75.0,94.0,90.88,92.0,70.0,77.0,74.29,75.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,566021932.0,902784639.0,630240072.06,588314523.5,40.0,95.0,63.5,65.0,67.0,74.0,71.5,72.0,495.0,3516.96,2418.52,3516.96,6.04,42.93,29.52,42.93,0.0,92.0,33.55,10.0,
