GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,51854578.0,51910453.0,51887961.11,51887003.0,92.0,93.0,92.89,93.0,56.0,56.0,56.0,56.0,2150.65,5205.61,4683.05,5177.14,19.09,46.21,41.58,45.96,0.0,98.0,75.72,94.0,
NVIDIA GeForce GTX 1080 Ti,dict3,20367725.0,20554714.0,20483132.8,20490558.0,24.0,27.0,25.4,25.0,63.0,63.0,63.0,63.0,1142.94,2227.59,1932.06,2227.59,10.15,19.78,17.15,19.78,0.0,26.0,14.91,23.0,
NVIDIA GeForce GTX 1080 Ti,dict4,56858225.0,57918690.0,57183980.0,57103738.0,50.0,60.0,53.93,52.0,65.0,66.0,65.47,65.0,1145.62,2234.09,2091.16,2234.09,10.17,19.83,18.56,19.83,0.0,50.0,33.96,39.0,
NVIDIA GeForce GTX 1080 Ti,force,35878086.0,72710406.0,68604218.73,71977776.0,93.0,97.0,95.53,96.0,50.0,51.0,50.73,51.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,8902502.0,17484066.0,16133654.92,17457639.0,19.0,96.0,83.08,96.0,48.0,50.0,48.92,49.0,1132.04,4159.77,2746.89,4159.77,10.05,36.93,24.39,36.93,0.0,94.0,20.88,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,203855589.0,208107498.0,205329377.92,204901099.0,86.0,87.0,86.85,87.0,83.0,85.0,84.31,84.0,327.78,3333.68,1747.74,445.68,4.0,40.69,21.33,5.44,0.0,89.0,40.97,1.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,22319396.0,23819625.0,22906021.25,22742532.0,23.0,31.0,26.5,26.0,58.0,58.0,58.0,58.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,29728265.0,35197646.0,31817852.72,31287297.5,19.0,33.0,26.5,27.0,59.0,67.0,61.67,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,43940077.0,442829498.0,409899426.59,425641539.0,58.0,90.0,85.91,90.0,67.0,86.0,83.64,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,9163116.0,215051686.0,167798267.15,194178216.0,9.0,91.0,70.31,82.0,56.0,83.0,76.54,82.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,176624360.0,177114038.0,176805145.08,176781649.0,87.0,88.0,87.92,88.0,70.0,73.0,71.69,72.0,356.11,3378.07,1884.65,510.07,4.35,41.24,23.01,6.23,0.0,89.0,41.42,0.0,
NVIDIA GeForce RTX 3070,dict3,46175393.0,46175393.0,46175393.0,46175393.0,8.0,8.0,8.0,8.0,68.0,68.0,68.0,68.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,101060292.0,106749186.0,104182529.0,104318859.0,27.0,44.0,36.71,37.0,67.0,72.0,69.29,69.0,356.11,2058.07,1240.83,510.07,4.35,25.12,15.15,6.23,0.0,46.0,15.52,0.0,
NVIDIA GeForce RTX 3070,force,266684367.0,550421847.0,529713430.33,544587806.0,76.0,95.0,92.43,93.0,70.0,78.0,74.71,75.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,9264884.0,168237203.0,143892008.17,154034093.0,11.0,85.0,71.58,83.0,59.0,69.0,66.92,68.0,505.5,3527.46,2257.13,3527.46,6.17,43.06,27.55,43.06,0.0,92.0,35.68,6.0,
NVIDIA GeForce RTX 3090,combinator,365105183.0,370172818.0,366702481.0,366129089.0,86.0,89.0,86.64,86.0,79.0,82.0,81.14,81.5,499.66,3622.33,3102.03,3622.33,2.03,14.74,12.62,14.74,0.0,94.0,71.28,91.0,
NVIDIA GeForce RTX 3090,dict3,53138762.0,53138762.0,53138762.0,53138762.0,9.0,9.0,9.0,9.0,77.0,77.0,77.0,77.0,541.23,3553.66,2262.85,3553.47,2.2,14.46,9.21,14.46,0.0,14.0,4.43,0.0,
NVIDIA GeForce RTX 3090,dict4,65518715.0,78116785.0,70946650.54,70448121.0,8.0,39.0,24.69,24.0,71.0,76.0,72.92,73.0,1070.53,4086.08,3581.02,4082.02,4.36,16.63,14.57,16.61,0.0,54.0,19.78,17.0,
NVIDIA GeForce RTX 3090,force,250794173.0,889464218.0,847569100.26,885261254.0,92.0,96.0,93.16,93.0,72.0,82.0,79.58,80.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,9657616.0,346337984.0,285625962.17,315453734.5,7.0,81.0,63.75,78.5,67.0,79.0,75.5,76.0,560.27,3681.6,2150.46,823.73,2.28,14.98,8.75,3.35,3.0,95.0,33.84,15.0,
NVIDIA RTX A4000,combinator,167572019.0,168410497.0,167811295.08,167725604.0,87.0,89.0,88.69,89.0,77.0,83.0,80.62,81.0,743.42,3793.39,2353.93,2981.39,4.54,23.16,14.37,18.21,0.0,93.0,43.82,2.0,
NVIDIA RTX A4000,dict3,46412177.0,46412177.0,46412177.0,46412177.0,14.0,14.0,14.0,14.0,82.0,82.0,82.0,82.0,753.31,2527.3,1503.13,913.3,4.6,15.43,9.18,5.58,2.0,42.0,10.67,7.0,
NVIDIA RTX A4000,dict4,92217446.0,99210968.0,95794649.25,95600038.0,28.0,40.0,33.38,32.5,78.0,82.0,80.25,80.0,832.18,2611.48,2367.88,2610.16,5.08,15.95,14.46,15.94,0.0,39.0,25.0,29.5,
NVIDIA RTX A4000,force,127804606.0,470334759.0,444014813.5,463861424.5,53.0,97.0,91.36,94.0,77.0,86.0,82.45,83.0,743.73,3793.7,2331.16,2349.7,4.54,23.17,14.24,14.35,0.0,97.0,44.31,28.0,
NVIDIA RTX A4000,hybrid,160981459.0,164825384.0,162567982.56,161981319.0,50.0,91.0,81.89,91.0,76.0,80.0,78.44,79.0,1304.51,4522.67,2942.11,2941.32,7.97,27.62,17.97,17.96,0.0,97.0,31.91,14.5,
Radeon RX Vega,combinator,78984043.0,79188891.0,79073001.62,79076798.0,15.0,50.0,37.69,40.0,69.0,70.0,69.15,69.0,5596.99,6886.8,6459.14,6873.19,34.3,42.2,39.59,42.1,0,0,0,0,
Radeon RX Vega,dict3,14760926.0,15034802.0,14892232.14,14887375.0,0.0,2.0,0.57,0.0,73.0,73.0,73.0,73.0,5143.41,6409.74,6125.24,6407.18,31.5,39.3,37.56,39.3,0,0,0,0,
Radeon RX Vega,dict4,67968396.0,68868015.0,68521986.33,68615634.5,0.0,54.0,21.5,11.0,74.0,75.0,74.08,74.0,6684.3,8049.83,7866.22,8040.46,41.0,49.3,48.22,49.3,0,0,0,0,
Radeon RX Vega,force,83479600.0,342944899.0,319462232.29,342796538.0,3.0,96.0,70.36,87.0,65.0,69.0,68.0,69.0,7842.22,9452.08,8962.64,9432.18,48.1,57.9,54.94,57.8,0,0,0,0,
Radeon RX Vega,hybrid,75493003.0,78491061.0,77018151.91,77135726.0,19.0,55.0,39.82,40.0,64.0,68.0,66.64,67.0,8256.7,9906.93,9362.81,9410.17,50.6,60.7,57.4,57.7,0,0,0,0,
