GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,134813109.0,134945050.0,134876594.5,134875094.5,91.0,92.0,91.5,91.5,68.0,69.0,68.62,69.0,2206.58,5259.81,4741.47,5237.75,19.59,46.7,42.09,46.5,0.0,97.0,73.78,96.0,
NVIDIA GeForce GTX 1080 Ti,dict3,39432927.0,39432927.0,39432927.0,39432927.0,26.0,26.0,26.0,26.0,66.0,66.0,66.0,66.0,1701.98,2786.63,2424.54,2781.41,15.11,24.74,21.52,24.69,1.0,19.0,12.67,18.0,
NVIDIA GeForce GTX 1080 Ti,dict4,153388866.0,154805871.0,154205261.5,154313154.5,39.0,49.0,44.25,44.5,67.0,68.0,67.75,68.0,1148.1,2230.46,1884.23,2230.46,10.19,19.8,16.73,19.8,0.0,49.0,27.56,36.0,
NVIDIA GeForce GTX 1080 Ti,force,107696821.0,802901786.0,644907125.7,635276317.0,88.0,98.0,95.3,96.0,58.0,65.0,60.65,60.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,52480548.0,125902178.0,75253047.83,64656147.5,35.0,98.0,90.0,98.0,52.0,59.0,54.42,53.0,1142.29,4172.84,3035.66,4170.71,10.14,37.05,26.95,37.03,0.0,97.0,39.38,25.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,407857866.0,410585647.0,408664822.23,408312310.0,87.0,88.0,87.08,87.0,81.0,84.0,83.46,84.0,327.78,3333.68,2021.84,3333.68,4.0,40.69,24.68,40.69,0.0,89.0,43.19,50.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,179523564.0,183081684.0,181340651.67,181416707.0,36.0,38.0,37.33,38.0,73.0,74.0,73.33,73.0,338.56,2070.46,1422.35,2070.46,4.13,25.27,17.36,25.27,0.0,39.0,26.38,34.0,
NVIDIA GeForce RTX 2080 SUPER,force,400391994.0,1697934220.0,1561073699.35,1667032370.0,63.0,92.0,83.76,90.0,72.0,87.0,83.06,85.0,338.56,3344.46,2154.84,3344.46,4.13,40.83,26.3,40.83,0.0,91.0,46.93,58.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,301422736.0,394261186.0,338291923.09,339293566.0,2.0,79.0,62.64,71.0,68.0,79.0,74.27,75.0,338.56,3344.46,2032.63,3344.46,4.13,40.83,24.81,40.83,0.0,91.0,34.48,20.0,
NVIDIA GeForce RTX 3070,combinator,548445094.0,551542915.0,549296138.92,548940877.0,89.0,90.0,89.77,90.0,74.0,79.0,76.92,77.0,356.11,3378.07,2029.44,3378.07,4.35,41.24,24.77,41.24,0.0,99.0,45.7,45.0,
NVIDIA GeForce RTX 3070,dict4,240144164.0,242922297.0,241533230.5,241533230.5,22.0,27.0,24.5,24.5,73.0,73.0,73.0,73.0,356.11,2058.07,1328.94,2058.07,4.35,25.12,16.22,25.12,0.0,21.0,10.57,17.0,
NVIDIA GeForce RTX 3070,force,397421482.0,1683134785.0,1555753153.94,1676457810.0,67.0,90.0,86.18,89.0,66.0,74.0,70.35,71.0,356.11,3378.07,2263.19,3378.07,4.35,41.24,27.63,41.24,0.0,91.0,43.81,33.5,
NVIDIA GeForce RTX 3070,hybrid,443655299.0,560112433.0,522928030.24,556261924.0,42.0,94.0,81.41,93.0,66.0,76.0,72.59,73.0,451.41,3472.39,2058.41,3054.39,5.51,42.39,25.13,37.29,0.0,96.0,39.1,3.0,
NVIDIA GeForce RTX 3090,combinator,887640411.0,891738909.0,889288517.15,888784253.0,91.0,92.0,91.15,91.0,80.0,83.0,82.0,82.0,499.16,3621.83,3102.49,3621.83,2.03,14.74,12.62,14.74,0.0,95.0,72.89,94.0,
NVIDIA GeForce RTX 3090,dict4,268494505.0,272291114.0,270392809.5,270392809.5,20.0,20.0,20.0,20.0,78.0,78.0,78.0,78.0,541.67,3553.34,2692.91,3553.34,2.2,14.46,10.96,14.46,0.0,20.0,8.14,10.0,
NVIDIA GeForce RTX 3090,force,672714418.0,2809322730.0,2484561633.91,2789878779.0,79.0,91.0,88.45,89.0,76.0,82.0,79.36,80.0,725.0,3846.34,2387.86,2413.34,2.95,15.65,9.72,9.82,0.0,91.0,37.55,0.0,
NVIDIA GeForce RTX 3090,hybrid,732866876.0,902279291.0,873593826.2,900374091.0,39.0,95.0,86.53,93.0,74.0,81.0,79.0,79.0,506.88,3629.55,2588.96,3629.55,2.06,14.77,10.53,14.77,3.0,97.0,26.78,5.0,
NVIDIA RTX A4000,combinator,519256402.0,520141509.0,519619386.08,519580708.0,91.0,93.0,91.54,91.0,79.0,84.0,81.54,82.0,964.02,4013.99,2601.79,3287.99,5.89,24.51,15.89,20.08,0.0,95.0,45.0,19.0,
NVIDIA RTX A4000,dict4,137232599.0,142539197.0,140454747.8,141403794.0,15.0,32.0,20.0,16.0,81.0,84.0,82.8,83.0,817.36,2590.14,2138.1,2571.62,4.99,15.82,13.06,15.7,0.0,27.0,14.38,20.5,
NVIDIA RTX A4000,force,93960631.0,1497371213.0,1376634772.44,1484352102.0,90.0,96.0,91.11,91.0,78.0,87.0,83.28,83.5,743.73,3793.7,2853.92,3793.7,4.54,23.17,17.43,23.17,0.0,99.0,57.93,94.0,
NVIDIA RTX A4000,hybrid,469450506.0,528579130.0,511419273.35,524303655.0,62.0,94.0,90.53,93.0,76.0,84.0,80.0,80.0,1003.97,4057.69,2842.9,4057.69,6.13,24.78,17.36,24.78,0.0,96.0,37.86,7.0,
Radeon RX Vega,combinator,87100306.0,87576635.0,87167498.0,87140858.0,13.0,43.0,38.62,40.0,68.0,69.0,68.77,69.0,9157.98,10659.9,10140.18,10437.24,56.1,65.3,62.16,64.0,0,0,0,0,
Radeon RX Vega,dict3,49857742.0,49857742.0,49857742.0,49857742.0,0.0,0.0,0.0,0.0,71.0,71.0,71.0,71.0,4583.32,5885.46,5412.62,5883.01,28.1,36.1,33.2,36.1,0,0,0,0,
Radeon RX Vega,dict4,95003821.0,97181243.0,96187622.12,96108937.5,0.0,35.0,14.5,6.5,72.0,72.0,72.0,72.0,6928.02,8255.43,7881.82,8215.48,42.5,50.6,48.32,50.4,0,0,0,0,
Radeon RX Vega,force,274645095.0,1175031912.0,1040773260.73,1168232710.0,4.0,96.0,58.0,63.0,67.0,70.0,68.73,69.0,7119.57,8761.77,8349.53,8728.56,43.6,53.7,51.18,53.5,0,0,0,0,
Radeon RX Vega,hybrid,85045068.0,88460448.0,86153133.4,85709637.5,17.0,55.0,42.0,41.0,60.0,62.0,61.0,61.0,8540.67,10396.67,9663.44,10150.09,52.4,63.7,59.25,62.2,0,0,0,0,
