GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,686561973.0,760759618.0,740543385.88,758449504.0,69.0,72.0,70.62,71.0,68.0,69.0,68.75,69.0,2229.83,5257.12,4853.48,5257.06,19.8,46.67,43.09,46.67,6.0,99.0,80.13,99.0,
NVIDIA GeForce GTX 1080 Ti,dict4,230087202.0,230372036.0,230229619.0,230229619.0,48.0,61.0,54.5,54.5,67.0,67.0,67.0,67.0,1145.16,2230.46,1920.89,2230.46,10.17,19.8,17.05,19.8,0.0,66.0,32.14,40.0,
NVIDIA GeForce GTX 1080 Ti,force,318075277.0,4301590630.0,3563241529.9,4273591485.0,73.0,98.0,92.1,93.5,58.0,64.0,61.6,62.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,999450778.0,774105882.07,907556294.0,45.0,97.0,81.4,96.0,52.0,54.0,53.4,54.0,1146.19,4172.84,2788.13,4172.84,10.18,37.05,24.75,37.05,0.0,96.0,25.2,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1586280661.0,1639440293.0,1606221217.69,1605566895.0,83.0,84.0,83.38,83.0,79.0,84.0,82.15,83.0,327.78,3333.68,2148.39,3333.68,4.0,40.69,26.23,40.69,0.0,85.0,44.67,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,286386370.0,286386370.0,286386370.0,286386370.0,50.0,50.0,50.0,50.0,81.0,81.0,81.0,81.0,338.56,2070.46,1204.83,1204.99,4.13,25.27,14.71,14.71,0.0,53.0,24.67,22.5,
NVIDIA GeForce RTX 2080 SUPER,force,447435730.0,7019369646.0,3769905931.5,3806409175.0,56.0,74.0,66.0,67.0,70.0,79.0,73.5,72.5,338.56,3344.46,1517.41,456.46,4.13,40.83,18.52,5.57,0.0,80.0,17.94,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,10411580.0,1168207339.0,824864936.85,950666423.5,1.0,71.0,52.25,61.5,56.0,70.0,65.75,68.0,338.56,3344.46,1677.42,456.46,4.13,40.83,20.48,5.57,0.0,67.0,21.38,0.0,
NVIDIA GeForce RTX 3070,combinator,2678729849.0,2680635786.0,2679681984.67,2679680319.0,89.0,94.0,92.33,94.0,74.0,74.0,74.0,74.0,356.11,3378.07,1440.52,510.07,4.35,41.24,17.58,6.23,0.0,94.0,24.39,0.0,
NVIDIA GeForce RTX 3070,dict4,232557892.0,233385386.0,232971639.0,232971639.0,20.0,30.0,25.0,25.0,73.0,73.0,73.0,73.0,356.11,2058.07,1517.08,2058.07,4.35,25.12,18.52,25.12,0.0,21.0,11.29,18.0,
