GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,118904742.0,121496642.0,119912859.44,119466420.0,93.0,95.0,93.89,94.0,69.0,70.0,69.33,69.0,2211.79,5238.44,4734.14,5238.44,19.64,46.51,42.03,46.51,6.0,94.0,75.0,93.0,
NVIDIA GeForce GTX 1080 Ti,dict4,131833818.0,134737536.0,133038028.8,133148671.0,50.0,56.0,52.2,50.0,70.0,70.0,70.0,70.0,1145.16,2230.46,1905.0,2230.46,10.17,19.8,16.91,19.8,0.0,55.0,35.5,49.5,
NVIDIA GeForce GTX 1080 Ti,force,232242400.0,502750007.0,483314577.24,499533679.0,86.0,98.0,93.67,94.0,58.0,63.0,62.19,63.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,5639467.0,28191408.0,21801455.33,26832236.0,3.0,94.0,66.87,93.0,54.0,56.0,55.27,56.0,1146.19,4172.84,2614.79,1284.84,10.18,37.05,23.21,11.41,0.0,97.0,23.5,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,220701075.0,223410639.0,221666906.86,221480957.0,86.0,87.0,86.07,86.0,79.0,84.0,82.0,83.0,327.78,3333.68,1881.85,1889.68,4.0,40.69,22.97,23.07,0.0,90.0,40.67,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,42256261.0,42256261.0,42256261.0,42256261.0,24.0,24.0,24.0,24.0,60.0,60.0,60.0,60.0,338.56,2070.46,1206.32,1209.46,4.13,25.27,14.73,14.76,1.0,23.0,13.83,17.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,170181777.0,173710003.0,171579744.0,171213598.0,46.0,49.0,48.0,48.5,81.0,83.0,82.0,82.0,338.56,2070.46,1494.37,2070.46,4.13,25.27,18.24,25.27,0.0,48.0,32.89,45.0,
NVIDIA GeForce RTX 2080 SUPER,force,341741626.0,928481034.0,858663467.11,904858042.0,64.0,90.0,84.11,89.0,74.0,88.0,84.16,86.0,338.56,3344.46,2340.5,3344.46,4.13,40.83,28.57,40.83,0.0,90.0,49.97,74.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,227444352.0,242184195.0,231596721.1,229718870.0,69.0,75.0,71.2,71.5,76.0,81.0,78.6,78.5,338.56,3344.46,2024.62,3344.46,4.13,40.83,24.71,40.83,0.0,90.0,38.15,6.0,
NVIDIA GeForce RTX 3070,combinator,335732105.0,337147637.0,336291938.0,336263831.0,88.0,90.0,88.62,89.0,72.0,78.0,75.31,75.0,356.11,3378.07,1929.7,1944.07,4.35,41.24,23.56,23.73,0.0,92.0,42.0,16.5,
