GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict2,163.0,166.0,165.25,166.0,49.0,87.0,76.0,84.0,58.0,59.0,58.75,59.0,1614.15,7473.7,5520.6,7473.45,14.33,66.35,49.01,66.35,0.0,98.0,58.11,84.0,
NVIDIA GeForce GTX 1080 Ti,dict3,261406.0,277873.0,264700.0,262929.0,37.0,98.0,94.56,98.0,80.0,90.0,84.94,85.5,1145.31,7003.96,4076.84,4078.11,10.17,62.18,36.19,36.2,0.0,97.0,32.33,0.0,
NVIDIA GeForce GTX 1080 Ti,force,14.0,170408.0,82152.71,16980.5,75.0,87.0,81.5,85.0,57.0,64.0,60.12,58.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,136417.0,136763.0,136672.22,136707.0,97.0,97.0,97.0,97.0,62.0,62.0,62.0,62.0,1145.98,7070.84,4612.72,7070.84,10.17,62.77,40.95,62.77,0.0,98.0,49.95,63.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,285850.0,295926.0,289220.86,288414.0,90.0,91.0,90.07,90.0,86.0,90.0,87.07,86.5,327.78,6231.68,4047.27,6231.68,4.0,76.07,49.41,76.07,0.0,69.0,41.38,69.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,378.0,378.0,378.0,378.0,70.0,70.0,70.0,70.0,61.0,61.0,61.0,61.0,338.56,6176.46,3674.78,6176.46,4.13,75.4,44.86,75.4,0.0,77.0,32.43,21.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,319894.0,337849.0,326574.33,325176.5,94.0,95.0,94.72,95.0,86.0,89.0,87.11,87.0,338.56,6176.46,5415.47,6176.46,4.13,75.4,66.11,75.4,0.0,95.0,80.0,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,311822.0,334845.0,318901.72,316555.5,94.0,95.0,94.94,95.0,86.0,90.0,87.39,87.0,338.56,6176.46,5415.08,6176.46,4.13,75.4,66.1,75.4,0.0,95.0,80.35,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,1305.0,230378.0,124023.57,207185.0,58.0,76.0,67.81,68.0,65.0,84.0,74.38,76.0,338.56,6242.46,4579.69,6242.46,4.13,76.2,55.9,76.2,0.0,67.0,34.85,52.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,330618.0,338719.0,333805.5,333395.0,94.0,95.0,94.88,95.0,85.0,87.0,86.5,87.0,338.56,6242.46,3651.26,6242.46,4.13,76.2,44.57,76.2,0.0,70.0,32.37,15.0,
NVIDIA GeForce RTX 3070,combinator,234120.0,239405.0,236066.92,235997.0,68.0,70.0,68.77,68.0,76.0,78.0,77.15,77.0,356.11,6256.07,4327.95,6256.07,4.35,76.37,52.83,76.37,0.0,94.0,56.62,93.0,
NVIDIA GeForce RTX 3070,dict2,380.0,380.0,380.0,380.0,65.0,65.0,65.0,65.0,60.0,60.0,60.0,60.0,356.11,6190.07,4927.68,6190.07,4.35,75.56,60.15,75.56,0.0,75.0,44.2,71.0,
NVIDIA GeForce RTX 3070,dict3,322503.0,329607.0,325185.11,324523.0,57.0,96.0,93.0,95.0,79.0,83.0,81.5,81.5,356.11,6190.07,5429.2,6190.07,4.35,75.56,66.27,75.56,0.0,96.0,74.39,94.0,
NVIDIA GeForce RTX 3070,dict4,327970.0,330183.0,328936.78,328840.0,94.0,96.0,95.0,95.0,78.0,83.0,80.72,81.0,356.11,6190.07,5429.2,6190.07,4.35,75.56,66.27,75.56,0.0,95.0,79.48,94.0,
NVIDIA GeForce RTX 3070,force,1457.0,330667.0,248948.93,288990.0,70.0,95.0,85.21,81.0,65.0,79.0,73.38,74.0,356.11,6256.07,4528.18,6256.07,4.35,76.37,55.28,76.37,0.0,82.0,48.45,70.0,
NVIDIA GeForce RTX 3070,hybrid,328880.0,330379.0,329971.25,330204.0,94.0,96.0,94.88,95.0,75.0,78.0,76.75,77.0,515.25,6410.73,4097.46,6410.73,6.29,78.26,50.02,78.26,0.0,95.0,49.7,75.0,
NVIDIA GeForce RTX 3090,combinator,379688.0,384547.0,381505.38,380966.0,68.0,74.0,68.46,68.0,84.0,86.0,85.46,86.0,499.16,6495.83,5594.79,6495.83,2.03,26.43,22.77,26.43,0.0,94.0,72.83,90.0,
NVIDIA GeForce RTX 3090,dict2,388.0,388.0,388.0,388.0,57.0,57.0,57.0,57.0,74.0,74.0,74.0,74.0,499.91,6430.58,3889.24,6430.58,2.03,26.17,15.83,26.17,0.0,68.0,25.71,1.0,
NVIDIA GeForce RTX 3090,dict3,524067.0,533207.0,527820.61,528950.5,79.0,97.0,94.89,96.0,83.0,86.0,85.28,85.5,542.01,6471.34,5955.8,6471.34,2.21,26.33,24.23,26.33,0.0,97.0,81.7,95.0,
NVIDIA GeForce RTX 3090,dict4,534395.0,546785.0,536549.28,534758.5,95.0,97.0,95.61,95.5,83.0,86.0,84.72,85.0,542.01,6471.34,5698.0,6471.34,2.21,26.33,23.19,26.33,0.0,96.0,78.52,95.0,
NVIDIA GeForce RTX 3090,force,1355.0,413942.0,251397.67,309941.0,34.0,86.0,66.06,66.0,74.0,83.0,78.06,77.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,357728.0,362476.0,360180.0,360288.0,54.0,69.0,66.25,67.5,82.0,84.0,83.25,83.5,518.76,6515.43,3894.06,6515.43,2.11,26.51,15.84,26.51,0.0,75.0,32.5,13.5,
NVIDIA RTX A4000,combinator,286041.0,288861.0,287175.08,286990.0,95.0,96.0,95.62,96.0,84.0,88.0,86.0,86.0,972.1,6917.32,5137.7,6910.03,5.94,42.24,31.37,42.2,0.0,82.0,49.22,72.0,
NVIDIA RTX A4000,dict2,353.0,353.0,353.0,353.0,46.0,46.0,46.0,46.0,73.0,73.0,73.0,73.0,743.42,6625.39,4420.14,6625.39,4.54,40.46,26.99,40.46,0.0,97.0,36.62,32.0,
NVIDIA RTX A4000,dict3,281893.0,285072.0,283563.11,283637.0,96.0,96.0,96.0,96.0,87.0,90.0,88.78,89.0,757.51,6639.48,5197.98,6639.48,4.63,40.54,31.74,40.54,0.0,97.0,66.11,97.0,
NVIDIA RTX A4000,dict4,287848.0,292268.0,289515.72,289413.0,95.0,96.0,95.94,96.0,81.0,88.0,85.39,85.5,843.28,6725.25,6213.24,6725.25,5.15,41.07,37.94,41.07,3.0,98.0,80.87,97.0,
NVIDIA RTX A4000,force,19.0,172906.0,99890.71,169972.0,43.0,96.0,60.19,59.0,78.0,86.0,81.62,82.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,213359.0,215784.0,214204.89,213924.0,69.0,72.0,70.11,70.0,83.0,86.0,84.89,85.0,1075.41,7027.12,4562.19,7023.38,6.57,42.91,27.86,42.89,1.0,94.0,45.74,19.0,
Radeon RX Vega,combinator,215531.0,216191.0,215709.0,215641.0,12.0,95.0,83.54,94.0,66.0,68.0,67.38,67.0,9201.16,10520.87,10150.69,10505.05,56.4,64.5,62.22,64.4,0,0,0,0,
Radeon RX Vega,dict2,121.0,122.0,121.83,122.0,0.0,78.0,60.0,77.0,62.0,63.0,62.33,62.0,4552.51,5854.54,5537.55,5846.92,27.9,35.9,33.96,35.85,0,0,0,0,
Radeon RX Vega,dict3,213724.0,216002.0,214801.89,214484.0,14.0,96.0,86.72,94.0,71.0,72.0,71.89,72.0,4590.56,5921.94,5788.64,5919.75,28.1,36.3,35.49,36.3,0,0,0,0,
Radeon RX Vega,dict4,214722.0,216057.0,215236.76,215182.0,14.0,96.0,85.88,94.0,72.0,73.0,72.18,72.0,8765.15,10136.9,9889.61,10098.2,53.7,62.1,60.61,61.9,0,0,0,0,
Radeon RX Vega,force,11.0,161119.0,68652.93,14826.0,20.0,77.0,61.96,70.0,60.0,67.0,62.63,61.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,213388.0,215252.0,214737.5,214928.0,14.0,95.0,76.25,94.0,59.0,61.0,59.75,60.0,7844.05,9485.16,8951.65,9461.8,48.1,58.1,54.87,58.0,0,0,0,0,
