GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,963419.0,1033507.0,995388.5,990240.0,94.0,96.0,95.12,95.0,63.0,65.0,63.75,63.0,1458.93,6011.94,5278.93,6011.81,12.95,53.37,46.87,53.37,0.0,96.0,71.53,94.0,
NVIDIA GeForce GTX 1080 Ti,dict3,683325.0,712082.0,693469.56,692861.5,21.0,96.0,72.11,76.0,76.0,79.0,77.78,78.0,1624.98,6023.26,5442.97,6013.63,14.43,53.47,48.32,53.39,0.0,98.0,75.65,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1251581.0,1364838.0,1292308.94,1271667.0,97.0,98.0,97.17,97.0,81.0,83.0,82.0,82.0,1145.81,5534.46,4962.26,5534.46,10.17,49.13,44.05,49.13,0.0,97.0,73.91,96.0,
NVIDIA GeForce GTX 1080 Ti,force,6145.0,578262.0,328697.41,262730.0,60.0,94.0,80.64,93.0,52.0,58.0,53.45,52.0,1142.79,5599.65,4992.1,5599.65,10.15,49.71,44.32,49.71,0.0,98.0,70.36,96.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,834499.0,1165669.0,1025036.22,1044503.0,97.0,99.0,98.33,99.0,53.0,64.0,57.78,55.0,1142.04,5599.59,4913.97,5599.59,10.14,49.71,43.63,49.71,0.0,98.0,59.08,97.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1464322.0,1562205.0,1501357.31,1492393.0,97.0,97.0,97.0,97.0,86.0,89.0,86.85,87.0,327.78,4761.68,4022.8,4761.68,4.0,58.13,49.11,58.13,0.0,93.0,73.28,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1296589.0,1338506.0,1310069.06,1305904.5,84.0,93.0,87.5,84.0,80.0,86.0,83.61,84.0,338.56,4706.46,4136.82,4706.46,4.13,57.45,50.5,57.45,0.0,93.0,71.26,84.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1323473.0,1403202.0,1346534.72,1331985.0,84.0,93.0,91.94,92.0,86.0,88.0,87.0,87.0,338.56,4706.46,4310.19,4706.46,4.13,57.45,52.61,57.45,0.0,94.0,80.82,93.0,
NVIDIA GeForce RTX 2080 SUPER,force,675986.0,1668444.0,1379443.75,1663102.5,61.0,94.0,83.25,92.0,70.0,86.0,81.56,85.0,338.56,4772.46,4107.47,4772.46,4.13,58.26,50.14,58.26,0.0,93.0,65.85,71.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1568595.0,1579201.0,1573408.38,1574970.0,91.0,93.0,92.38,93.0,85.0,87.0,86.0,86.0,338.56,4772.46,4090.4,4772.46,4.13,58.26,49.93,58.26,0.0,93.0,61.69,92.0,
