GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,20164.0,20232.0,20182.67,20174.0,94.0,97.0,96.67,97.0,66.0,67.0,66.56,67.0,1616.85,7687.17,6764.88,7669.18,14.35,68.25,60.06,68.09,0.0,98.0,75.1,97.0,
NVIDIA GeForce GTX 1080 Ti,dict1,110.0,110.0,110.0,110.0,59.0,67.0,64.57,65.0,57.0,57.0,57.0,57.0,1619.14,7619.04,5819.26,7619.04,14.37,67.64,51.66,67.64,2.0,72.0,49.4,68.0,
NVIDIA GeForce GTX 1080 Ti,dict2,10.0,12.0,10.67,11.0,63.0,75.0,67.89,68.0,58.0,61.0,59.17,59.0,1538.74,7523.48,6775.39,7523.48,13.66,66.79,60.15,66.79,0.0,72.0,55.38,67.0,
NVIDIA GeForce GTX 1080 Ti,dict3,19922.0,20494.0,20105.56,20056.5,95.0,98.0,97.44,98.0,82.0,85.0,83.89,84.0,1105.06,7089.71,6341.85,7089.71,9.81,62.94,56.3,62.94,0.0,97.0,79.5,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,24127.0,25015.0,24466.28,24411.0,96.0,97.0,96.94,97.0,82.0,85.0,83.72,83.5,1145.81,7130.46,6382.6,7130.46,10.17,63.3,56.66,63.3,0.0,97.0,79.62,97.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,55.0,65.0,59.75,59.5,53.0,54.0,53.25,53.0,1147.23,7200.09,3980.33,1288.09,10.18,63.92,35.34,11.44,0.0,94.0,28.83,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,8176.0,8372.0,8306.88,8327.0,94.0,94.0,94.0,94.0,58.0,59.0,58.62,59.0,1136.23,7188.21,3865.12,1276.21,10.09,63.82,34.31,11.33,0.0,97.0,40.08,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,23566.0,24000.0,23802.0,23871.0,72.0,74.0,72.92,73.0,84.0,86.0,85.08,85.0,327.78,6357.68,3485.68,6357.68,4.0,77.61,42.55,77.61,0.0,72.0,34.03,30.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,234.0,235.0,234.5,234.5,63.0,64.0,63.5,63.5,58.0,58.0,58.0,58.0,327.78,6291.68,2381.3,445.68,4.0,76.8,29.07,5.44,0.0,64.0,20.11,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,23.0,24.0,23.84,24.0,61.0,64.0,62.74,63.0,59.0,60.0,59.74,60.0,338.56,6302.46,5525.03,6302.46,4.13,76.93,67.44,76.93,0.0,50.0,42.13,48.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,29530.0,31110.0,30097.61,29976.0,91.0,92.0,91.11,91.0,87.0,88.0,87.17,87.0,338.56,6302.46,5557.05,6302.46,4.13,76.93,67.84,76.93,0.0,92.0,75.33,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,28843.0,30095.0,29114.83,28930.0,91.0,92.0,91.89,92.0,87.0,89.0,87.83,88.0,338.56,6302.46,5440.93,6302.46,4.13,76.93,66.42,76.93,0.0,93.0,74.92,91.0,
NVIDIA GeForce RTX 2080 SUPER,force,2.0,2.0,2.0,2.0,62.0,64.0,62.67,63.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,23974.0,24289.0,24131.5,24131.5,72.0,73.0,72.25,72.0,83.0,85.0,84.25,84.0,338.56,6368.46,3048.35,456.46,4.13,77.74,37.21,5.57,0.0,74.0,29.24,0.0,
NVIDIA GeForce RTX 3070,combinator,30613.0,30814.0,30692.46,30747.0,90.0,91.0,90.85,91.0,70.0,77.0,73.77,74.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict1,355.0,355.0,355.0,355.0,35.0,35.0,35.0,35.0,56.0,56.0,56.0,56.0,356.11,6314.07,1938.07,510.07,4.35,77.08,23.66,6.23,0.0,61.0,9.5,0.0,
NVIDIA GeForce RTX 3070,dict2,35.0,36.0,35.95,36.0,65.0,76.0,70.84,72.0,58.0,59.0,58.74,59.0,356.11,6314.07,5570.11,6314.07,4.35,77.08,67.99,77.08,0.0,96.0,52.58,62.0,
NVIDIA GeForce RTX 3070,dict3,32863.0,33025.0,32893.06,32863.0,95.0,96.0,95.89,96.0,74.0,80.0,77.56,78.0,356.11,6314.07,5687.33,6314.07,4.35,77.08,69.43,77.08,0.0,96.0,82.57,95.0,
NVIDIA GeForce RTX 3070,dict4,32735.0,32967.0,32800.65,32759.0,92.0,96.0,95.71,96.0,74.0,80.0,77.53,78.0,356.11,6314.07,5796.03,6314.07,4.35,77.08,70.75,77.08,0.0,96.0,82.35,95.0,
NVIDIA GeForce RTX 3070,force,3.0,3.0,3.0,3.0,65.0,74.0,71.0,71.0,60.0,60.0,60.0,60.0,356.11,6380.07,3371.95,1924.07,4.35,77.88,41.16,23.49,0.0,62.0,27.04,0.0,
NVIDIA GeForce RTX 3070,hybrid,30642.0,30864.0,30773.22,30795.0,90.0,92.0,90.67,91.0,69.0,73.0,71.33,71.0,495.98,6518.96,3178.79,648.96,6.05,79.58,38.8,7.92,0.0,90.0,35.85,0.0,
NVIDIA GeForce RTX 3090,combinator,40274.0,40752.0,40499.71,40477.0,71.0,71.0,71.0,71.0,82.0,85.0,83.93,84.0,499.16,6619.83,5939.83,6619.83,2.03,26.94,24.17,26.94,0.0,87.0,68.17,80.0,
NVIDIA GeForce RTX 3090,dict1,296.0,296.0,296.0,296.0,63.0,63.0,63.0,63.0,70.0,70.0,70.0,70.0,499.91,6554.58,4826.2,6554.58,2.03,26.67,19.64,26.67,0.0,82.0,39.57,65.0,
NVIDIA GeForce RTX 3090,dict2,30.0,30.0,30.0,30.0,62.0,63.0,62.89,63.0,72.0,73.0,72.94,73.0,499.91,6554.58,5764.95,6554.58,2.03,26.67,23.46,26.67,0.0,79.0,59.0,73.0,
NVIDIA GeForce RTX 3090,dict3,52659.0,53457.0,52993.44,53008.5,96.0,97.0,96.39,96.0,83.0,86.0,85.28,86.0,540.61,6595.34,5838.62,6595.34,2.2,26.84,23.76,26.84,0.0,97.0,77.38,96.0,
NVIDIA GeForce RTX 3090,force,3.0,3.0,3.0,3.0,62.0,63.0,62.88,63.0,71.0,71.0,71.0,71.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,40383.0,40850.0,40657.38,40815.0,70.0,71.0,70.12,70.0,79.0,82.0,80.75,81.0,520.1,6640.77,5699.23,6640.77,2.12,27.02,23.19,27.02,0.0,80.0,54.54,74.0,
NVIDIA RTX A4000,combinator,28217.0,28545.0,28419.46,28434.0,93.0,93.0,93.0,93.0,76.0,83.0,80.15,80.0,744.04,6818.01,4483.94,6818.01,4.54,41.63,27.38,41.63,0.0,95.0,50.75,88.5,
NVIDIA RTX A4000,dict1,370.0,370.0,370.0,370.0,72.0,72.0,72.0,72.0,65.0,65.0,65.0,65.0,743.42,6751.39,4749.17,6751.39,4.54,41.23,29.0,41.23,0.0,56.0,30.11,36.0,
NVIDIA RTX A4000,dict2,38.0,38.0,38.0,38.0,69.0,76.0,75.61,76.0,70.0,71.0,70.44,70.0,743.42,6751.51,6030.64,6751.39,4.54,41.23,36.83,41.23,0.0,67.0,52.08,63.0,
NVIDIA RTX A4000,dict3,27436.0,27710.0,27508.0,27465.0,86.0,94.0,92.72,93.0,82.0,89.0,86.06,86.5,856.03,6864.0,4651.41,6864.0,5.23,41.91,28.4,41.91,0.0,95.0,54.0,95.0,
NVIDIA RTX A4000,dict4,27210.0,27522.0,27292.12,27247.0,85.0,94.0,92.59,93.0,83.0,89.0,86.59,87.0,804.26,6816.98,6063.77,6812.23,4.91,41.63,37.03,41.6,3.0,96.0,78.0,96.0,
