GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,933777491.0,995731385.0,957317528.33,953507689.0,93.0,93.0,93.0,93.0,71.0,75.0,71.44,71.0,2213.89,5241.19,3727.76,3727.86,19.65,46.53,33.09,33.1,6.0,97.0,36.33,6.5,
NVIDIA GeForce GTX 1080 Ti,dict3,51713816.0,51713816.0,51713816.0,51713816.0,19.0,19.0,19.0,19.0,68.0,68.0,68.0,68.0,1151.73,4113.02,3126.03,4113.02,10.22,36.51,27.75,36.51,0.0,14.0,7.0,7.0,
NVIDIA GeForce GTX 1080 Ti,dict4,259761327.0,269419601.0,264590464.0,264590464.0,24.0,26.0,25.0,25.0,70.0,70.0,70.0,70.0,1148.1,4106.46,3261.31,4106.46,10.19,36.46,28.95,36.46,0.0,29.0,15.86,25.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,948654551.0,789746481.58,851937749.0,93.0,96.0,94.95,95.0,64.0,68.0,66.0,66.0,1149.44,4176.09,2838.34,4176.09,10.2,37.07,25.2,37.07,0.0,98.0,35.45,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,467602472.0,718042884.0,512006968.94,468919785.5,33.0,96.0,88.56,93.0,53.0,64.0,55.89,55.0,1142.29,4172.84,3186.84,4172.84,10.14,37.05,28.29,37.05,0.0,98.0,60.67,95.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1042626191.0,1081437133.0,1055567791.0,1052464225.0,91.0,91.0,91.0,91.0,85.0,89.0,87.0,87.0,327.78,3333.68,2511.91,3333.68,4.0,40.69,30.66,40.69,0.0,92.0,59.11,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,25445578.0,41111703.0,31221854.0,29165067.5,1.0,19.0,6.25,2.5,53.0,56.0,54.0,53.5,338.56,3278.46,2298.65,3278.46,4.13,40.02,28.06,40.02,0.0,42.0,14.33,13.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,360630696.0,360630696.0,360630696.0,360630696.0,38.0,38.0,38.0,38.0,77.0,77.0,77.0,77.0,338.56,3278.46,2298.65,3278.46,4.13,40.02,28.06,40.02,0.0,49.0,17.17,9.5,
NVIDIA GeForce RTX 2080 SUPER,force,74023977.0,1103801096.0,996051974.17,1064951153.0,65.0,94.0,88.67,94.0,78.0,89.0,85.94,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,10490778.0,1137808903.0,726727610.52,1090878271.0,1.0,94.0,65.48,82.0,63.0,88.0,79.48,85.0,338.56,3344.46,2413.95,3344.46,4.13,40.83,29.47,40.83,0.0,94.0,41.58,45.0,
