GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,12531.0,12587.0,12566.0,12573.0,97.0,97.0,97.0,97.0,62.0,63.0,62.25,62.0,2168.5,6727.55,6227.92,6701.68,19.25,59.73,55.29,59.5,0.0,97.0,76.63,96.0,
NVIDIA GeForce GTX 1080 Ti,dict3,55.0,55.0,55.0,55.0,21.0,80.0,50.5,50.5,60.0,60.0,60.0,60.0,1143.44,5635.52,4352.32,5635.52,10.15,50.03,38.64,50.03,0.0,79.0,35.14,9.0,
NVIDIA GeForce GTX 1080 Ti,dict4,55.0,55.0,55.0,55.0,78.0,80.0,79.05,79.0,58.0,60.0,59.0,59.0,1142.79,5635.96,5261.55,5635.96,10.15,50.04,46.71,50.04,0.0,81.0,64.33,79.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,7040.0,7223.0,7155.11,7116.0,95.0,95.0,95.0,95.0,50.0,50.0,50.0,50.0,1133.29,1133.29,1133.29,1133.29,10.06,10.06,10.06,10.06,94.0,94.0,94.0,94.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,16881.0,16980.0,16930.08,16943.0,96.0,96.0,96.0,96.0,72.0,77.0,75.0,75.0,328.73,328.73,328.73,328.73,4.01,4.01,4.01,4.01,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,82.0,82.0,82.0,82.0,66.0,66.0,66.0,66.0,64.0,64.0,64.0,64.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,81.0,81.0,81.0,81.0,66.0,67.0,66.94,67.0,68.0,69.0,68.22,68.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,16961.0,16976.0,16964.0,16961.0,96.0,96.0,96.0,96.0,72.0,76.0,74.62,75.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,30819.0,30932.0,30857.92,30853.0,92.0,93.0,92.92,93.0,68.0,71.0,69.77,70.0,356.11,4900.07,2830.44,4004.07,4.35,59.82,34.55,48.88,0.0,92.0,47.5,76.0,
NVIDIA GeForce RTX 3070,dict4,107.0,112.0,108.21,108.0,39.0,76.0,68.71,70.0,63.0,65.0,64.29,64.0,510.07,510.07,510.07,510.07,6.23,6.23,6.23,6.23,1.0,1.0,1.0,1.0,
NVIDIA GeForce RTX 3070,hybrid,30898.0,30981.0,30931.22,30919.0,92.0,93.0,92.78,93.0,67.0,69.0,68.22,68.0,495.0,495.98,495.49,495.49,6.04,6.05,6.05,6.05,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3090,combinator,53140.0,53473.0,53299.77,53310.0,91.0,94.0,92.08,92.0,81.0,83.0,82.31,83.0,499.66,5142.33,4626.55,5142.33,2.03,20.92,18.83,20.92,0.0,95.0,75.67,93.0,
NVIDIA GeForce RTX 3090,dict4,103.0,105.0,104.79,105.0,61.0,75.0,70.86,71.5,75.0,77.0,76.0,76.0,1067.93,5643.27,4957.02,5643.27,4.35,22.96,20.17,22.96,0.0,74.0,54.1,69.0,
NVIDIA GeForce RTX 3090,hybrid,53277.0,53684.0,53442.5,53388.0,91.0,92.0,91.5,91.5,78.0,81.0,79.75,80.0,557.49,558.83,558.16,558.16,2.27,2.27,2.27,2.27,3.0,16.0,9.5,9.5,
NVIDIA RTX A4000,combinator,29437.0,29792.0,29596.23,29616.0,92.0,93.0,92.92,93.0,79.0,85.0,82.38,83.0,743.42,5325.39,3413.89,5325.39,4.54,32.52,20.85,32.52,0.0,96.0,49.79,79.0,
NVIDIA RTX A4000,dict4,92.0,98.0,95.56,96.0,41.0,72.0,65.75,72.0,79.0,82.0,80.31,80.0,828.99,5343.21,4698.3,5343.21,5.06,32.63,28.69,32.63,0.0,70.0,52.24,66.0,
NVIDIA RTX A4000,hybrid,29392.0,29595.0,29483.75,29488.0,93.0,93.0,93.0,93.0,79.0,82.0,80.75,81.0,1359.03,1375.05,1367.04,1367.04,8.3,8.4,8.35,8.35,11.0,39.0,25.0,25.0,
Radeon RX Vega,combinator,30528.0,30562.0,30538.92,30535.0,14.0,94.0,82.08,93.5,67.0,68.0,67.42,67.0,5896.45,5896.45,5896.45,5896.45,36.1,36.1,36.1,36.1,0,0,0,0,
Radeon RX Vega,dict3,37.0,37.0,37.0,37.0,0.0,75.0,50.0,75.0,73.0,73.0,73.0,73.0,5398.21,5398.21,5398.21,5398.21,33.1,33.1,33.1,33.1,0,0,0,0,
Radeon RX Vega,dict4,37.0,37.0,37.0,37.0,19.0,76.0,70.5,75.0,73.0,74.0,73.94,74.0,7030.45,7030.45,7030.45,7030.45,43.1,43.1,43.1,43.1,0,0,0,0,
Radeon RX Vega,hybrid,30529.0,30538.0,30533.5,30533.0,15.0,94.0,77.0,94.0,64.0,66.0,64.88,65.0,8924.34,8924.34,8924.34,8924.34,54.7,54.7,54.7,54.7,0,0,0,0,
