GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,94323.0,98466.0,96274.22,95853.0,91.0,98.0,97.0,98.0,60.0,63.0,61.11,61.0,2321.54,6897.4,6350.95,6808.38,20.61,61.23,56.38,60.44,6.0,98.0,80.16,96.0,
NVIDIA GeForce GTX 1080 Ti,dict2,235.0,235.0,235.0,235.0,36.0,82.0,66.33,81.0,60.0,61.0,60.33,60.0,1630.3,6138.2,4447.12,6124.95,14.47,54.49,39.48,54.38,1.0,85.0,31.75,1.0,
NVIDIA GeForce GTX 1080 Ti,dict3,102746.0,105015.0,103466.39,103196.0,96.0,100.0,98.28,98.5,79.0,81.0,79.89,80.0,1151.6,5637.96,5230.14,5637.96,10.22,50.05,46.43,50.05,0.0,98.0,82.32,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,117844.0,118270.0,117965.61,117925.0,96.0,98.0,96.89,97.0,75.0,76.0,75.67,76.0,1148.1,5641.21,5077.56,5638.46,10.19,50.08,45.08,50.06,0.0,98.0,80.96,97.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,10712.0,5545.18,8025.0,80.0,98.0,91.24,95.0,54.0,57.0,54.82,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,76176.0,98727.0,88493.33,87777.0,97.0,100.0,98.0,98.0,54.0,62.0,57.22,55.0,1146.19,5705.15,4793.51,5705.15,10.18,50.65,42.56,50.65,0.0,98.0,72.53,95.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,108518.0,108869.0,108749.58,108755.0,97.0,98.0,97.25,97.0,78.0,82.0,80.67,81.0,327.78,4865.68,4149.74,4865.68,4.0,59.4,50.66,59.4,0.0,98.0,76.11,96.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,349.0,349.0,349.0,349.0,59.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,338.56,4810.46,3532.91,4810.46,4.13,58.72,43.13,58.72,0.0,67.0,35.29,43.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,103149.0,104903.0,103839.33,103562.0,86.0,96.0,93.94,94.0,81.0,84.0,82.83,83.0,338.56,4810.46,4251.55,4810.46,4.13,58.72,51.9,58.72,0.0,99.0,83.67,97.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,102680.0,104745.0,103177.11,103047.5,94.0,95.0,94.39,94.0,84.0,87.0,85.28,85.0,338.56,4810.46,4065.22,4810.46,4.13,58.72,49.62,58.72,0.0,97.0,77.58,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,924.0,130260.0,62447.5,92715.5,65.0,88.0,78.1,82.5,65.0,74.0,69.8,71.5,338.56,4876.46,4309.3,4876.46,4.13,59.53,52.6,59.53,0.0,95.0,70.25,73.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,108124.0,109001.0,108581.62,108739.0,95.0,98.0,96.62,97.0,77.0,80.0,78.88,79.0,338.56,4876.46,3904.19,4876.46,4.13,59.53,47.66,59.53,0.0,90.0,62.07,88.0,
NVIDIA GeForce RTX 3070,combinator,142467.0,142560.0,142512.15,142527.0,94.0,98.0,96.77,97.0,73.0,76.0,75.15,75.0,356.11,4900.07,4182.71,4900.07,4.35,59.82,51.06,59.82,0.0,100.0,73.95,92.0,
NVIDIA GeForce RTX 3070,dict2,392.0,392.0,392.0,392.0,69.0,69.0,69.0,69.0,60.0,60.0,60.0,60.0,356.11,4834.07,2915.22,4834.07,4.35,59.01,35.59,59.01,0.0,72.0,25.86,0.0,
NVIDIA GeForce RTX 3070,dict3,138379.0,142177.0,139178.06,138865.0,51.0,99.0,92.12,97.0,74.0,76.0,75.24,75.0,356.11,4834.07,4250.46,4834.07,4.35,59.01,51.89,59.01,0.0,98.0,75.83,95.0,
NVIDIA GeForce RTX 3070,dict4,149950.0,150808.0,150373.27,150372.0,98.0,100.0,99.33,100.0,76.0,77.0,76.67,77.0,356.11,4834.07,4250.07,4834.07,4.35,59.01,51.88,59.01,0.0,98.0,77.3,95.0,
NVIDIA GeForce RTX 3070,force,1007.0,125742.0,74126.55,125045.5,69.0,87.0,83.25,86.0,63.0,67.0,65.15,66.0,356.11,4900.07,4251.03,4900.07,4.35,59.82,51.89,59.82,0.0,89.0,58.57,74.0,
NVIDIA GeForce RTX 3070,hybrid,142536.0,142679.0,142616.62,142634.5,91.0,98.0,95.12,95.5,70.0,73.0,71.75,71.5,501.25,5044.23,4071.7,5044.23,6.12,61.58,49.7,61.58,0.0,98.0,70.07,93.0,
NVIDIA GeForce RTX 3090,combinator,141839.0,145817.0,143195.08,142795.0,59.0,72.0,66.62,65.0,82.0,82.0,82.0,82.0,499.16,5141.83,4368.64,5141.83,2.03,20.92,17.78,20.92,0.0,99.0,74.78,97.0,
NVIDIA GeForce RTX 3090,dict2,328.0,328.0,328.0,328.0,54.0,54.0,54.0,54.0,74.0,74.0,74.0,74.0,499.91,5076.58,3116.67,5076.58,2.03,20.66,12.68,20.66,0.0,62.0,27.86,15.0,
NVIDIA GeForce RTX 3090,dict3,225019.0,234129.0,227396.31,226597.0,94.0,100.0,96.88,97.0,82.0,84.0,82.5,82.0,541.8,5119.97,4522.96,5119.84,2.2,20.83,18.4,20.83,0.0,99.0,77.96,95.0,
NVIDIA GeForce RTX 3090,dict4,231982.0,236184.0,233367.29,232796.0,93.0,99.0,96.29,96.0,82.0,83.0,82.59,83.0,541.8,5119.97,4523.06,5119.97,2.2,20.83,18.4,20.83,0.0,99.0,79.22,96.0,
NVIDIA GeForce RTX 3090,force,842.0,195699.0,107374.71,194994.0,65.0,91.0,82.19,85.0,75.0,80.0,77.57,78.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,245888.0,247031.0,246468.83,246495.5,98.0,100.0,99.33,100.0,83.0,84.0,83.83,84.0,508.2,5156.24,4439.19,5150.87,2.07,20.98,18.06,20.96,0.0,99.0,71.31,95.0,
NVIDIA RTX A4000,combinator,132229.0,134029.0,132696.67,132540.0,93.0,99.0,96.08,96.0,87.0,88.0,87.58,88.0,983.35,5584.15,5082.78,5562.52,6.0,34.1,31.04,33.97,4.0,99.0,79.32,96.0,
NVIDIA RTX A4000,dict2,354.0,354.0,354.0,354.0,62.0,62.0,62.0,62.0,74.0,74.0,74.0,74.0,743.42,5259.39,3324.54,5259.39,4.54,32.12,20.3,32.12,0.0,74.0,36.86,41.0,
NVIDIA RTX A4000,dict3,132053.0,134036.0,132836.62,132734.0,84.0,100.0,97.06,100.0,89.0,90.0,89.25,89.0,738.32,5258.04,4693.09,5258.04,4.51,32.11,28.66,32.11,0.0,99.0,78.17,97.0,
NVIDIA RTX A4000,dict4,133599.0,136264.0,134528.24,134461.0,93.0,100.0,96.82,97.0,89.0,90.0,89.53,90.0,812.45,5332.0,4739.21,5326.44,4.96,32.56,28.94,32.53,0.0,99.0,77.61,97.0,
NVIDIA RTX A4000,force,843.0,122942.0,80034.5,120714.0,57.0,88.0,80.94,87.0,81.0,85.0,82.94,83.5,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,135892.0,137228.0,136500.38,136579.5,95.0,100.0,97.62,97.5,86.0,87.0,86.38,86.0,1057.47,5640.81,4722.76,5634.69,6.46,34.45,28.84,34.41,3.0,100.0,72.47,98.0,
Radeon RX Vega,combinator,272803.0,273189.0,272892.15,272844.0,17.0,94.0,84.0,94.0,69.0,70.0,69.08,69.0,9302.23,9641.12,9533.06,9594.46,57.0,59.1,58.45,58.85,0,0,0,0,
Radeon RX Vega,dict2,203.0,203.0,203.0,203.0,0.0,76.0,50.67,76.0,62.0,63.0,62.67,63.0,4570.7,4946.54,4784.51,4810.4,28.0,30.3,29.32,29.5,0,0,0,0,
Radeon RX Vega,dict3,265392.0,272038.0,266942.88,266498.0,16.0,96.0,82.06,94.0,73.0,74.0,73.06,73.0,4616.61,4979.55,4828.74,4890.07,28.3,30.5,29.6,30.0,0,0,0,0,
Radeon RX Vega,dict4,270091.0,271855.0,270597.35,270370.0,16.0,94.0,75.06,94.0,73.0,74.0,73.59,74.0,8780.69,9111.93,9001.15,9015.64,53.8,55.9,55.18,55.3,0,0,0,0,
Radeon RX Vega,force,19.0,223476.0,114255.14,107633.5,25.0,86.0,67.09,78.5,59.0,65.0,61.82,61.0,8017.88,9148.55,8378.92,8357.46,49.2,56.1,51.37,51.25,0,0,0,0,
Radeon RX Vega,hybrid,272149.0,273470.0,272739.62,272408.0,16.0,96.0,77.62,94.0,62.0,63.0,62.62,63.0,7972.97,8593.44,8341.27,8399.33,48.9,52.7,51.15,51.5,0,0,0,0,
