GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,148553.0,153969.0,151365.88,151250.0,95.0,96.0,95.75,96.0,62.0,65.0,63.62,63.0,2267.1,6924.4,6337.31,6824.26,20.13,61.47,56.26,60.58,0.0,98.0,80.39,95.0,
NVIDIA GeForce GTX 1080 Ti,dict2,268.0,268.0,268.0,268.0,15.0,79.0,47.0,47.0,60.0,60.0,60.0,60.0,1642.8,6135.45,4450.64,6134.33,14.58,54.47,39.51,54.46,0.0,86.0,33.75,4.0,
NVIDIA GeForce GTX 1080 Ti,dict3,155321.0,160552.0,156414.5,156147.0,36.0,97.0,92.78,96.0,80.0,83.0,82.61,83.0,1150.1,5644.9,5058.81,5644.9,10.21,50.11,44.91,50.11,0.0,97.0,75.91,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,182849.0,184427.0,183803.89,184042.0,70.0,95.0,93.61,95.0,76.0,80.0,79.5,80.0,1148.1,5638.46,5057.5,5638.46,10.19,50.06,44.9,50.06,0.0,96.0,79.7,95.0,
NVIDIA GeForce GTX 1080 Ti,force,1060.0,124857.0,69040.39,123023.0,77.0,97.0,92.78,96.0,54.0,59.0,56.57,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,121927.0,154329.0,139646.62,140947.5,95.0,97.0,96.5,97.0,55.0,63.0,58.38,56.5,1146.19,5704.84,5003.53,5704.84,10.18,50.65,44.42,50.65,0.0,95.0,65.77,95.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,137156.0,138523.0,137561.15,137413.0,85.0,86.0,85.08,85.0,77.0,80.0,79.0,79.0,327.78,4865.68,4361.52,4865.68,4.0,59.4,53.24,59.4,0.0,96.0,76.5,96.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,154269.0,158006.0,155660.94,155528.0,83.0,92.0,89.44,91.0,81.0,84.0,83.17,83.0,338.56,4810.46,4227.25,4810.46,4.13,58.72,51.6,58.72,0.0,96.0,80.91,96.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,152387.0,155321.0,153285.44,153003.5,91.0,92.0,91.56,92.0,85.0,86.0,85.33,85.0,338.56,4810.46,4200.74,4810.46,4.13,58.72,51.28,58.72,0.0,92.0,77.68,92.0,
NVIDIA GeForce RTX 2080 SUPER,force,1568.0,133110.0,97443.5,132552.0,63.0,81.0,74.56,76.0,64.0,75.0,70.62,73.0,338.56,4876.46,4228.28,4876.46,4.13,59.53,51.61,59.53,0.0,81.0,56.05,67.0,
