GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,148720.0,153866.0,151440.25,151484.0,95.0,96.0,95.5,95.5,62.0,64.0,62.75,62.0,2248.41,6806.5,6300.14,6806.5,19.96,60.43,55.93,60.43,6.0,97.0,75.5,95.0,
NVIDIA GeForce GTX 1080 Ti,dict2,226.0,226.0,226.0,226.0,42.0,67.0,58.67,67.0,60.0,60.0,60.0,60.0,1629.59,6130.57,4200.63,6122.63,14.47,54.43,37.29,54.36,0.0,98.0,49.0,79.0,
NVIDIA GeForce GTX 1080 Ti,dict3,151173.0,155433.0,152199.5,151867.0,35.0,96.0,91.11,96.0,80.0,83.0,82.44,83.0,1151.6,5644.9,5063.68,5644.9,10.22,50.11,44.95,50.11,0.0,98.0,78.91,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,182731.0,184340.0,183690.39,183961.5,95.0,95.0,95.0,95.0,79.0,80.0,79.67,80.0,1146.19,5638.84,5077.33,5638.84,10.18,50.06,45.08,50.06,0.0,97.0,77.42,95.0,
NVIDIA GeForce GTX 1080 Ti,force,1055.0,125009.0,69142.39,122541.0,77.0,97.0,92.96,96.0,53.0,59.0,56.17,56.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,119838.0,154400.0,137638.25,136652.0,95.0,98.0,96.75,97.0,54.0,63.0,57.62,55.5,1146.19,5704.84,4728.15,5704.84,10.18,50.65,41.98,50.65,0.0,95.0,62.29,95.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,165846.0,167787.0,166616.69,166484.0,96.0,96.0,96.0,96.0,82.0,84.0,83.15,83.0,327.78,4865.68,4361.52,4865.68,4.0,59.4,53.24,59.4,0.0,96.0,77.22,96.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,152563.0,156896.0,154007.28,153800.0,83.0,92.0,89.83,92.0,82.0,84.0,83.78,84.0,338.56,4810.46,4227.21,4810.46,4.13,58.72,51.6,58.72,0.0,96.0,80.91,96.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,151677.0,155140.0,152575.5,152217.0,91.0,92.0,91.72,92.0,85.0,86.0,85.67,86.0,338.56,4810.46,4227.21,4810.46,4.13,58.72,51.6,58.72,0.0,96.0,81.43,96.0,
NVIDIA GeForce RTX 2080 SUPER,force,1560.0,151120.0,111508.59,150325.0,65.0,87.0,80.06,86.0,65.0,79.0,73.47,76.0,338.56,4876.46,4257.74,4876.46,4.13,59.53,51.97,59.53,0.0,80.0,54.82,67.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,166480.0,167488.0,167012.67,167120.0,93.0,96.0,95.56,96.0,81.0,84.0,82.56,83.0,338.56,4876.46,4228.26,4876.46,4.13,59.53,51.61,59.53,0.0,96.0,70.21,96.0,
NVIDIA GeForce RTX 3070,combinator,302929.0,304045.0,303548.23,303591.0,88.0,93.0,91.69,92.0,77.0,79.0,77.92,78.0,356.11,4900.07,4151.46,4900.07,4.35,59.82,50.68,59.82,0.0,92.0,74.5,90.5,
NVIDIA GeForce RTX 3070,dict3,285339.0,289993.0,286736.94,286350.0,50.0,93.0,88.0,92.0,75.0,79.0,77.47,78.0,356.11,4834.07,4223.53,4834.07,4.35,59.01,51.56,59.01,0.0,93.0,71.36,91.0,
NVIDIA GeForce RTX 3070,dict4,299858.0,302755.0,301326.39,301447.5,50.0,95.0,89.39,92.0,77.0,79.0,78.33,78.0,356.11,4834.07,4250.07,4834.07,4.35,59.01,51.88,59.01,0.0,92.0,73.09,91.0,
NVIDIA GeForce RTX 3070,force,1961.0,249267.0,166373.12,246074.0,70.0,77.0,73.82,74.0,64.0,70.0,67.18,68.0,356.11,4900.07,4221.27,4900.07,4.35,59.82,51.53,59.82,0.0,76.0,58.0,74.5,
NVIDIA GeForce RTX 3070,hybrid,302045.0,304324.0,303250.0,303594.0,92.0,93.0,92.25,92.0,74.0,75.0,74.62,75.0,511.75,5055.54,4356.63,5055.54,6.25,61.71,53.18,61.71,0.0,92.0,68.08,91.0,
NVIDIA GeForce RTX 3090,combinator,394281.0,402580.0,397054.31,396481.0,68.0,73.0,71.77,72.0,84.0,85.0,84.62,85.0,499.16,5141.83,4368.72,5141.83,2.03,20.92,17.78,20.92,0.0,95.0,70.0,92.0,
NVIDIA GeForce RTX 3090,dict3,482739.0,509829.0,488344.18,485974.0,45.0,95.0,89.18,94.0,82.0,85.0,83.41,83.0,541.8,5119.97,4495.83,5119.84,2.2,20.83,18.29,20.83,0.0,95.0,76.0,93.0,
NVIDIA GeForce RTX 3090,dict4,484743.0,503448.0,490202.61,488946.0,84.0,95.0,92.83,93.0,83.0,83.0,83.0,83.0,541.8,5119.97,4522.96,5119.84,2.2,20.83,18.4,20.83,0.0,94.0,77.65,93.0,
NVIDIA GeForce RTX 3090,force,2002.0,486551.0,333204.53,371880.0,74.0,87.0,81.6,83.0,75.0,83.0,79.27,78.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,515427.0,520213.0,517480.25,517436.0,83.0,91.0,90.0,91.0,84.0,85.0,84.62,85.0,513.45,5156.12,4441.96,5156.12,2.09,20.98,18.07,20.98,0.0,93.0,65.31,92.0,
NVIDIA RTX A4000,combinator,268136.0,273388.0,269874.38,269392.0,92.0,94.0,93.0,93.0,88.0,90.0,88.92,89.0,977.43,5594.65,5059.55,5562.18,5.97,34.16,30.9,33.97,0.0,97.0,76.17,95.5,
NVIDIA RTX A4000,dict3,252929.0,260832.0,255310.92,254686.0,50.0,94.0,88.77,93.0,89.0,91.0,90.0,90.0,742.07,5258.04,4669.18,5258.04,4.53,32.11,28.51,32.11,0.0,95.0,77.0,95.0,
NVIDIA RTX A4000,dict4,263597.0,264735.0,264145.25,264231.0,93.0,93.0,93.0,93.0,89.0,91.0,90.12,90.0,810.47,5326.44,4724.44,5326.44,4.95,32.53,28.85,32.53,0.0,96.0,71.67,95.0,
NVIDIA RTX A4000,force,1718.0,238019.0,162173.17,233017.5,68.0,96.0,76.67,77.0,82.0,88.0,84.67,85.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,274264.0,282974.0,277526.88,276836.5,87.0,95.0,93.0,94.0,87.0,89.0,88.0,88.0,1062.39,5642.38,4468.51,5638.62,6.49,34.46,27.29,34.43,0.0,96.0,61.79,94.0,
Radeon RX Vega,combinator,302167.0,302405.0,302261.08,302250.0,13.0,94.0,74.92,94.0,69.0,70.0,69.54,70.0,9278.95,9638.61,9523.53,9541.95,56.9,59.1,58.4,58.5,0,0,0,0,
Radeon RX Vega,dict2,217.0,217.0,217.0,217.0,0.0,56.0,24.0,16.0,62.0,63.0,62.33,62.0,4594.05,4937.93,4787.65,4809.3,28.2,30.3,29.38,29.5,0,0,0,0,
Radeon RX Vega,dict3,297515.0,301947.0,299176.06,298531.0,14.0,96.0,86.35,94.0,73.0,73.0,73.0,73.0,4623.68,4963.6,4811.88,4830.12,28.3,30.4,29.48,29.6,0,0,0,0,
Radeon RX Vega,dict4,299367.0,301492.0,299852.29,299551.0,15.0,94.0,79.65,94.0,73.0,74.0,73.94,74.0,8767.15,9117.72,8970.79,9002.87,53.7,55.9,55.0,55.2,0,0,0,0,
Radeon RX Vega,force,21.0,249399.0,144195.9,243094.0,17.0,81.0,65.76,79.0,59.0,65.0,62.38,63.0,7761.57,8401.62,8163.0,8194.61,47.6,51.5,50.05,50.25,0,0,0,0,
Radeon RX Vega,hybrid,301055.0,303439.0,301947.5,301499.5,14.0,94.0,76.5,94.0,62.0,64.0,63.12,63.0,7977.64,8592.17,8344.62,8404.34,48.9,52.7,51.18,51.55,0,0,0,0,
