GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,951018.0,951197.0,951110.5,951127.0,95.0,96.0,95.12,95.0,68.0,70.0,69.25,69.0,2217.54,7267.92,6680.33,7225.22,19.69,64.52,59.31,64.14,6.0,74.0,58.28,68.0,
NVIDIA GeForce GTX 1080 Ti,dict3,915540.0,989245.0,931163.43,923019.5,98.0,98.0,98.0,98.0,80.0,92.0,84.86,85.0,1152.31,6086.96,3620.51,3621.11,10.23,54.04,32.14,32.15,0.0,97.0,30.5,0.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1120638.0,1168639.0,1133245.56,1129216.0,97.0,98.0,97.17,97.0,83.0,85.0,83.61,83.0,1145.16,6080.84,5651.69,6080.84,10.17,53.98,50.17,53.98,0.0,98.0,84.17,97.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,337711.0,188254.94,300948.5,68.0,95.0,77.22,81.0,55.0,58.0,56.72,57.5,1149.44,6150.09,3700.27,3719.09,10.2,54.6,32.85,33.02,0.0,97.0,30.91,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,438205.0,452835.0,448496.33,450396.0,84.0,96.0,93.56,95.0,61.0,62.0,61.33,61.0,1141.75,6142.4,3805.2,6142.4,10.14,54.53,33.78,54.53,0.0,98.0,46.48,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1174526.0,1222650.0,1193402.46,1190973.0,95.0,95.0,95.0,95.0,86.0,90.0,87.38,87.0,327.78,5307.68,3164.79,5307.68,4.0,64.79,38.63,64.79,0.0,69.0,37.83,65.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1136414.0,1182838.0,1157552.29,1162873.0,83.0,95.0,93.29,95.0,86.0,91.0,87.71,87.0,338.56,5252.46,4611.6,5252.46,4.13,64.12,56.29,64.12,0.0,96.0,79.57,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1056371.0,1090982.0,1065774.5,1063641.5,95.0,95.0,95.0,95.0,88.0,88.0,88.0,88.0,338.56,5252.46,4611.6,5252.46,4.13,64.12,56.29,64.12,0.0,95.0,80.26,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,4491.0,1215920.0,939837.42,1190468.0,61.0,95.0,82.37,95.0,65.0,89.0,82.11,85.0,338.56,5318.46,3361.93,5318.46,4.13,64.92,41.04,64.92,0.0,94.0,46.43,63.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1202820.0,1229889.0,1213960.5,1212362.0,95.0,95.0,95.0,95.0,85.0,88.0,86.25,86.0,338.56,5318.46,2721.14,1067.46,4.13,64.92,33.22,13.03,0.0,68.0,29.42,14.0,
NVIDIA GeForce RTX 3070,combinator,1096581.0,1104168.0,1099927.54,1099574.0,88.0,89.0,88.85,89.0,74.0,79.0,77.08,77.0,356.11,5338.07,3130.57,5338.07,4.35,65.16,38.22,65.16,0.0,94.0,46.64,42.0,
NVIDIA GeForce RTX 3070,dict3,1092478.0,1142840.0,1104796.22,1100009.5,47.0,95.0,84.28,94.5,81.0,84.0,83.28,84.0,356.11,5272.07,4630.94,5272.07,4.35,64.36,56.53,64.36,0.0,96.0,74.83,94.0,
NVIDIA GeForce RTX 3070,dict4,1146224.0,1163219.0,1149786.06,1147067.5,94.0,97.0,95.06,95.0,83.0,85.0,84.28,84.0,356.11,5272.07,4630.94,5272.07,4.35,64.36,56.53,64.36,0.0,96.0,77.09,95.0,
