GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,948616.0,949125.0,948844.22,948825.0,95.0,96.0,95.33,95.0,68.0,70.0,69.22,69.0,2253.95,7268.81,6697.15,7246.44,20.01,64.53,59.46,64.33,7.0,93.0,75.39,90.0,
NVIDIA GeForce GTX 1080 Ti,dict3,915587.0,934936.0,922487.39,919246.0,98.0,99.0,98.17,98.0,83.0,87.0,84.56,84.5,1154.6,6086.96,5470.46,6086.96,10.25,54.04,48.57,54.04,0.0,97.0,73.5,97.0,
NVIDIA GeForce GTX 1080 Ti,force,24.0,471399.0,311430.39,344184.0,68.0,95.0,83.64,81.5,54.0,60.0,57.39,57.5,1149.29,6150.09,3601.4,1288.65,10.2,54.6,31.97,11.44,0.0,97.0,28.65,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,448265.0,448994.0,448775.38,448892.5,94.0,95.0,94.62,95.0,60.0,60.0,60.0,60.0,1144.06,6145.46,3511.98,1284.84,10.16,54.56,31.18,11.41,0.0,94.0,38.58,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1186673.0,1235480.0,1204691.77,1201675.0,94.0,95.0,94.92,95.0,86.0,89.0,86.85,86.0,327.78,5307.68,3104.36,5307.68,4.0,64.79,37.89,64.79,0.0,68.0,33.65,51.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1137614.0,1202742.0,1160749.24,1156719.0,84.0,95.0,93.47,95.0,85.0,89.0,86.82,87.0,338.56,5252.46,4611.6,5252.46,4.13,64.12,56.29,64.12,0.0,95.0,78.91,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1101435.0,1163050.0,1123514.83,1117549.0,95.0,95.0,95.0,95.0,86.0,88.0,87.56,88.0,338.56,5252.46,4806.19,5252.46,4.13,64.12,58.67,64.12,0.0,95.0,79.27,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,4570.0,1221667.0,906153.37,1183293.0,62.0,95.0,80.95,95.0,66.0,90.0,81.89,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1204249.0,1233964.0,1215904.78,1213764.0,94.0,95.0,94.89,95.0,85.0,88.0,86.33,86.0,338.56,5318.46,2604.32,456.46,4.13,64.92,31.79,5.57,0.0,95.0,34.81,0.0,
NVIDIA GeForce RTX 3070,combinator,1198050.0,1206904.0,1201605.38,1200790.0,94.0,95.0,94.54,95.0,75.0,80.0,77.62,78.0,356.11,5338.07,2978.59,5074.07,4.35,65.16,36.36,61.94,0.0,99.0,38.32,0.0,
