GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,469977.0,471010.0,470320.88,470168.5,95.0,96.0,95.38,95.0,69.0,70.0,69.88,70.0,1993.16,7256.56,4623.72,4624.86,17.69,64.42,41.05,41.06,1.0,98.0,33.0,1.5,
NVIDIA GeForce GTX 1080 Ti,dict2,303.0,303.0,303.0,303.0,84.0,84.0,84.0,84.0,58.0,58.0,58.0,58.0,1533.93,6721.41,4992.27,6721.23,13.62,59.67,44.32,59.67,0.0,85.0,36.0,24.0,
NVIDIA GeForce GTX 1080 Ti,dict3,543229.0,571261.0,552074.28,551879.5,33.0,98.0,89.83,97.0,79.0,90.0,86.44,86.0,1105.38,6292.02,3699.57,3700.17,9.81,55.86,32.84,32.85,0.0,98.0,31.67,0.0,
NVIDIA GeForce GTX 1080 Ti,dict4,546974.0,576808.0,553574.33,549805.5,97.0,98.0,97.5,97.5,83.0,85.0,83.78,84.0,1149.44,6336.09,3742.82,3742.94,10.2,56.25,33.23,33.23,0.0,98.0,32.5,0.0,
NVIDIA GeForce GTX 1080 Ti,force,14.0,181294.0,88640.64,18603.0,79.0,94.0,85.88,89.0,54.0,59.0,56.44,56.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,233219.0,233329.0,233299.11,233310.0,94.0,95.0,94.11,94.0,61.0,62.0,61.11,61.0,1133.12,6385.77,4063.86,6385.77,10.06,56.69,36.08,56.69,0.0,98.0,44.5,7.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,595044.0,619226.0,603985.85,602226.0,95.0,95.0,95.0,95.0,86.0,89.0,87.38,87.0,327.78,5559.68,3644.3,5559.68,4.0,67.87,44.49,67.87,0.0,69.0,40.42,66.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,531222.0,575182.0,543421.5,539618.0,81.0,91.0,88.11,90.0,82.0,90.0,87.06,87.0,338.56,5504.46,4831.47,5504.46,4.13,67.19,58.98,67.19,0.0,95.0,77.87,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,537846.0,559086.0,543654.94,541542.0,95.0,95.0,95.0,95.0,88.0,88.0,88.0,88.0,338.56,5504.46,4831.08,5504.46,4.13,67.19,58.97,67.19,0.0,96.0,80.0,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,2452.0,606651.0,429370.16,392760.0,58.0,96.0,78.76,74.0,65.0,89.0,81.84,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,605615.0,617759.0,610557.0,609613.5,95.0,95.0,95.0,95.0,85.0,87.0,86.25,86.0,338.56,5570.46,2995.87,3013.46,4.13,68.0,36.57,36.79,0.0,68.0,30.75,13.0,
NVIDIA GeForce RTX 3070,combinator,598478.0,602222.0,599738.23,599433.0,94.0,95.0,94.92,95.0,76.0,80.0,78.23,78.0,356.11,5588.07,3538.47,5588.07,4.35,68.21,43.19,68.21,0.0,94.0,54.4,93.0,
NVIDIA GeForce RTX 3070,dict3,557671.0,568380.0,561755.61,561365.5,50.0,95.0,88.72,95.0,79.0,84.0,82.11,82.0,356.11,5522.07,4848.33,5522.07,4.35,67.41,59.18,67.41,0.0,96.0,75.3,94.0,
NVIDIA GeForce RTX 3070,dict4,577976.0,590123.0,582618.94,580974.5,87.0,96.0,94.67,95.0,83.0,85.0,84.11,84.0,356.11,5522.07,4848.33,5522.07,4.35,67.41,59.18,67.41,0.0,95.0,76.57,94.0,
NVIDIA GeForce RTX 3070,force,2712.0,600488.0,442264.14,524832.0,55.0,95.0,83.86,88.0,66.0,78.0,73.77,74.5,356.11,5588.07,4242.94,5588.07,4.35,68.21,51.79,68.21,0.0,99.0,57.71,74.0,
NVIDIA GeForce RTX 3070,hybrid,602667.0,604877.0,603761.33,603823.0,94.0,95.0,94.67,95.0,73.0,76.0,74.78,75.0,495.0,5726.96,3426.52,5726.96,6.04,69.91,41.83,69.91,0.0,96.0,47.15,47.0,
NVIDIA GeForce RTX 3090,combinator,824908.0,832190.0,827420.0,826842.0,80.0,83.0,80.21,80.0,84.0,86.0,85.29,85.0,499.66,5830.33,4942.36,5830.33,2.03,23.72,20.11,23.72,0.0,86.0,62.22,76.0,
NVIDIA GeForce RTX 3090,dict3,916673.0,959299.0,926048.89,922681.0,95.0,97.0,95.78,96.0,85.0,87.0,86.0,86.0,539.17,5805.34,5235.8,5805.34,2.19,23.62,21.3,23.62,0.0,96.0,82.22,95.0,
NVIDIA GeForce RTX 3090,dict4,954977.0,966575.0,958811.83,957629.5,86.0,97.0,95.39,96.0,75.0,78.0,76.44,76.5,550.64,5827.54,5130.36,5814.23,2.24,23.71,20.88,23.66,0.0,97.0,76.22,96.0,
NVIDIA GeForce RTX 3090,force,2378.0,184809.0,151167.07,180147.0,54.0,81.0,67.33,67.0,75.0,77.0,76.73,77.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,622465.0,632836.0,627204.11,627810.0,60.0,69.0,66.44,67.0,81.0,83.0,82.22,82.0,501.53,5837.58,5072.31,5832.2,2.04,23.75,20.64,23.73,3.0,74.0,49.43,69.5,
