GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,195173701.0,195662230.0,195369685.38,195362722.5,94.0,94.0,94.0,94.0,58.0,59.0,58.62,59.0,2213.89,2895.19,2781.71,2895.19,19.65,25.7,24.7,25.7,6.0,94.0,73.83,92.0,
NVIDIA GeForce GTX 1080 Ti,dict3,28802325.0,28989507.0,28903211.0,28917801.0,35.0,48.0,43.33,47.0,68.0,68.0,68.0,68.0,1151.73,1767.02,1536.45,1767.02,10.22,15.69,13.64,15.69,0.0,39.0,17.88,16.5,
NVIDIA GeForce GTX 1080 Ti,dict4,53305394.0,54148203.0,53562480.38,53518624.0,58.0,63.0,61.0,61.5,64.0,64.0,64.0,64.0,1145.16,1760.46,1672.62,1760.46,10.17,15.63,14.85,15.63,0.0,63.0,49.48,61.0,
NVIDIA GeForce GTX 1080 Ti,force,127281335.0,178403761.0,168625507.14,176217784.0,91.0,98.0,94.43,94.0,51.0,52.0,51.71,52.0,1145.54,1830.09,1596.78,1830.09,10.17,16.25,14.18,16.25,0.0,95.0,51.81,93.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,138861379.0,144489942.0,141103046.56,141388462.0,95.0,96.0,95.78,96.0,51.0,51.0,51.0,51.0,1144.04,1826.84,1565.72,1825.46,10.16,16.22,13.9,16.21,0.0,94.0,43.19,17.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,546414573.0,560255430.0,552157974.62,551589602.0,91.0,91.0,91.0,91.0,83.0,86.0,84.69,85.0,327.78,1321.68,886.65,1321.68,4.0,16.13,10.82,16.13,0.0,92.0,45.03,36.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,19444912.0,20750351.0,20026682.0,20001106.0,29.0,38.0,31.2,29.0,54.0,55.0,54.8,55.0,338.56,1266.46,1035.72,1266.46,4.13,15.46,12.64,15.46,1.0,25.0,18.88,21.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,79369642.0,80670701.0,79775993.1,79690148.5,53.0,54.0,53.7,54.0,72.0,74.0,73.0,73.0,338.56,1266.46,1081.01,1266.46,4.13,15.46,13.2,15.46,0.0,55.0,42.53,54.0,
NVIDIA GeForce RTX 2080 SUPER,force,472666546.0,639008466.0,611805379.3,621097783.0,44.0,93.0,85.75,92.0,64.0,86.0,81.5,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,533570444.0,570002174.0,552793752.69,558631559.0,78.0,93.0,89.75,93.0,80.0,86.0,84.19,84.5,338.56,1332.46,865.21,456.46,4.13,16.27,10.56,5.57,0.0,94.0,39.0,1.0,
