GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,397587568.0,400363737.0,399534054.62,399913271.5,94.0,95.0,94.88,95.0,77.0,77.0,77.0,77.0,2208.58,2917.44,2786.96,2898.44,19.61,25.9,24.74,25.73,0.0,95.0,72.61,93.0,
NVIDIA GeForce GTX 1080 Ti,dict3,19152382.0,19414462.0,19304548.0,19313581.0,31.0,34.0,32.8,33.0,69.0,70.0,69.2,69.0,1689.48,2319.13,2111.01,2315.38,15.0,20.59,18.74,20.56,2.0,40.0,22.89,38.0,
NVIDIA GeForce GTX 1080 Ti,dict4,53500517.0,54488082.0,53812491.75,53675848.5,56.0,63.0,59.81,60.0,65.0,66.0,65.25,65.0,1138.88,1753.52,1666.35,1753.52,10.11,15.57,14.79,15.57,0.0,63.0,48.76,59.0,
NVIDIA GeForce GTX 1080 Ti,force,330010267.0,393510977.0,367015432.71,365472404.5,46.0,96.0,89.14,96.0,58.0,64.0,60.5,59.5,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,184043677.0,226466563.0,209583296.44,217813487.0,84.0,97.0,92.0,94.0,53.0,60.0,56.44,56.0,1145.54,1826.84,1593.37,1826.84,10.17,16.22,14.15,16.22,0.0,94.0,47.6,65.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,584270433.0,594962214.0,588626572.46,587862866.0,89.0,90.0,89.77,90.0,82.0,85.0,83.46,83.0,327.78,1321.68,971.22,1321.68,4.0,16.13,11.86,16.13,0.0,92.0,49.88,82.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,18795085.0,20070938.0,19333252.8,19386494.0,28.0,37.0,33.0,33.0,57.0,58.0,57.2,57.0,338.56,1266.46,1035.6,1266.46,4.13,15.46,12.64,15.46,0.0,21.0,15.38,21.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,79169230.0,80317239.0,79542081.8,79434098.0,53.0,54.0,53.7,54.0,76.0,77.0,76.6,77.0,338.56,1266.46,1081.01,1266.46,4.13,15.46,13.2,15.46,0.0,54.0,45.47,53.0,
NVIDIA GeForce RTX 2080 SUPER,force,484575257.0,659609695.0,631584071.1,641413013.5,42.0,93.0,85.6,92.0,63.0,85.0,81.75,84.0,338.56,1332.46,1027.43,1332.46,4.13,16.27,12.54,16.27,0.0,93.0,54.93,84.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,574248265.0,616844147.0,601152384.47,608677114.0,85.0,93.0,90.33,92.0,77.0,84.0,81.87,83.0,338.56,1332.46,916.3,1332.46,4.13,16.27,11.19,16.27,0.0,93.0,43.62,51.5,
