GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,311447901.0,316209240.0,314666636.75,315192586.0,90.0,91.0,90.25,90.0,74.0,74.0,74.0,74.0,2396.75,3261.17,3021.22,3116.46,21.28,28.95,26.82,27.67,0.0,96.0,74.61,95.5,
NVIDIA GeForce GTX 1080 Ti,dict3,18392028.0,18609137.0,18512996.0,18521359.0,34.0,40.0,36.6,37.0,62.0,64.0,63.4,64.0,1152.25,1766.9,1583.03,1766.9,10.23,15.69,14.05,15.69,0.0,33.0,19.9,28.0,
NVIDIA GeForce GTX 1080 Ti,dict4,25565149.0,26161530.0,25902193.89,25933813.5,30.0,36.0,32.33,32.0,60.0,64.0,62.22,63.0,1147.31,1761.96,1674.4,1761.96,10.19,15.64,14.87,15.64,0.0,64.0,49.38,60.0,
NVIDIA GeForce GTX 1080 Ti,force,242528889.0,280571146.0,274437556.53,279997644.0,31.0,94.0,86.73,93.0,54.0,57.0,56.47,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,102361148.0,103391953.0,102631992.33,102563648.0,83.0,94.0,92.78,94.0,56.0,57.0,56.33,56.0,1146.19,1826.84,1560.35,1826.84,10.18,16.22,13.85,16.22,0.0,94.0,39.96,13.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,557671346.0,573156907.0,563463429.92,562510207.0,91.0,91.0,91.0,91.0,83.0,86.0,84.69,85.0,327.78,1321.68,886.65,1321.68,4.0,16.13,10.82,16.13,0.0,92.0,44.97,15.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,19792528.0,21301570.0,20469649.2,20548424.0,27.0,34.0,31.0,31.0,58.0,59.0,58.8,59.0,338.56,1266.46,957.27,1266.46,4.13,15.46,11.69,15.46,0.0,22.0,15.33,20.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,75717706.0,77294215.0,76735961.4,76924118.5,52.0,54.0,53.8,54.0,77.0,79.0,78.0,78.0,338.56,1266.46,1081.6,1266.46,4.13,15.46,13.2,15.46,0.0,54.0,42.53,54.0,
NVIDIA GeForce RTX 2080 SUPER,force,475088606.0,643194792.0,619930243.62,631997493.0,22.0,93.0,84.48,92.0,64.0,85.0,80.19,83.0,338.56,1332.46,925.5,1332.46,4.13,16.27,11.3,16.27,0.0,93.0,46.45,54.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,542739351.0,578994945.0,562148037.0,566692534.5,78.0,93.0,90.0,93.0,83.0,86.0,84.71,85.0,338.56,1332.46,901.99,1332.46,4.13,16.27,11.01,16.27,0.0,94.0,39.26,1.0,
NVIDIA GeForce RTX 3070,combinator,712606682.0,717058872.0,714618648.0,714607799.0,90.0,91.0,90.15,90.0,76.0,81.0,78.92,79.0,356.11,1352.07,929.73,1352.07,4.35,16.5,11.35,16.5,0.0,91.0,45.52,77.0,
NVIDIA GeForce RTX 3070,dict3,40584886.0,40584886.0,40584886.0,40584886.0,19.0,19.0,19.0,19.0,73.0,73.0,73.0,73.0,356.11,1286.07,840.75,879.58,4.35,15.7,10.26,10.74,0.0,20.0,9.67,9.5,
NVIDIA GeForce RTX 3070,dict4,135253283.0,136519935.0,135786866.6,135695742.0,56.0,61.0,57.8,56.0,76.0,77.0,76.2,76.0,356.11,1286.07,1007.28,1286.07,4.35,15.7,12.3,15.7,0.0,60.0,40.2,56.0,
NVIDIA GeForce RTX 3070,force,607041047.0,768718656.0,749723466.32,761114381.0,39.0,91.0,85.11,90.0,62.0,74.0,69.79,70.0,356.11,1352.07,943.81,1352.07,4.35,16.5,11.52,16.5,0.0,92.0,43.0,17.0,
NVIDIA GeForce RTX 3070,hybrid,697307070.0,723786578.0,715479656.18,717884980.0,87.0,91.0,90.09,91.0,71.0,77.0,74.73,75.0,500.27,1496.23,851.6,654.23,6.11,18.26,10.4,7.99,0.0,92.0,14.95,0.0,
NVIDIA GeForce RTX 3090,combinator,1163712565.0,1174759581.0,1167860076.08,1167244414.0,89.0,90.0,89.38,89.0,84.0,86.0,85.23,85.0,499.16,2205.83,1921.53,2205.83,2.03,8.98,7.82,8.98,0.0,95.0,70.83,90.0,
NVIDIA GeForce RTX 3090,dict3,48214118.0,48214118.0,48214118.0,48214118.0,16.0,16.0,16.0,16.0,78.0,78.0,78.0,78.0,541.8,2183.97,1637.05,2183.97,2.2,8.89,6.66,8.89,0.0,16.0,7.17,5.5,
NVIDIA GeForce RTX 3090,dict4,177982392.0,178995466.0,178548429.67,178667431.0,41.0,49.0,45.67,47.0,81.0,82.0,81.67,82.0,543.11,2185.66,1596.67,2185.66,2.21,8.89,6.5,8.89,0.0,49.0,27.75,40.5,
NVIDIA GeForce RTX 3090,force,875850667.0,1311724529.0,1226031769.9,1295938153.5,35.0,91.0,80.8,89.0,71.0,81.0,77.9,79.5,727.5,2432.84,1430.59,982.84,2.96,9.9,5.82,4.0,0.0,91.0,26.19,0.0,
NVIDIA GeForce RTX 3090,hybrid,1186527844.0,1195884171.0,1189917709.0,1187942787.0,78.0,91.0,88.9,90.0,79.0,83.0,81.4,82.0,506.76,2213.43,1644.76,2213.43,2.06,9.01,6.69,9.01,0.0,93.0,30.5,15.0,
NVIDIA RTX A4000,combinator,632056398.0,638929447.0,635024630.69,634990808.0,91.0,92.0,91.77,92.0,82.0,86.0,84.15,84.0,977.62,2015.84,1611.83,2015.59,5.97,12.31,9.84,12.31,2.0,96.0,52.21,76.0,
NVIDIA RTX A4000,dict3,40357517.0,40357517.0,40357517.0,40357517.0,22.0,22.0,22.0,22.0,84.0,84.0,84.0,84.0,730.82,1706.54,1284.2,1301.54,4.46,10.42,7.84,7.95,0.0,38.0,13.39,1.0,
NVIDIA RTX A4000,dict4,128251774.0,130246265.0,128867884.8,128654296.0,48.0,61.0,57.0,58.0,88.0,88.0,88.0,88.0,828.41,1800.38,1592.38,1800.38,5.06,10.99,9.72,10.99,0.0,43.0,29.64,36.0,
NVIDIA RTX A4000,force,511136006.0,718624459.0,677867658.81,698560124.0,37.0,92.0,81.81,91.0,73.0,86.0,80.9,81.0,743.73,1781.7,1348.34,1781.7,4.54,10.88,8.23,10.88,0.0,100.0,45.88,1.0,
NVIDIA RTX A4000,hybrid,630602738.0,651468839.0,641012032.21,640591990.5,84.0,92.0,90.71,92.0,77.0,84.0,80.86,81.0,1047.66,2114.5,1688.66,2079.25,6.4,12.91,10.31,12.7,3.0,97.0,47.84,12.0,
Radeon RX Vega,combinator,39414478.0,39673714.0,39489549.17,39466360.0,17.0,40.0,33.92,34.0,67.0,69.0,67.75,68.0,9193.52,10707.21,10021.31,9609.72,56.4,65.6,61.44,58.9,0,0,0,0,
Radeon RX Vega,dict3,11712597.0,11788557.0,11768476.6,11775892.0,0.0,17.0,3.3,2.0,71.0,72.0,71.2,71.0,4796.68,6120.07,5800.19,5887.87,29.4,37.5,35.55,36.1,0,0,0,0,
Radeon RX Vega,dict4,27351607.0,27620076.0,27527746.72,27546906.0,12.0,56.0,43.06,50.0,72.0,72.0,72.0,72.0,8871.34,10258.59,9770.2,9888.2,54.4,62.9,59.9,60.6,0,0,0,0,
Radeon RX Vega,force,50999118.0,54753851.0,54110845.25,54621912.5,14.0,94.0,66.0,69.0,59.0,65.0,63.19,64.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,39526973.0,40619650.0,39733109.2,39637378.5,16.0,58.0,44.7,47.0,62.0,62.0,62.0,62.0,8037.85,9164.65,8827.84,8738.71,49.3,56.2,54.11,53.6,0,0,0,0,
