GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict4,302990990.0,302990990.0,302990990.0,302990990.0,35.0,35.0,35.0,35.0,65.0,65.0,65.0,65.0,1148.1,2230.46,1785.59,2230.46,10.19,19.8,15.85,19.8,0.0,44.0,15.71,0.0,
NVIDIA GeForce GTX 1080 Ti,force,152524586.0,23462629608.0,12656174542.4,16741697764.0,96.0,97.0,96.8,97.0,63.0,68.0,65.0,65.0,1144.29,4171.65,3036.57,4171.65,10.16,37.04,26.96,37.04,0.0,98.0,32.38,12.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,1520405485.0,1961562258.0,1646030021.0,1551076170.5,20.0,98.0,76.75,94.5,59.0,63.0,60.0,59.0,1146.06,4172.71,2559.81,1284.71,10.17,37.04,22.73,11.41,0.0,94.0,23.82,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,326487934.0,326487934.0,326487934.0,326487934.0,30.0,30.0,30.0,30.0,68.0,68.0,68.0,68.0,338.56,2070.46,1422.24,2070.46,4.13,25.27,17.36,25.27,0.0,22.0,12.12,14.0,
NVIDIA GeForce RTX 2080 SUPER,force,188314647.0,31090589170.0,13112132688.0,10584813467.5,55.0,61.0,58.0,58.0,73.0,77.0,75.25,75.5,338.56,3344.46,1630.48,456.46,4.13,40.83,19.9,5.57,0.0,61.0,14.92,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2112954117.0,3206475819.0,2841968585.0,3206475819.0,41.0,84.0,69.67,84.0,70.0,80.0,76.67,80.0,338.56,3344.46,1871.14,1900.46,4.13,40.83,22.84,23.2,0.0,82.0,16.25,0.5,
NVIDIA GeForce RTX 3070,dict4,405408100.0,405408100.0,405408100.0,405408100.0,25.0,25.0,25.0,25.0,65.0,65.0,65.0,65.0,356.11,2058.07,1207.42,1207.58,4.35,25.12,14.74,14.74,0.0,20.0,6.33,0.0,
NVIDIA GeForce RTX 3070,force,292422438.0,32943684731.0,15224843191.75,13831632799.0,73.0,96.0,89.25,94.0,66.0,70.0,69.0,70.0,356.11,3378.07,1511.17,510.07,4.35,41.24,18.45,6.23,0.0,95.0,27.45,0.0,
NVIDIA GeForce RTX 3070,hybrid,2815498756.0,4665323770.0,3740411263.0,3740411263.0,36.0,92.0,64.0,64.0,65.0,69.0,67.0,67.0,433.73,3455.69,1492.59,587.69,5.29,42.18,18.22,7.17,0.0,43.0,4.78,0.0,
NVIDIA GeForce RTX 3090,dict4,292293139.0,292293139.0,292293139.0,292293139.0,11.0,11.0,11.0,11.0,74.0,74.0,74.0,74.0,540.23,3555.84,2694.85,3555.84,2.2,14.47,10.97,14.47,0.0,11.0,3.0,0.0,
NVIDIA GeForce RTX 3090,force,507084201.0,56843093704.0,24522231096.25,20369373240.0,86.0,96.0,93.25,95.5,77.0,79.0,78.0,78.0,722.23,3846.34,1975.84,980.34,2.94,15.65,8.04,3.99,0.0,82.0,14.0,0.0,
NVIDIA GeForce RTX 3090,hybrid,7257615448.0,7257615448.0,7257615448.0,7257615448.0,88.0,88.0,88.0,88.0,80.0,80.0,80.0,80.0,513.45,3636.12,2465.45,3636.12,2.09,14.8,10.03,14.8,3.0,66.0,16.62,4.0,
NVIDIA RTX A4000,combinator,2997093644.0,3075126563.0,3041755729.71,3042632690.0,41.0,67.0,62.29,67.0,80.0,82.0,81.43,82.0,974.71,4024.68,1480.4,1136.68,5.95,24.58,9.04,6.94,0.0,43.0,6.43,0.0,
NVIDIA RTX A4000,dict4,260234173.0,260441304.0,260337738.5,260337738.5,16.0,16.0,16.0,16.0,75.0,75.0,75.0,75.0,726.89,2503.5,1911.16,2501.94,4.44,15.29,11.67,15.28,0.0,18.0,7.22,3.0,
NVIDIA RTX A4000,force,13277177.0,29934257708.0,10330163874.6,2358302788.0,90.0,96.0,93.8,96.0,79.0,80.0,79.8,80.0,743.73,3793.7,2487.14,3793.7,4.54,23.17,15.19,23.17,0.0,91.0,19.71,8.0,
