GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce RTX 2080 SUPER,combinator,10833.0,11718.0,11068.92,10833.0,63.0,81.0,68.85,66.0,85.0,89.0,86.31,86.0,327.78,328.73,328.25,328.25,4.0,4.01,4.01,4.01,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict1,95.0,96.0,95.88,96.0,53.0,53.0,53.0,53.0,57.0,58.0,57.12,57.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,9.0,9.0,9.0,9.0,51.0,53.0,52.22,52.0,61.0,61.0,61.0,61.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,17078.0,17906.0,17407.78,17368.5,92.0,100.0,92.89,92.0,86.0,89.0,86.94,87.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,15780.0,16614.0,16030.42,15950.0,92.0,100.0,93.32,93.0,87.0,89.0,88.0,88.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,51.0,53.0,51.67,52.0,58.0,58.0,58.0,58.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,13458.0,13685.0,13555.78,13546.0,74.0,76.0,75.22,75.0,81.0,85.0,82.89,83.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 3070,combinator,16950.0,17953.0,17392.46,16950.0,91.0,100.0,93.08,92.0,66.0,73.0,69.85,70.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict1,141.0,143.0,142.0,142.0,64.0,73.0,67.2,66.0,50.0,50.0,50.0,50.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict2,14.0,14.0,14.0,14.0,63.0,75.0,68.72,69.0,61.0,61.0,61.0,61.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict3,18870.0,18985.0,18906.22,18895.0,96.0,100.0,96.44,96.0,75.0,80.0,77.89,78.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict4,18834.0,18973.0,18873.33,18855.0,96.0,100.0,96.44,96.0,75.0,80.0,78.0,78.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,force,1.0,1.0,1.0,1.0,65.0,69.0,67.12,66.5,49.0,50.0,49.38,49.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,hybrid,16903.0,17898.0,17623.5,17854.0,91.0,100.0,93.12,91.0,68.0,71.0,69.88,70.0,503.05,506.07,504.56,504.56,6.14,6.18,6.16,6.16,0.0,0.0,0.0,0.0,
NVIDIA RTX A4000,combinator,9435.0,9618.0,9563.85,9557.0,67.0,80.0,73.23,74.0,72.0,80.0,76.62,77.0,743.42,745.4,744.41,744.41,4.54,4.55,4.55,4.55,0.0,2.0,1.0,1.0,
NVIDIA RTX A4000,dict1,138.0,138.0,138.0,138.0,69.0,73.0,70.6,69.0,61.0,62.0,61.4,61.0,743.42,745.4,744.41,744.41,4.54,4.55,4.55,4.55,0.0,2.0,1.0,1.0,
NVIDIA RTX A4000,dict2,14.0,14.0,14.0,14.0,70.0,74.0,71.11,70.0,74.0,74.0,74.0,74.0,743.39,745.37,744.38,744.38,4.54,4.55,4.55,4.55,0.0,1.0,0.5,0.5,
NVIDIA RTX A4000,dict3,15286.0,15414.0,15328.67,15320.5,87.0,100.0,94.28,94.0,87.0,90.0,88.72,89.0,724.63,728.9,726.77,726.77,4.42,4.45,4.44,4.44,1.0,2.0,1.5,1.5,
NVIDIA RTX A4000,dict4,15214.0,15360.0,15257.61,15245.0,92.0,98.0,94.33,94.0,88.0,90.0,89.22,89.0,847.11,849.09,848.1,848.1,5.17,5.18,5.18,5.18,0.0,0.0,0.0,0.0,
NVIDIA RTX A4000,force,1.0,1.0,1.0,1.0,70.0,73.0,70.78,70.0,62.0,64.0,62.78,63.0,885.89,887.87,886.88,886.88,5.41,5.42,5.42,5.42,0.0,5.0,2.5,2.5,
NVIDIA RTX A4000,hybrid,9589.0,9826.0,9718.89,9762.0,67.0,77.0,71.56,70.0,72.0,78.0,75.44,76.0,1498.52,1500.5,1499.51,1499.51,9.15,9.16,9.16,9.16,1.0,5.0,3.0,3.0,
Radeon RX Vega,combinator,10255.0,10904.0,10555.75,10584.0,14.0,97.0,80.83,96.0,62.0,64.0,62.75,63.0,5585.58,5868.64,5727.11,5727.11,34.2,36.0,35.1,35.1,0,0,0,0,
Radeon RX Vega,dict1,49.0,57.0,54.53,56.0,0.0,76.0,64.53,74.0,58.0,59.0,58.13,58.0,4568.3,4836.86,4702.58,4702.58,28.0,29.7,28.85,28.85,0,0,0,0,
Radeon RX Vega,dict2,4.0,5.0,4.94,5.0,12.0,76.0,66.89,73.5,73.0,73.0,73.0,73.0,4588.04,4874.91,4731.47,4731.47,28.1,29.9,29.0,29.0,0,0,0,0,
Radeon RX Vega,dict3,10008.0,10765.0,10578.41,10659.0,13.0,97.0,88.41,97.0,74.0,75.0,74.88,75.0,7447.34,7734.66,7591.0,7591.0,45.7,47.4,46.55,46.55,0,0,0,0,
Radeon RX Vega,dict4,9954.0,10731.0,10524.24,10616.0,12.0,97.0,88.12,96.0,74.0,75.0,74.82,75.0,7761.02,8043.03,7902.02,7902.02,47.6,49.3,48.45,48.45,0,0,0,0,
Radeon RX Vega,force,0.0,0.0,0.0,0.0,16.0,90.0,77.33,85.0,56.0,57.0,56.56,57.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,10147.0,10770.0,10564.57,10638.0,14.0,97.0,76.86,97.0,60.0,61.0,60.57,61.0,8778.27,9078.9,8928.59,8928.59,53.8,55.7,54.75,54.75,0,0,0,0,
