GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce RTX 2080 SUPER,combinator,9068.0,10198.0,9222.5,9140.5,63.0,81.0,69.83,67.0,84.0,87.0,85.42,85.5,327.78,328.73,328.25,328.25,4.0,4.01,4.01,4.01,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict1,94.0,94.0,94.0,94.0,52.0,53.0,52.78,53.0,59.0,60.0,59.11,59.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict2,9.0,9.0,9.0,9.0,51.0,52.0,51.56,52.0,61.0,61.0,61.0,61.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,16908.0,17702.0,17222.59,17186.0,92.0,100.0,92.94,92.0,85.0,89.0,87.0,87.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,15470.0,16074.0,15650.56,15599.5,92.0,100.0,93.5,93.0,86.0,88.0,87.78,88.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,59.0,60.0,59.25,59.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,13346.0,13464.0,13389.88,13385.0,75.0,92.0,79.25,75.0,81.0,84.0,82.62,82.5,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,combinator,16642.0,17750.0,17103.71,16642.0,91.0,100.0,93.0,91.0,67.0,73.0,70.21,70.5,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict1,140.0,144.0,141.6,142.0,61.0,68.0,63.6,63.0,50.0,50.0,50.0,50.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict2,13.0,13.0,13.0,13.0,67.0,71.0,68.06,68.0,61.0,61.0,61.0,61.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict3,18526.0,18633.0,18595.39,18604.5,95.0,100.0,96.44,96.0,80.0,83.0,81.67,82.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict4,18495.0,18630.0,18533.47,18523.0,88.0,100.0,96.05,96.0,80.0,83.0,81.74,82.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,force,1.0,1.0,1.0,1.0,65.0,74.0,68.75,68.0,49.0,50.0,49.62,50.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,hybrid,16651.0,17750.0,17453.0,17708.5,91.0,100.0,93.38,91.0,67.0,70.0,68.88,69.0,495.57,496.55,496.06,496.06,6.05,6.06,6.06,6.06,0.0,0.0,0.0,0.0,
NVIDIA RTX A4000,combinator,9609.0,9857.0,9699.23,9680.0,70.0,75.0,72.23,72.0,71.0,79.0,75.54,76.0,743.42,745.4,744.41,744.41,4.54,4.55,4.55,4.55,0.0,1.0,0.5,0.5,
NVIDIA RTX A4000,dict1,139.0,139.0,139.0,139.0,69.0,71.0,70.0,70.0,61.0,62.0,61.4,61.0,743.42,745.4,744.41,744.41,4.54,4.55,4.55,4.55,0.0,2.0,1.0,1.0,
NVIDIA RTX A4000,dict2,14.0,14.0,14.0,14.0,69.0,72.0,70.28,70.0,74.0,74.0,74.0,74.0,743.39,745.37,744.38,744.38,4.54,4.55,4.55,4.55,0.0,2.0,1.0,1.0,
NVIDIA RTX A4000,dict3,15044.0,15108.0,15066.67,15049.0,94.0,100.0,95.33,94.0,89.0,90.0,89.89,90.0,719.09,721.07,720.08,720.08,4.39,4.4,4.4,4.4,0.0,1.0,0.5,0.5,
NVIDIA RTX A4000,dict4,15008.0,15110.0,15040.8,15011.5,88.0,100.0,94.5,94.0,89.0,90.0,89.8,90.0,847.11,849.09,848.1,848.1,5.17,5.18,5.18,5.18,0.0,0.0,0.0,0.0,
NVIDIA RTX A4000,force,1.0,1.0,1.0,1.0,68.0,71.0,69.44,69.0,62.0,64.0,63.22,63.0,885.89,887.87,886.88,886.88,5.41,5.42,5.42,5.42,4.0,5.0,4.5,4.5,
NVIDIA RTX A4000,hybrid,14170.0,14275.0,14210.88,14209.5,84.0,100.0,89.0,86.0,71.0,75.0,73.5,73.5,1498.52,1500.5,1499.51,1499.51,9.15,9.16,9.16,9.16,0.0,5.0,2.5,2.5,
Radeon RX Vega,combinator,10012.0,10828.0,10598.15,10681.0,11.0,97.0,85.85,96.0,62.0,65.0,63.15,63.0,5586.46,5865.95,5726.2,5726.2,34.2,36.0,35.1,35.1,0,0,0,0,
Radeon RX Vega,dict1,51.0,59.0,56.4,57.0,0.0,76.0,69.13,75.0,58.0,58.0,58.0,58.0,4562.76,4853.67,4708.21,4708.21,28.0,29.8,28.9,28.9,0,0,0,0,
Radeon RX Vega,dict2,5.0,6.0,5.72,6.0,14.0,82.0,72.39,80.0,72.0,73.0,72.94,73.0,4597.39,4895.48,4746.43,4746.43,28.2,30.0,29.1,29.1,0,0,0,0,
Radeon RX Vega,dict3,9885.0,10712.0,10503.61,10588.5,15.0,97.0,88.83,96.0,74.0,75.0,74.94,75.0,7460.89,7757.24,7609.07,7609.07,45.7,47.6,46.65,46.65,0,0,0,0,
Radeon RX Vega,dict4,9883.0,10677.0,10463.65,10554.0,13.0,97.0,88.71,97.0,74.0,75.0,74.82,75.0,7762.93,8031.96,7897.45,7897.45,47.6,49.2,48.4,48.4,0,0,0,0,
Radeon RX Vega,force,0.0,0.0,0.0,0.0,18.0,85.0,66.62,75.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,10020.0,10758.0,10523.5,10605.0,12.0,97.0,79.38,96.5,60.0,62.0,61.0,61.0,8806.22,9012.96,8909.59,8909.59,54.0,55.3,54.65,54.65,0,0,0,0,
