GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce RTX 2080 SUPER,combinator,6926.0,26335.0,19751.5,26075.5,76.0,100.0,88.0,88.0,74.0,88.0,80.5,80.0,327.78,328.73,328.25,328.25,4.0,4.01,4.01,4.01,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict1,117.0,117.0,117.0,117.0,65.0,74.0,68.83,68.0,58.0,59.0,58.83,59.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict2,17.0,17.0,17.0,17.0,53.0,57.0,55.5,56.0,61.0,61.0,61.0,61.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,force,1.0,1.0,1.0,1.0,52.0,53.0,52.44,52.0,59.0,60.0,59.78,60.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,7076.0,27165.0,20426.83,27069.0,74.0,100.0,87.33,87.5,64.0,82.0,72.83,72.5,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,combinator,7113.0,35692.0,18538.6,7113.0,91.0,100.0,96.4,100.0,59.0,67.0,62.8,62.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict1,128.0,128.0,128.0,128.0,81.0,100.0,93.4,100.0,48.0,48.0,48.0,48.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict2,20.0,21.0,20.89,21.0,71.0,86.0,79.89,80.0,61.0,61.0,61.0,61.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict3,7202.0,37137.0,31060.8,36990.0,96.0,100.0,97.5,97.0,66.0,83.0,77.8,82.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict4,7208.0,37249.0,31130.7,37035.5,88.0,100.0,96.5,96.0,66.0,83.0,77.7,82.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,force,2.0,2.0,2.0,2.0,67.0,72.0,69.44,70.0,47.0,48.0,47.78,48.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,hybrid,6998.0,33014.0,19985.67,19974.0,84.0,100.0,92.33,92.5,60.0,67.0,63.17,63.0,495.57,496.55,496.06,496.06,6.05,6.06,6.06,6.06,0.0,0.0,0.0,0.0,
NVIDIA RTX A4000,combinator,7183.0,32904.0,24294.5,32820.5,93.0,100.0,96.5,96.5,65.0,80.0,72.0,70.5,743.42,745.4,744.41,744.41,4.54,4.55,4.55,4.55,0.0,2.0,1.0,1.0,
NVIDIA RTX A4000,dict1,126.0,128.0,127.0,127.0,63.0,100.0,89.4,100.0,58.0,59.0,58.6,59.0,743.42,745.4,744.41,744.41,4.54,4.55,4.55,4.55,0.0,2.0,1.0,1.0,
NVIDIA RTX A4000,dict2,21.0,21.0,21.0,21.0,68.0,81.0,72.28,70.0,74.0,75.0,74.22,74.0,743.39,745.37,744.38,744.38,4.54,4.55,4.55,4.55,0.0,2.0,1.0,1.0,
NVIDIA RTX A4000,dict3,30027.0,30081.0,30057.1,30059.5,94.0,100.0,95.2,94.0,86.0,90.0,89.0,90.0,719.27,722.26,720.77,720.77,4.39,4.41,4.4,4.4,1.0,1.0,1.0,1.0,
NVIDIA RTX A4000,dict4,30537.0,30712.0,30615.5,30599.0,93.0,100.0,95.25,94.0,87.0,90.0,89.12,90.0,847.11,849.09,848.1,848.1,5.17,5.18,5.18,5.18,0.0,0.0,0.0,0.0,
NVIDIA RTX A4000,force,2.0,2.0,2.0,2.0,69.0,73.0,72.12,72.5,59.0,61.0,60.12,60.0,885.89,887.87,886.88,886.88,5.41,5.42,5.42,5.42,3.0,4.0,3.5,3.5,
NVIDIA RTX A4000,hybrid,6982.0,29242.0,20301.0,29114.0,85.0,100.0,94.0,100.0,66.0,79.0,73.0,74.0,1498.52,1500.5,1499.51,1499.51,9.15,9.16,9.16,9.16,4.0,5.0,4.5,4.5,
Radeon RX Vega,combinator,17950.0,21668.0,20342.18,21104.0,0.0,97.0,73.36,96.0,62.0,64.0,62.73,63.0,5595.18,5857.17,5726.17,5726.17,34.3,35.9,35.1,35.1,0,0,0,0,
Radeon RX Vega,dict1,94.0,100.0,97.5,97.5,0.0,75.0,63.75,73.0,57.0,57.0,57.0,57.0,4572.2,4846.7,4709.45,4709.45,28.0,29.7,28.85,28.85,0,0,0,0,
Radeon RX Vega,dict2,9.0,10.0,9.39,9.0,13.0,76.0,64.94,73.0,72.0,73.0,72.94,73.0,4610.48,4844.96,4727.72,4727.72,28.3,29.7,29.0,29.0,0,0,0,0,
Radeon RX Vega,dict3,17605.0,21107.0,19201.33,19615.0,24.0,97.0,85.47,97.0,74.0,75.0,74.8,75.0,7479.29,7752.26,7615.78,7615.78,45.8,47.5,46.65,46.65,0,0,0,0,
Radeon RX Vega,dict4,17197.0,21172.0,18958.5,18560.0,16.0,97.0,83.69,96.0,74.0,75.0,74.81,75.0,7756.73,8038.88,7897.81,7897.81,47.5,49.3,48.4,48.4,0,0,0,0,
Radeon RX Vega,force,1.0,1.0,1.0,1.0,12.0,99.0,77.38,80.5,55.0,56.0,55.12,55.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,20495.0,21713.0,21322.5,21451.5,11.0,97.0,78.5,96.0,59.0,61.0,60.0,60.0,8732.26,9010.78,8871.52,8871.52,53.5,55.2,54.35,54.35,0,0,0,0,
