GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce RTX 2080 SUPER,combinator,13698.0,14748.0,14273.08,14410.0,61.0,78.0,69.31,70.0,84.0,87.0,85.54,85.0,327.78,328.73,328.25,328.25,4.0,4.01,4.01,4.01,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict1,178.0,178.0,178.0,178.0,60.0,61.0,60.25,60.0,58.0,58.0,58.0,58.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,17.0,17.0,17.0,17.0,57.0,61.0,59.33,59.0,61.0,62.0,61.78,62.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,21420.0,22375.0,21778.78,21715.5,95.0,98.0,95.94,96.0,86.0,88.0,86.89,87.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,19285.0,19852.0,19475.39,19431.0,92.0,95.0,92.17,92.0,86.0,88.0,87.67,88.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,1.0,1.0,1.0,1.0,59.0,61.0,59.62,59.5,59.0,59.0,59.0,59.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,15721.0,16291.0,15926.33,15867.0,74.0,79.0,75.67,75.0,79.0,84.0,82.56,83.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 3070,combinator,20092.0,20735.0,20331.08,20092.0,91.0,99.0,92.38,91.0,68.0,74.0,71.0,71.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict1,214.0,215.0,214.67,215.0,52.0,69.0,63.33,69.0,51.0,51.0,51.0,51.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict2,21.0,21.0,21.0,21.0,66.0,72.0,69.44,69.0,61.0,61.0,61.0,61.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict3,21420.0,22238.0,21665.28,21477.0,96.0,100.0,96.56,96.0,74.0,80.0,77.11,77.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict4,21363.0,22189.0,21926.44,22049.0,96.0,100.0,96.5,96.0,73.0,80.0,77.0,77.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,force,2.0,2.0,2.0,2.0,67.0,72.0,68.75,68.5,52.0,52.0,52.0,52.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,hybrid,20072.0,20764.0,20430.22,20678.0,91.0,96.0,91.78,91.0,67.0,71.0,69.56,70.0,495.57,496.55,496.06,496.06,6.05,6.06,6.06,6.06,0.0,0.0,0.0,0.0,
NVIDIA RTX A4000,combinator,18744.0,19477.0,19101.23,19344.0,93.0,98.0,93.77,93.0,70.0,79.0,75.31,76.0,743.42,745.4,744.41,744.41,4.54,4.55,4.55,4.55,0.0,2.0,1.0,1.0,
NVIDIA RTX A4000,dict1,196.0,205.0,199.67,198.0,40.0,55.0,49.33,53.0,60.0,60.0,60.0,60.0,743.42,745.4,744.41,744.41,4.54,4.55,4.55,4.55,0.0,2.0,1.0,1.0,
NVIDIA RTX A4000,dict2,18.0,18.0,18.0,18.0,64.0,67.0,66.06,66.0,74.0,74.0,74.0,74.0,743.39,745.37,744.38,744.38,4.54,4.55,4.55,4.55,0.0,2.0,1.0,1.0,
NVIDIA RTX A4000,dict3,17852.0,18639.0,18021.06,17922.0,86.0,96.0,93.67,94.0,86.0,90.0,88.39,88.5,731.02,732.6,731.81,731.81,4.46,4.47,4.47,4.47,0.0,4.0,2.0,2.0,
NVIDIA RTX A4000,dict4,17748.0,18461.0,18043.71,17748.0,86.0,100.0,94.53,94.0,88.0,91.0,89.35,89.0,847.11,849.09,848.1,848.1,5.17,5.18,5.18,5.18,0.0,0.0,0.0,0.0,
NVIDIA RTX A4000,force,2.0,2.0,2.0,2.0,69.0,77.0,71.44,70.0,61.0,63.0,62.33,62.0,885.89,887.87,886.88,886.88,5.41,5.42,5.42,5.42,1.0,5.0,3.0,3.0,
