GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce RTX 2080 SUPER,combinator,2787.0,15827.0,10571.6,15715.0,75.0,100.0,90.2,100.0,71.0,87.0,77.4,72.0,327.78,328.73,328.25,328.25,4.0,4.01,4.01,4.01,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,66.0,66.0,66.0,66.0,78.0,80.0,78.78,79.0,58.0,60.0,59.44,60.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict2,13.0,13.0,13.0,13.0,65.0,73.0,68.0,67.0,62.0,62.0,62.0,62.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,18926.0,19615.0,19131.06,19068.5,92.0,100.0,92.89,92.0,79.0,89.0,87.0,88.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,1.0,1.0,1.0,1.0,61.0,64.0,63.12,63.0,60.0,60.0,60.0,60.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 3070,dict1,59.0,60.0,59.67,60.0,99.0,100.0,99.67,100.0,49.0,51.0,50.22,50.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict2,12.0,12.0,12.0,12.0,69.0,100.0,87.18,88.0,61.0,61.0,61.0,61.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,force,1.0,1.0,1.0,1.0,56.0,80.0,69.56,69.0,49.0,50.0,49.89,50.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA RTX A4000,combinator,2868.0,19551.0,12864.8,19514.0,93.0,100.0,97.0,99.0,66.0,80.0,73.8,76.0,743.42,745.4,744.41,744.41,4.54,4.55,4.55,4.55,0.0,1.0,0.5,0.5,
NVIDIA RTX A4000,dict1,58.0,59.0,58.75,59.0,73.0,100.0,96.5,100.0,59.0,62.0,60.5,60.5,743.42,745.4,744.41,744.41,4.54,4.55,4.55,4.55,0.0,2.0,1.0,1.0,
