GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce RTX 2080 SUPER,combinator,9846.0,10204.0,9965.62,9927.0,95.0,98.0,95.46,95.0,86.0,89.0,87.15,87.0,327.78,328.73,328.25,328.25,4.0,4.01,4.01,4.01,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,115.0,116.0,115.14,115.0,70.0,73.0,72.0,73.0,60.0,61.0,60.43,60.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict2,11.0,12.0,11.06,11.0,59.0,74.0,68.39,68.5,62.0,62.0,62.0,62.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,10061.0,10572.0,10244.28,10211.5,93.0,98.0,94.22,94.0,86.0,89.0,87.11,87.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,9281.0,9631.0,9384.22,9354.5,94.0,98.0,94.44,94.0,87.0,88.0,87.83,88.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 2080 SUPER,force,1.0,1.0,1.0,1.0,67.0,74.0,71.38,71.5,57.0,58.0,57.25,57.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,10377.0,10868.0,10707.88,10797.0,94.0,97.0,95.0,94.5,83.0,86.0,84.62,85.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,1.0,0.5,0.5,
NVIDIA GeForce RTX 3070,combinator,10348.0,10784.0,10413.85,10378.0,94.0,97.0,94.62,94.0,68.0,74.0,71.0,71.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict1,117.0,118.0,117.83,118.0,69.0,73.0,71.67,72.0,50.0,51.0,50.83,51.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict2,11.0,11.0,11.0,11.0,69.0,73.0,70.16,70.0,61.0,61.0,61.0,61.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict3,10171.0,10568.0,10310.11,10192.0,94.0,97.0,94.44,94.0,79.0,82.0,80.89,81.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict4,10146.0,10587.0,10219.39,10160.0,94.0,98.0,95.0,94.0,79.0,82.0,80.61,81.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,force,1.0,1.0,1.0,1.0,70.0,72.0,71.0,71.0,50.0,51.0,50.5,50.5,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,hybrid,10325.0,10715.0,10603.12,10687.5,94.0,100.0,95.12,94.5,68.0,72.0,70.12,70.0,506.07,507.05,506.56,506.56,6.18,6.19,6.18,6.18,0.0,0.0,0.0,0.0,
NVIDIA RTX A4000,combinator,9224.0,9625.0,9418.77,9552.0,95.0,100.0,96.15,95.0,72.0,80.0,76.77,77.0,743.42,745.4,744.41,744.41,4.54,4.55,4.55,4.55,0.0,2.0,1.0,1.0,
NVIDIA RTX A4000,dict1,109.0,110.0,109.71,110.0,64.0,74.0,70.43,71.0,61.0,62.0,61.57,62.0,743.42,745.4,744.41,744.41,4.54,4.55,4.55,4.55,0.0,2.0,1.0,1.0,
NVIDIA RTX A4000,dict2,11.0,11.0,11.0,11.0,69.0,72.0,69.94,69.0,74.0,74.0,74.0,74.0,743.39,745.37,744.38,744.38,4.54,4.55,4.55,4.55,0.0,2.0,1.0,1.0,
