GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2786473.0,2831668.0,2799756.12,2793802.0,94.0,95.0,94.5,94.5,82.0,85.0,83.75,84.0,2087.73,7155.38,6604.02,7130.62,18.53,63.52,58.63,63.3,1.0,97.0,80.21,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,2271709.0,2299331.0,2284636.67,2282950.0,58.0,97.0,92.44,96.0,84.0,89.0,86.06,86.0,1650.55,6683.26,6015.1,6673.07,14.65,59.33,53.4,59.24,2.0,100.0,78.3,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,2815969.0,2954456.0,2849591.94,2837869.5,94.0,95.0,94.78,95.0,82.0,88.0,84.0,84.0,1138.88,6115.52,5466.97,6115.52,10.11,54.29,48.53,54.29,0.0,95.0,76.48,94.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,2603326.0,1776441.59,2273284.0,68.0,97.0,91.59,95.0,61.0,67.0,64.0,64.0,1148.73,6192.09,5631.75,6192.09,10.2,54.97,50.0,54.97,0.0,98.0,76.11,94.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,1153788.0,1156456.0,1155617.0,1155892.5,96.0,96.0,96.0,96.0,60.0,60.0,60.0,60.0,1141.04,6184.4,4183.46,6184.4,10.13,54.9,37.14,54.9,0.0,95.0,48.47,62.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2794249.0,2871425.0,2825650.38,2824658.0,69.0,71.0,69.62,69.0,82.0,85.0,84.08,84.0,327.78,5349.68,2965.39,5349.68,4.0,65.3,36.2,65.3,0.0,72.0,31.32,1.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,3275405.0,3436753.0,3317130.78,3302836.5,80.0,91.0,83.0,82.0,81.0,89.0,86.0,86.0,338.56,5294.46,4648.12,5294.46,4.13,64.63,56.74,64.63,0.0,92.0,70.13,81.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,3333669.0,3418705.0,3365289.83,3356016.0,82.0,92.0,90.28,91.0,83.0,88.0,86.89,87.0,338.56,5294.46,4648.51,5294.46,4.13,64.63,56.74,64.63,0.0,92.0,76.35,91.0,
NVIDIA GeForce RTX 2080 SUPER,force,2017795.0,3929619.0,3541126.33,3843082.0,57.0,92.0,83.27,91.0,78.0,89.0,85.87,87.0,338.56,5360.46,2980.88,5360.46,4.13,65.44,36.39,65.44,0.0,91.0,41.1,47.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2793950.0,2855999.0,2819933.25,2826698.0,64.0,72.0,67.75,68.0,81.0,84.0,83.0,83.5,338.56,5360.46,3272.86,5360.46,4.13,65.44,39.95,65.44,0.0,75.0,36.06,52.0,
NVIDIA GeForce RTX 3070,combinator,2921550.0,2954504.0,2937385.77,2936434.0,69.0,72.0,69.85,70.0,73.0,77.0,75.31,75.0,356.11,5380.07,3171.1,5380.07,4.35,65.67,38.71,65.67,0.0,88.0,42.55,33.0,
NVIDIA GeForce RTX 3070,dict3,3752693.0,3846756.0,3778256.22,3770499.5,72.0,95.0,92.44,95.0,79.0,82.0,80.33,80.0,356.11,5314.07,4638.07,5314.07,4.35,64.87,56.62,64.87,0.0,95.0,59.0,62.0,
