GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,236339696.0,237376644.0,237044380.78,237141832.0,92.0,93.0,92.44,92.0,69.0,70.0,69.33,69.0,2257.06,5284.36,4926.66,5282.94,20.04,46.91,43.74,46.9,0.0,96.0,74.94,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,21476513.0,21727978.0,21626839.5,21651433.5,25.0,31.0,27.25,26.5,67.0,68.0,67.75,68.0,1152.25,2236.9,1875.93,2236.9,10.23,19.86,16.65,19.86,0.0,22.0,12.33,16.0,
NVIDIA GeForce GTX 1080 Ti,dict4,74404813.0,75120600.0,74645207.82,74633081.0,42.0,53.0,46.18,43.0,64.0,64.0,64.0,64.0,1143.66,2230.46,2013.39,2230.46,10.15,19.8,17.87,19.8,0.0,53.0,31.8,37.0,
NVIDIA GeForce GTX 1080 Ti,force,47689712.0,534559756.0,459364895.64,455027747.0,75.0,98.0,92.64,94.0,56.0,60.0,58.41,59.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,14559939.0,62261451.0,56791578.69,59677904.0,3.0,93.0,82.31,93.0,53.0,54.0,53.92,54.0,1141.23,4168.4,2864.2,4168.4,10.13,37.01,25.43,37.01,0.0,98.0,41.31,3.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,640535431.0,655370571.0,644859871.77,643238670.0,79.0,81.0,79.23,79.0,82.0,85.0,84.08,84.0,327.78,3333.68,1924.91,3333.68,4.0,40.69,23.5,40.69,0.0,92.0,44.13,41.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,25751183.0,26542370.0,26119378.67,26064583.0,20.0,22.0,21.33,22.0,56.0,56.0,56.0,56.0,338.56,2070.46,1422.24,2070.46,4.13,25.27,17.36,25.27,0.0,25.0,12.12,14.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,30092903.0,38492858.0,33408608.78,32319867.5,13.0,39.0,27.39,30.0,57.0,62.0,58.22,57.0,338.56,2070.46,1782.64,2070.46,4.13,25.27,21.76,25.27,0.0,41.0,29.08,33.0,
NVIDIA GeForce RTX 2080 SUPER,force,322630410.0,1192507995.0,1084131773.47,1149636255.0,61.0,94.0,86.71,93.0,74.0,89.0,84.71,86.0,338.56,3344.46,1886.93,1900.46,4.13,40.83,23.03,23.2,0.0,94.0,41.12,21.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,526411300.0,756880986.0,695572903.65,714363162.0,43.0,83.0,74.24,83.0,70.0,86.0,81.29,84.0,338.56,3344.46,1963.3,2960.46,4.13,40.83,23.97,36.14,0.0,85.0,35.63,27.0,
NVIDIA GeForce RTX 3070,combinator,1045855732.0,1052637749.0,1048312181.38,1047583019.0,90.0,91.0,90.46,90.0,76.0,81.0,78.54,79.0,356.11,3378.07,1790.0,510.07,4.35,41.24,21.85,6.23,0.0,96.0,40.81,0.0,
NVIDIA GeForce RTX 3070,dict3,49218289.0,49218289.0,49218289.0,49218289.0,10.0,10.0,10.0,10.0,63.0,63.0,63.0,63.0,356.11,2058.07,1227.91,1269.07,4.35,25.12,14.99,15.49,0.0,14.0,6.83,6.5,
NVIDIA GeForce RTX 3070,dict4,189502887.0,193814224.0,191961723.67,192568060.0,25.0,33.0,30.33,33.0,69.0,69.0,69.0,69.0,356.11,2058.07,1420.08,2058.07,4.35,25.12,17.33,25.12,0.0,39.0,20.75,30.5,
NVIDIA GeForce RTX 3070,force,390347749.0,1905975119.0,1625868274.22,1795305888.0,65.0,96.0,88.11,94.0,70.0,74.0,72.56,73.0,356.11,3378.07,1641.92,510.07,4.35,41.24,20.04,6.23,0.0,96.0,27.75,0.0,
NVIDIA GeForce RTX 3070,hybrid,832945935.0,1073660836.0,1030742416.19,1068328685.5,36.0,94.0,86.44,93.0,67.0,78.0,74.25,75.0,500.27,3522.23,1957.43,654.23,6.11,43.0,23.89,7.99,0.0,94.0,33.23,0.0,
NVIDIA GeForce RTX 3090,combinator,1803240956.0,1809293886.0,1805513922.75,1804760424.5,90.0,91.0,90.75,91.0,82.0,83.0,82.75,83.0,499.16,3621.83,3101.86,3621.83,2.03,14.74,12.62,14.74,0.0,88.0,62.83,76.5,
NVIDIA GeForce RTX 3090,dict4,238155156.0,242856009.0,240505582.5,240505582.5,19.0,23.0,21.0,21.0,73.0,75.0,74.0,74.0,540.61,3553.34,2692.76,3553.34,2.2,14.46,10.96,14.46,0.0,31.0,12.14,17.0,
NVIDIA GeForce RTX 3090,force,390163474.0,3024629881.0,2378714228.14,2960757945.0,69.0,96.0,91.57,95.0,79.0,82.0,80.86,81.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,1328899461.0,1891277984.0,1667585142.8,1883938020.0,76.0,94.0,87.8,93.0,77.0,81.0,79.6,80.0,518.76,3641.43,1221.57,775.43,2.11,14.82,4.97,3.16,0.0,48.0,3.84,0.0,
NVIDIA RTX A4000,combinator,990165556.0,994364066.0,991563003.0,991446129.0,91.0,92.0,91.23,91.0,79.0,84.0,82.0,82.0,944.82,4007.73,2634.01,3995.66,5.77,24.47,16.08,24.4,0.0,96.0,47.87,50.5,
NVIDIA RTX A4000,dict3,49165700.0,49165700.0,49165700.0,49165700.0,8.0,8.0,8.0,8.0,72.0,72.0,72.0,72.0,750.01,2525.98,1272.81,911.98,4.58,15.42,7.77,5.57,0.0,39.0,5.35,0.0,
NVIDIA RTX A4000,dict4,192647230.0,199466832.0,196071880.0,196101578.0,27.0,37.0,33.67,37.0,81.0,81.0,81.0,81.0,796.97,2572.94,2306.74,2572.94,4.87,15.71,14.09,15.71,0.0,38.0,20.3,21.0,
NVIDIA RTX A4000,force,157376364.0,1516996502.0,1359852097.56,1461771371.5,81.0,97.0,90.94,91.0,78.0,85.0,81.75,82.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,877623443.0,1020090905.0,993777987.14,1012227966.5,51.0,94.0,90.36,93.0,76.0,83.0,80.14,80.5,1067.91,4121.62,2761.68,4117.88,6.52,25.17,16.86,25.15,1.0,96.0,43.0,13.5,
Radeon RX Vega,combinator,152987863.0,154224012.0,153341533.92,153226637.0,14.0,47.0,34.92,37.0,65.0,67.0,65.54,65.0,9225.23,10545.17,10116.72,10515.7,56.6,64.6,62.02,64.5,0,0,0,0,
Radeon RX Vega,dict3,14657297.0,14940735.0,14809933.0,14808509.0,0.0,3.0,1.43,1.0,69.0,70.0,69.14,69.0,4600.45,5914.23,5688.96,5911.32,28.2,36.3,34.87,36.2,0,0,0,0,
Radeon RX Vega,dict4,67436232.0,68919687.0,68092220.11,67931373.0,0.0,54.0,16.17,0.0,71.0,72.0,71.11,71.0,8754.24,10087.71,9859.28,10072.2,53.7,61.8,60.44,61.7,0,0,0,0,
Radeon RX Vega,force,174593915.0,817183316.0,769336459.44,816177390.0,2.0,94.0,57.83,66.0,64.0,70.0,68.39,69.0,7963.21,9407.6,8973.18,9366.6,48.8,57.7,55.0,57.4,0,0,0,0,
Radeon RX Vega,hybrid,149250237.0,160488174.0,157508977.5,158256021.0,26.0,55.0,45.4,52.5,59.0,60.0,59.8,60.0,7814.52,9436.2,8977.35,9420.77,47.9,57.8,55.03,57.8,0,0,0,0,
