GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,63838282.0,66214710.0,65093409.33,65141968.0,93.0,94.0,93.33,93.0,63.0,66.0,64.11,63.0,2228.85,5278.44,4756.61,5247.69,19.79,46.86,42.23,46.59,1.0,99.0,76.78,96.0,
NVIDIA GeForce GTX 1080 Ti,dict3,8542755.0,8940306.0,8659663.87,8625177.0,17.0,26.0,19.73,19.0,67.0,68.0,67.2,67.0,1702.48,4679.38,4284.06,4666.51,15.11,41.54,38.03,41.43,3.0,97.0,13.35,9.0,
NVIDIA GeForce GTX 1080 Ti,dict4,19782324.0,20402834.0,19997617.5,19961173.5,19.0,34.0,23.06,21.0,65.0,66.0,65.22,65.0,1143.66,4106.46,3720.2,4106.46,10.15,36.46,33.03,36.46,0.0,27.0,17.78,19.0,
NVIDIA GeForce GTX 1080 Ti,force,2062724.0,63946603.0,58029188.6,63757518.0,93.0,97.0,96.6,97.0,60.0,61.0,60.87,61.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,5589125.0,35051178.0,27224832.6,35033528.0,23.0,96.0,77.33,96.0,55.0,58.0,56.93,57.0,1144.04,4173.84,3660.71,4170.71,10.16,37.05,32.5,37.03,0.0,96.0,56.58,96.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,71331914.0,72410989.0,71776165.08,71789224.0,92.0,93.0,92.92,93.0,80.0,84.0,83.15,83.0,327.78,3333.68,2564.99,3333.68,4.0,40.69,31.31,40.69,0.0,93.0,60.78,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,6707256.0,7987220.0,7015085.58,6881645.0,21.0,35.0,28.26,28.0,52.0,54.0,52.58,52.0,338.56,3278.46,2895.04,3278.46,4.13,40.02,35.34,40.02,0.0,34.0,21.17,27.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,42061510.0,43636324.0,42659691.84,42466620.0,47.0,58.0,51.63,52.0,77.0,82.0,79.42,79.0,338.56,3278.46,2895.08,3278.46,4.13,40.02,35.34,40.02,0.0,44.0,32.52,38.0,
NVIDIA GeForce RTX 2080 SUPER,force,48479217.0,86344257.0,81399950.13,86155798.0,61.0,97.0,91.53,97.0,75.0,84.0,81.0,82.0,338.56,3344.46,2455.29,3344.46,4.13,40.83,29.97,40.83,0.0,96.0,53.78,63.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,76050345.0,77390225.0,76591265.3,76440998.0,84.0,93.0,91.1,92.0,76.0,81.0,79.1,79.5,338.56,3344.46,2261.95,3344.46,4.13,40.83,27.61,40.83,0.0,93.0,50.11,65.0,
NVIDIA GeForce RTX 3070,combinator,130682247.0,132011301.0,131312223.77,131256023.0,93.0,93.0,93.0,93.0,77.0,80.0,79.0,79.0,356.11,3378.07,2574.98,3378.07,4.35,41.24,31.43,41.24,0.0,94.0,60.18,92.0,
