GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,7451725978.0,7451725978.0,7451725978.0,7451725978.0,95.0,95.0,95.0,95.0,68.0,68.0,68.0,68.0,1483.02,4509.66,3863.76,4509.54,13.17,40.04,34.3,40.03,1.0,71.0,51.0,68.0,
NVIDIA GeForce GTX 1080 Ti,dict4,306986631.0,306986631.0,306986631.0,306986631.0,35.0,35.0,35.0,35.0,65.0,65.0,65.0,65.0,1145.16,2230.46,1868.8,2230.46,10.17,19.8,16.59,19.8,0.0,47.0,19.0,15.5,
NVIDIA GeForce GTX 1080 Ti,force,274686823.0,11502044889.0,7242577679.6,10736424720.0,95.0,97.0,96.0,96.0,63.0,69.0,66.2,67.0,1144.35,4174.15,2694.47,2729.15,10.16,37.06,23.92,24.23,0.0,96.0,20.5,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,8614377.0,7083227072.0,2538935972.45,3424597831.5,0.0,94.0,60.05,93.0,53.0,59.0,55.9,56.0,1141.16,4168.46,3185.96,4168.46,10.13,37.01,28.28,37.01,0.0,97.0,19.62,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,362654651.0,362654651.0,362654651.0,362654651.0,30.0,30.0,30.0,30.0,68.0,68.0,68.0,68.0,338.56,2070.46,1206.32,1209.46,4.13,25.27,14.73,14.76,0.0,37.0,17.33,18.5,
NVIDIA GeForce RTX 2080 SUPER,force,141777492.0,15631919244.0,9010242395.2,12136130549.0,59.0,94.0,70.6,70.0,71.0,81.0,75.8,74.0,338.56,3344.46,1871.14,1900.46,4.13,40.83,22.84,23.2,0.0,71.0,31.42,25.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2730463777.0,7145890554.0,6392341342.23,6584573987.0,32.0,66.0,54.92,57.0,63.0,76.0,72.23,73.0,338.56,3344.46,2311.35,3344.46,4.13,40.83,28.21,40.83,0.0,62.0,15.0,3.0,
NVIDIA GeForce RTX 3070,combinator,5983883611.0,6575928345.0,6186427965.2,6071886389.0,51.0,63.0,58.6,60.0,66.0,67.0,66.8,67.0,259.05,3284.83,1747.43,413.08,3.16,40.1,21.33,5.04,0.0,74.0,28.68,23.0,
NVIDIA GeForce RTX 3070,dict4,256741151.0,256989233.0,256865192.0,256865192.0,16.0,22.0,19.0,19.0,64.0,64.0,64.0,64.0,356.11,2058.07,1330.22,2058.07,4.35,25.12,16.24,25.12,0.0,22.0,10.86,16.0,
NVIDIA GeForce RTX 3070,force,720250983.0,15233112068.0,9601507525.4,13401838240.0,84.0,96.0,90.8,89.0,70.0,72.0,70.8,71.0,356.11,3378.07,1771.9,510.07,4.35,41.24,21.63,6.23,0.0,95.0,34.09,0.0,
NVIDIA GeForce RTX 3070,hybrid,0.0,5963196195.0,4901048483.69,5730154598.0,17.0,70.0,55.54,66.0,50.0,57.0,54.46,55.0,427.02,3448.91,2165.43,3448.91,5.21,42.1,26.43,42.1,0.0,53.0,9.25,0.0,
NVIDIA GeForce RTX 3090,combinator,8535712819.0,8770946846.0,8653329832.5,8653329832.5,50.0,53.0,51.5,51.5,71.0,71.0,71.0,71.0,571.01,3693.74,3074.65,3692.24,2.32,15.03,12.51,15.02,0.0,59.0,36.93,42.0,
NVIDIA GeForce RTX 3090,dict4,290022130.0,290022130.0,290022130.0,290022130.0,10.0,10.0,10.0,10.0,75.0,75.0,75.0,75.0,540.67,3553.34,2549.34,3553.34,2.2,14.46,10.37,14.46,0.0,16.0,9.0,11.5,
