GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,9799282.0,10194175.0,9987019.78,9958778.0,93.0,94.0,93.44,93.0,65.0,68.0,65.89,65.0,2197.96,8537.99,7300.3,8278.33,19.51,75.8,64.81,73.49,0.0,98.0,73.11,91.0,
NVIDIA GeForce GTX 1080 Ti,dict3,4664891.0,4904499.0,4738701.83,4720119.0,32.0,70.0,50.22,52.5,75.0,78.0,76.78,77.0,1152.25,7136.9,6356.52,7136.9,10.23,63.36,56.43,63.36,0.0,67.0,38.13,37.0,
NVIDIA GeForce GTX 1080 Ti,dict4,9337901.0,9684846.0,9421688.83,9391942.0,31.0,93.0,79.83,92.0,78.0,84.0,82.22,83.0,1145.81,7130.46,6382.6,7130.46,10.17,63.3,56.66,63.3,0.0,96.0,72.29,92.0,
NVIDIA GeForce GTX 1080 Ti,force,6189277.0,8934264.0,8700415.46,8925061.0,79.0,94.0,92.77,94.0,59.0,62.0,61.62,62.0,1144.35,7195.65,5212.47,7195.65,10.16,63.88,46.28,63.88,0.0,99.0,55.64,90.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,3709396.0,4087418.0,3992392.65,4070372.0,70.0,95.0,92.41,95.0,56.0,57.0,56.71,57.0,1139.16,7192.4,4337.9,7192.4,10.11,63.85,38.51,63.85,0.0,98.0,43.6,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,10095278.0,10484302.0,10240958.21,10217880.0,60.0,71.0,64.5,63.5,81.0,85.0,83.43,83.0,327.78,6357.68,3798.58,6357.68,4.0,77.61,46.37,77.61,0.0,79.0,39.31,63.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,10493522.0,10976888.0,10773252.25,10800737.0,65.0,83.0,76.08,77.0,78.0,86.0,82.92,83.5,338.56,6302.46,5250.12,6302.46,4.13,76.93,64.09,76.93,0.0,83.0,64.12,74.0,
NVIDIA GeForce RTX 2080 SUPER,force,8720023.0,17463522.0,15509934.35,15791291.0,69.0,93.0,88.35,93.0,76.0,89.0,84.8,86.0,338.56,6368.46,4415.4,6368.46,4.13,77.74,53.9,77.74,0.0,93.0,54.45,91.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,10307949.0,10964400.0,10718091.58,10782780.0,55.0,73.0,66.67,67.5,75.0,84.0,82.0,83.0,338.56,6368.46,3803.57,6368.46,4.13,77.74,46.43,77.74,0.0,74.0,29.93,30.0,
NVIDIA GeForce RTX 3070,combinator,14367065.0,14503641.0,14416054.08,14408018.0,77.0,81.0,77.54,77.0,72.0,77.0,75.08,75.0,356.11,6380.07,3725.79,6380.07,4.35,77.88,45.48,77.88,0.0,61.0,30.36,30.0,
