GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,171412.0,177788.0,175175.88,176222.5,90.0,95.0,94.25,95.0,72.0,77.0,73.38,72.0,2254.08,6737.62,6233.12,6729.94,20.01,59.82,55.34,59.75,1.0,93.0,72.11,90.5,
NVIDIA GeForce GTX 1080 Ti,dict2,161.0,164.0,163.25,164.0,36.0,64.0,56.5,63.0,58.0,59.0,58.5,58.5,1666.81,6086.21,4613.42,6084.52,14.8,54.03,40.96,54.02,0.0,97.0,41.33,67.0,
NVIDIA GeForce GTX 1080 Ti,dict3,164438.0,172965.0,166801.94,165491.0,98.0,98.0,98.0,98.0,82.0,86.0,83.76,84.0,1683.65,6133.88,5719.76,6100.07,14.95,54.46,50.78,54.16,3.0,98.0,80.78,97.0,
NVIDIA GeForce GTX 1080 Ti,force,13.0,5950.0,3402.55,5926.5,62.0,88.0,77.6,86.0,53.0,55.0,53.1,53.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,80666.0,83563.0,82468.62,82729.0,94.0,94.0,94.0,94.0,62.0,63.0,62.12,62.0,1146.19,5622.84,3341.46,1284.84,10.18,49.92,29.66,11.41,0.0,98.0,38.78,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,176528.0,183048.0,178768.08,178444.0,90.0,90.0,90.0,90.0,85.0,88.0,86.54,86.0,327.78,4783.68,2916.15,4783.68,4.0,58.39,35.6,58.39,0.0,95.0,48.93,63.5,
NVIDIA GeForce RTX 2080 SUPER,dict2,223.0,223.0,223.0,223.0,66.0,67.0,66.33,66.0,61.0,61.0,61.0,61.0,338.56,4728.46,4070.52,4728.46,4.13,57.72,49.69,57.72,0.0,49.0,30.15,34.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,193841.0,200641.0,196882.06,197343.0,94.0,95.0,94.83,95.0,86.0,90.0,87.22,87.0,338.56,4728.46,4155.95,4728.46,4.13,57.72,50.73,57.72,0.0,95.0,79.83,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,180573.0,184991.0,182440.0,182542.0,95.0,95.0,95.0,95.0,87.0,88.0,87.78,88.0,338.56,4728.46,4329.42,4728.46,4.13,57.72,52.85,57.72,0.0,95.0,81.36,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,21.0,168910.0,98667.3,154150.0,55.0,78.0,69.6,71.0,62.0,86.0,76.2,82.0,338.56,4794.46,3450.67,4794.46,4.13,58.53,42.12,58.53,0.0,59.0,24.92,34.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,179745.0,183879.0,181110.88,180865.0,90.0,90.0,90.0,90.0,85.0,87.0,86.0,86.0,338.56,4794.46,2615.68,2625.46,4.13,58.53,31.93,32.05,0.0,69.0,31.54,17.0,
NVIDIA GeForce RTX 3070,combinator,198549.0,199726.0,199047.62,199043.0,94.0,95.0,94.85,95.0,77.0,82.0,79.69,80.0,356.11,4818.07,2961.11,4818.07,4.35,58.81,36.15,58.81,0.0,74.0,34.61,63.0,
NVIDIA GeForce RTX 3070,dict2,232.0,234.0,233.0,233.0,68.0,73.0,70.5,70.5,60.0,60.0,60.0,60.0,356.11,4752.07,3103.71,4752.07,4.35,58.01,37.89,58.01,0.0,73.0,44.62,71.0,
NVIDIA GeForce RTX 3070,dict3,189951.0,196134.0,191914.56,190346.0,93.0,96.0,95.11,95.0,83.0,85.0,84.06,84.0,356.11,4752.07,4179.16,4752.07,4.35,58.01,51.02,58.01,0.0,95.0,76.96,94.0,
NVIDIA GeForce RTX 3070,dict4,193707.0,197671.0,195585.82,195410.0,95.0,96.0,95.12,95.0,82.0,84.0,83.35,83.0,356.11,4752.07,4178.73,4752.07,4.35,58.01,51.01,58.01,0.0,96.0,77.0,94.0,
NVIDIA GeForce RTX 3070,force,22.0,4919.0,3653.35,4889.0,65.0,89.0,78.71,82.0,62.0,64.0,62.41,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,200498.0,201553.0,200940.0,200915.5,94.0,95.0,94.75,95.0,74.0,77.0,75.75,76.0,467.32,4911.03,2654.72,621.28,5.7,59.95,32.41,7.58,0.0,95.0,39.13,0.0,
NVIDIA GeForce RTX 3090,combinator,227681.0,228493.0,228173.92,228320.0,72.0,73.0,72.77,73.0,84.0,86.0,85.23,85.0,499.16,5059.83,4300.38,5059.83,2.03,20.59,17.5,20.59,0.0,75.0,52.44,66.0,
NVIDIA GeForce RTX 3090,dict2,227.0,227.0,227.0,227.0,59.0,67.0,61.67,59.0,74.0,74.0,74.0,74.0,499.91,4994.58,3871.08,4994.58,2.03,20.32,15.75,20.32,0.0,89.0,47.75,73.0,
NVIDIA GeForce RTX 3090,dict3,318125.0,322009.0,319169.24,318506.0,88.0,97.0,95.76,96.0,85.0,86.0,85.88,86.0,540.23,5037.84,4451.57,5037.84,2.2,20.5,18.11,20.5,0.0,96.0,78.26,95.0,
NVIDIA GeForce RTX 3090,dict4,318756.0,322028.0,319660.67,319145.0,95.0,97.0,95.89,96.0,85.0,86.0,85.83,86.0,537.73,5035.34,4473.5,5035.34,2.19,20.49,18.2,20.49,0.0,96.0,78.67,95.0,
NVIDIA GeForce RTX 3090,force,22.0,7935.0,5635.41,7714.0,38.0,94.0,67.24,66.0,73.0,76.0,74.12,74.0,723.67,5284.34,3485.72,5284.34,2.94,21.5,14.18,21.5,0.0,84.0,39.17,56.0,
NVIDIA GeForce RTX 3090,hybrid,235555.0,240950.0,237417.62,236922.0,65.0,66.0,65.75,66.0,81.0,83.0,82.25,82.0,515.07,5076.99,2809.38,774.24,2.1,20.66,11.43,3.15,3.0,87.0,38.74,15.0,
NVIDIA RTX A4000,combinator,148202.0,150302.0,149018.85,149002.0,82.0,84.0,82.31,82.0,80.0,85.0,83.08,83.0,948.22,5519.38,3657.59,5459.21,5.79,33.7,22.34,33.34,0.0,97.0,53.66,87.0,
