GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,10025.0,10032.0,10026.75,10025.0,95.0,96.0,95.88,96.0,67.0,68.0,67.5,67.5,1619.77,6326.42,5654.66,6326.42,14.38,56.16,50.2,56.16,0.0,99.0,78.52,97.0,
NVIDIA GeForce GTX 1080 Ti,dict1,38.0,38.0,38.0,38.0,90.0,91.0,90.28,90.0,58.0,59.0,58.39,58.0,1643.27,6283.92,5856.32,6276.42,14.59,55.79,51.99,55.72,2.0,94.0,76.05,94.0,
NVIDIA GeForce GTX 1080 Ti,dict2,3.0,4.0,3.26,3.0,89.0,92.0,90.95,91.0,56.0,58.0,56.89,57.0,1602.83,6243.48,5686.83,6243.48,14.23,55.43,50.49,55.43,0.0,99.0,78.0,94.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,87.0,89.0,87.75,88.0,52.0,52.0,52.0,52.0,1147.91,5856.09,3941.14,5856.09,10.19,51.99,34.99,51.99,0.0,95.0,47.88,68.5,
NVIDIA GeForce GTX 1080 Ti,hybrid,5011.0,5015.0,5013.75,5014.5,94.0,95.0,94.75,95.0,56.0,57.0,56.88,57.0,1137.56,5844.21,3472.43,2538.21,10.1,51.88,30.83,22.53,0.0,98.0,42.39,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,11004.0,11832.0,11377.0,11415.0,65.0,81.0,74.69,76.0,84.0,87.0,85.85,86.0,327.78,5013.68,2943.42,5013.68,4.0,61.2,35.93,61.2,0.0,94.0,46.16,49.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,105.0,108.0,106.43,106.0,66.0,79.0,71.43,69.0,59.0,60.0,59.57,60.0,327.78,4947.68,2980.07,4947.68,4.0,60.4,36.38,60.4,0.0,70.0,31.65,37.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,10.0,10.0,10.0,10.0,65.0,68.0,65.83,65.5,60.0,61.0,60.83,61.0,338.56,4958.46,4573.51,4958.46,4.13,60.53,55.83,60.53,0.0,72.0,62.38,70.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,14902.0,15627.0,15063.11,14940.5,93.0,94.0,93.28,93.0,86.0,89.0,87.39,87.0,338.56,4958.46,4556.77,4958.46,4.13,60.53,55.62,60.53,0.0,94.0,81.91,94.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,13971.0,14446.0,14072.72,14003.5,93.0,94.0,93.94,94.0,88.0,88.0,88.0,88.0,338.56,4958.46,4556.77,4958.46,4.13,60.53,55.62,60.53,0.0,94.0,82.13,94.0,
