GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,926770150.0,946633691.0,937020067.0,938815253.0,82.0,93.0,88.38,92.0,62.0,64.0,62.75,62.0,2244.73,2944.5,2819.88,2929.62,19.93,26.14,25.03,26.01,1.0,97.0,73.94,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,303140867.0,303140867.0,303140867.0,303140867.0,43.0,43.0,43.0,43.0,66.0,66.0,66.0,66.0,1145.16,1760.46,1514.47,1760.46,10.17,15.63,13.45,15.63,0.0,51.0,20.4,0.0,
NVIDIA GeForce GTX 1080 Ti,force,780748178.0,1064699717.0,897609277.44,877392809.0,32.0,95.0,90.39,94.0,60.0,65.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,471144992.0,859291770.0,534414943.07,472243338.0,84.0,97.0,92.87,93.0,56.0,64.0,57.4,57.0,1144.04,1826.84,1563.58,1826.84,10.16,16.22,13.88,16.22,0.0,97.0,51.12,79.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,2690133336.0,2705170993.0,2697652164.5,2697652164.5,88.0,88.0,88.0,88.0,85.0,86.0,85.5,85.5,327.78,1321.68,902.14,1321.68,4.0,16.13,11.01,16.13,0.0,90.0,38.09,1.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,379113508.0,379113508.0,379113508.0,379113508.0,27.0,27.0,27.0,27.0,70.0,70.0,70.0,70.0,338.56,1266.46,711.89,348.46,4.13,15.46,8.69,4.25,0.0,29.0,11.0,6.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,2992512530.0,2541439490.35,2872453775.0,13.0,91.0,73.76,90.0,65.0,89.0,81.65,86.0,338.56,1332.46,1023.71,1332.46,4.13,16.27,12.5,16.27,0.0,91.0,50.52,60.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2692565523.0,2906243618.0,2737576095.17,2712178953.5,76.0,92.0,89.58,92.0,79.0,90.0,86.67,87.0,338.56,1332.46,743.02,456.46,4.13,16.27,9.07,5.57,0.0,89.0,33.91,0.0,
NVIDIA GeForce RTX 3070,combinator,2634009887.0,2640315610.0,2636238963.67,2634391394.0,86.0,87.0,86.33,86.0,78.0,78.0,78.0,78.0,356.11,1352.07,892.74,931.07,4.35,16.5,10.9,11.37,0.0,90.0,29.92,0.0,
NVIDIA GeForce RTX 3070,dict4,438125172.0,438125172.0,438125172.0,438125172.0,26.0,26.0,26.0,26.0,71.0,71.0,71.0,71.0,356.11,1286.07,821.33,821.58,4.35,15.7,10.03,10.03,0.0,31.0,14.25,13.0,
NVIDIA GeForce RTX 3070,force,1453092881.0,2998482056.0,2803187294.33,2956657499.0,45.0,92.0,83.8,90.0,62.0,74.0,70.47,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,2703832574.0,2777832216.0,2723844269.0,2720104747.0,73.0,92.0,88.58,91.0,71.0,78.0,75.92,76.0,475.2,1454.59,928.46,629.16,5.8,17.76,11.33,7.68,0.0,93.0,36.0,1.5,
NVIDIA GeForce RTX 3090,combinator,4468750327.0,4468750327.0,4468750327.0,4468750327.0,86.0,86.0,86.0,86.0,84.0,84.0,84.0,84.0,499.16,2205.83,1523.43,2205.83,2.03,8.98,6.2,8.98,0.0,87.0,41.4,33.0,
NVIDIA GeForce RTX 3090,dict4,476301561.0,476301561.0,476301561.0,476301561.0,17.0,17.0,17.0,17.0,77.0,77.0,77.0,77.0,543.17,2183.84,1527.84,2183.84,2.21,8.89,6.22,8.89,0.0,18.0,7.0,0.0,
NVIDIA GeForce RTX 3090,force,1932054501.0,4963867861.0,4593162387.67,4896672962.0,32.0,91.0,81.93,89.0,74.0,84.0,81.07,82.0,727.5,2432.84,1887.75,2432.84,2.96,9.9,7.68,9.9,0.0,91.0,45.0,33.0,
NVIDIA GeForce RTX 3090,hybrid,4602548783.0,4642998779.0,4617860216.67,4608033088.0,91.0,91.0,91.0,91.0,81.0,82.0,81.67,82.0,516.45,2221.74,1199.8,774.37,2.1,9.04,4.88,3.15,3.0,96.0,25.33,4.0,
NVIDIA RTX A4000,combinator,2344330750.0,2349767635.0,2346677626.0,2345934493.0,87.0,88.0,87.67,88.0,85.0,86.0,85.33,85.0,955.05,1993.77,1528.04,1554.64,5.83,12.17,9.33,9.49,0.0,95.0,43.92,27.5,
NVIDIA RTX A4000,dict4,401332303.0,401332303.0,401332303.0,401332303.0,23.0,23.0,23.0,23.0,81.0,81.0,81.0,81.0,812.31,1783.78,1459.0,1780.16,4.96,10.89,8.91,10.87,6.0,33.0,20.5,20.0,
NVIDIA RTX A4000,force,1338332562.0,2644777417.0,2466386127.13,2591051889.0,34.0,92.0,84.87,90.0,76.0,85.0,81.67,82.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,2138638788.0,2393993740.0,2326013850.6,2362676593.0,30.0,91.0,77.2,90.0,83.0,85.0,84.4,85.0,1029.77,2065.75,1516.77,1196.53,6.29,12.61,9.26,7.31,3.0,96.0,38.33,10.0,
Radeon RX Vega,combinator,570589353.0,574227179.0,571652603.0,571257429.0,13.0,43.0,38.38,41.0,67.0,69.0,68.0,68.0,9169.49,10488.9,9940.78,9558.3,56.2,64.3,60.93,58.6,0,0,0,0,
Radeon RX Vega,dict4,144880598.0,145659038.0,145278051.5,145286285.0,2.0,34.0,16.0,14.0,72.0,73.0,72.75,73.0,8224.45,9548.56,9055.72,9509.59,50.4,58.5,55.51,58.3,0,0,0,0,
Radeon RX Vega,force,704962347.0,1039416396.0,1007433482.16,1025866356.0,10.0,92.0,60.16,57.0,59.0,67.0,64.16,65.0,8023.5,9599.7,9074.27,9587.36,49.2,58.8,55.63,58.8,0,0,0,0,
Radeon RX Vega,hybrid,551372038.0,601064715.0,583887059.12,586210032.5,0.0,53.0,34.81,40.5,60.0,61.0,60.56,61.0,8853.77,10476.01,9603.52,9468.88,54.3,64.2,58.87,58.05,0,0,0,0,
