GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,309184090.0,335212477.0,322019282.5,322129941.0,88.0,92.0,89.62,89.5,61.0,71.0,67.25,69.5,2242.29,2938.88,2816.47,2925.84,19.91,26.09,25.0,25.98,1.0,94.0,74.94,93.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,182838188.0,299084780.0,223365354.91,204424385.0,82.0,90.0,87.73,89.0,54.0,60.0,55.36,54.0,1146.19,1826.84,1667.38,1826.84,10.18,16.22,14.8,16.22,0.0,82.0,58.48,81.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,430239705.0,496740347.0,463404985.92,468259106.0,57.0,68.0,59.92,58.0,77.0,83.0,80.31,80.0,327.78,1321.68,1007.31,1321.68,4.0,16.13,12.3,16.13,0.0,77.0,46.24,63.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,429498775.0,464745100.0,453478393.0,453567462.0,51.0,64.0,59.27,59.0,75.0,80.0,78.55,79.0,338.56,1332.46,1077.56,1332.46,4.13,16.27,13.15,16.27,0.0,75.0,44.91,68.0,
NVIDIA GeForce RTX 3070,combinator,413384106.0,465050108.0,438503458.23,443593029.0,55.0,78.0,59.77,57.0,72.0,74.0,73.08,73.0,356.11,1352.07,1089.6,1352.07,4.35,16.5,13.3,16.5,0.0,61.0,39.38,53.0,
NVIDIA GeForce RTX 3070,hybrid,459593331.0,580050602.0,487489673.5,479066755.0,55.0,80.0,62.9,59.0,71.0,73.0,72.1,72.0,457.8,1460.28,1205.25,1452.78,5.59,17.83,14.71,17.73,0.0,79.0,40.77,54.0,
NVIDIA GeForce RTX 3090,combinator,832470295.0,934382046.0,906788438.5,917911964.0,35.0,70.0,62.83,68.0,83.0,84.0,83.67,84.0,499.16,2205.83,1978.36,2205.83,2.03,8.98,8.05,8.98,0.0,74.0,53.73,64.0,
NVIDIA GeForce RTX 3090,hybrid,923601850.0,973615394.0,942467339.4,942451278.5,69.0,75.0,71.6,71.5,80.0,82.0,81.4,82.0,516.26,2222.99,1738.48,2222.99,2.1,9.05,7.07,9.05,3.0,78.0,44.32,70.0,
NVIDIA RTX A4000,combinator,388977382.0,422518128.0,401707761.23,400615028.0,55.0,62.0,58.69,56.0,85.0,87.0,86.23,86.0,954.61,1995.02,1732.74,1993.32,5.83,12.18,10.58,12.17,0.0,87.0,55.36,85.0,
NVIDIA RTX A4000,hybrid,403607700.0,436599121.0,423244794.9,421188368.0,58.0,67.0,62.3,62.5,85.0,87.0,86.1,86.0,1031.34,2074.06,1866.12,2069.31,6.3,12.67,11.4,12.64,3.0,87.0,59.87,86.0,
Radeon RX Vega,combinator,107308947.0,108038384.0,107549567.54,107445752.0,13.0,39.0,31.08,31.0,62.0,63.0,62.85,63.0,9195.09,10493.21,10171.42,10479.14,56.4,64.3,62.35,64.2,0,0,0,0,
Radeon RX Vega,hybrid,114011494.0,141923311.0,137903263.92,139621833.0,0.0,55.0,36.15,40.0,58.0,59.0,58.62,59.0,8883.69,10494.43,10223.27,10480.09,54.5,64.3,62.67,64.2,0,0,0,0,
