GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,201800329.0,206499255.0,204044689.75,204165620.5,93.0,94.0,93.62,94.0,60.0,62.0,61.0,61.0,2250.41,2952.75,2823.63,2932.5,19.98,26.21,25.07,26.03,1.0,94.0,72.83,93.0,
NVIDIA GeForce GTX 1080 Ti,dict4,157792831.0,159126120.0,158453924.25,158448373.0,59.0,68.0,63.75,64.0,70.0,70.0,70.0,70.0,1145.81,1760.46,1556.16,1760.46,10.17,15.63,13.82,15.63,0.0,72.0,44.67,61.0,
NVIDIA GeForce GTX 1080 Ti,force,183106002.0,211196171.0,207207955.38,210960850.0,39.0,95.0,90.54,95.0,58.0,60.0,59.69,60.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,116182912.0,160936190.0,128507099.78,122843352.0,86.0,97.0,93.33,97.0,55.0,57.0,55.44,55.0,1146.19,1826.84,1635.49,1826.84,10.18,16.22,14.52,16.22,0.0,94.0,53.32,82.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,577951676.0,592096356.0,582759359.23,581788412.0,89.0,90.0,89.92,90.0,83.0,86.0,84.69,85.0,327.78,1321.68,1039.77,1321.68,4.0,16.13,12.69,16.13,0.0,92.0,59.26,91.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,173166872.0,180650659.0,176356271.0,175251282.0,33.0,34.0,33.67,34.0,73.0,78.0,75.33,75.0,338.56,1266.46,919.85,1266.46,4.13,15.46,11.23,15.46,1.0,40.0,27.38,33.5,
NVIDIA GeForce RTX 2080 SUPER,force,466823529.0,627116025.0,598734061.14,604847521.0,2.0,93.0,83.43,93.0,63.0,84.0,80.71,84.0,338.56,1332.46,1027.43,1332.46,4.13,16.27,12.54,16.27,0.0,94.0,58.48,92.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,567149092.0,616972439.0,594835423.06,593894457.5,78.0,93.0,89.69,93.0,78.0,86.0,84.19,85.0,338.56,1332.46,981.99,1332.46,4.13,16.27,11.99,16.27,0.0,93.0,50.48,70.0,
NVIDIA GeForce RTX 3070,combinator,579272761.0,585214099.0,581586921.46,581181555.0,80.0,89.0,88.08,89.0,76.0,79.0,77.85,78.0,356.11,1352.07,1075.81,1352.07,4.35,16.5,13.13,16.5,0.0,91.0,56.74,90.0,
NVIDIA GeForce RTX 3070,dict4,185563351.0,186565915.0,186002514.67,185878278.0,33.0,41.0,36.0,34.0,75.0,75.0,75.0,75.0,356.11,1286.07,937.58,1286.07,4.35,15.7,11.45,15.7,0.0,36.0,19.38,28.0,
