GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,265521838.0,272164434.0,268772868.25,268851575.0,91.0,91.0,91.0,91.0,60.0,62.0,61.0,61.0,2240.04,2932.5,2809.98,2931.94,19.89,26.03,24.95,26.03,1.0,96.0,74.82,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,130925286.0,131256769.0,131129694.6,131214429.0,49.0,55.0,52.4,53.0,66.0,66.0,66.0,66.0,1145.81,1760.46,1576.59,1760.46,10.17,15.63,14.0,15.63,0.0,53.0,35.4,49.5,
NVIDIA GeForce GTX 1080 Ti,force,0.0,245287797.0,224271184.07,244949559.5,35.0,94.0,86.43,94.0,58.0,60.0,59.57,60.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,153788851.0,197284618.0,165940943.33,160721833.0,87.0,98.0,95.44,98.0,55.0,56.0,55.22,55.0,1146.19,1826.84,1623.37,1826.84,10.18,16.22,14.41,16.22,0.0,96.0,52.6,73.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,630192193.0,645782304.0,635686349.62,634547298.0,92.0,92.0,92.0,92.0,84.0,86.0,85.0,85.0,327.78,1321.68,1001.68,1321.68,4.0,16.13,12.23,16.13,0.0,92.0,61.22,91.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,170654994.0,173133027.0,172122666.67,172579979.0,33.0,38.0,34.67,33.0,69.0,70.0,69.33,69.0,338.56,1266.46,1036.72,1266.46,4.13,15.46,12.66,15.46,0.0,34.0,24.5,32.5,
NVIDIA GeForce RTX 2080 SUPER,force,489122759.0,672184951.0,639019392.33,645785393.0,48.0,93.0,85.1,92.0,65.0,86.0,81.81,84.0,338.56,1332.46,957.85,1332.46,4.13,16.27,11.69,16.27,0.0,93.0,49.66,81.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,616943025.0,646407193.0,631019772.85,631120603.0,74.0,93.0,89.46,92.0,83.0,86.0,84.54,84.0,338.56,1332.46,801.89,456.46,4.13,16.27,9.79,5.57,0.0,92.0,24.92,0.0,
NVIDIA GeForce RTX 3070,combinator,762183128.0,767722328.0,764131867.0,763538878.0,89.0,90.0,89.83,90.0,77.0,80.0,78.67,79.0,356.11,1352.07,1039.2,1352.07,4.35,16.5,12.69,16.5,0.0,90.0,54.26,89.0,
NVIDIA GeForce RTX 3070,dict4,201687901.0,202228279.0,201958090.0,201958090.0,27.0,35.0,31.0,31.0,69.0,69.0,69.0,69.0,356.11,1286.07,937.58,1286.07,4.35,15.7,11.45,15.7,0.0,34.0,18.88,28.5,
