GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,128086.0,128393.0,128178.0,128091.0,97.0,97.0,97.0,97.0,67.0,68.0,67.78,68.0,1648.1,7777.65,7092.39,7726.74,14.63,69.05,62.97,68.6,1.0,98.0,78.05,97.0,
NVIDIA GeForce GTX 1080 Ti,dict2,56.0,61.0,58.86,59.0,75.0,76.0,75.29,75.0,57.0,59.0,57.86,58.0,1539.39,7523.48,6326.83,7523.48,13.67,66.79,56.17,66.79,0.0,98.0,53.6,72.0,
NVIDIA GeForce GTX 1080 Ti,dict3,151325.0,159428.0,153196.39,152495.5,35.0,97.0,93.28,97.0,79.0,87.0,83.56,83.5,1105.38,7092.96,6309.77,7090.02,9.81,62.97,56.02,62.94,0.0,98.0,80.04,97.0,
NVIDIA GeForce GTX 1080 Ti,force,63448.0,64041.0,63816.0,63864.5,96.0,97.0,96.25,96.0,57.0,57.0,57.0,57.0,1142.79,7195.65,4489.37,7195.65,10.15,63.88,39.86,63.88,0.0,97.0,44.41,5.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,65122.0,65207.0,65175.62,65184.0,88.0,97.0,95.12,96.0,57.0,57.0,57.0,57.0,1135.35,7188.21,4286.67,4990.21,10.08,63.82,38.06,44.3,0.0,97.0,45.26,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,147884.0,153328.0,149937.85,149790.0,73.0,75.0,73.77,74.0,83.0,86.0,85.15,85.0,327.78,6357.68,3940.39,6357.68,4.0,77.61,48.1,77.61,0.0,84.0,44.89,80.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,88.0,88.0,88.0,88.0,54.0,59.0,57.75,59.0,61.0,61.0,61.0,61.0,338.56,6302.46,4977.26,6302.46,4.13,76.93,60.76,76.93,0.0,59.0,42.56,57.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,189218.0,202290.0,193284.59,192622.0,91.0,92.0,91.41,91.0,86.0,90.0,87.47,87.0,338.56,6302.46,5524.6,6302.46,4.13,76.93,67.44,76.93,0.0,93.0,77.39,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,177683.0,187469.0,179968.22,179111.0,92.0,92.0,92.0,92.0,87.0,89.0,88.06,88.0,338.56,6302.46,5525.03,6302.46,4.13,76.93,67.44,76.93,0.0,92.0,77.39,92.0,
NVIDIA GeForce RTX 2080 SUPER,force,201876.0,204644.0,202990.0,202883.0,93.0,93.0,93.0,93.0,85.0,87.0,86.0,86.0,338.56,6368.46,3542.04,6368.46,4.13,77.74,43.24,77.74,0.0,92.0,45.19,34.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,170886.0,175768.0,172662.67,172237.0,85.0,85.0,85.0,85.0,84.0,86.0,85.33,85.0,338.56,6368.46,3401.79,3412.46,4.13,77.74,41.53,41.66,0.0,77.0,28.05,1.0,
NVIDIA GeForce RTX 3070,combinator,185611.0,187016.0,186221.15,186070.0,91.0,92.0,91.08,91.0,74.0,79.0,76.92,77.0,356.11,6380.07,3977.22,6380.07,4.35,77.88,48.55,77.88,0.0,92.0,46.85,89.0,
NVIDIA GeForce RTX 3070,dict2,105.0,105.0,105.0,105.0,73.0,74.0,73.67,74.0,60.0,60.0,60.0,60.0,356.11,6314.07,4802.41,6314.07,4.35,77.08,58.62,77.08,0.0,65.0,49.89,65.0,
NVIDIA GeForce RTX 3070,dict3,198186.0,200067.0,198729.61,198249.0,61.0,96.0,93.67,96.0,78.0,82.0,80.22,80.0,356.11,6314.07,5820.34,6314.07,4.35,77.08,71.05,77.08,0.0,96.0,78.05,95.5,
NVIDIA GeForce RTX 3070,dict4,197021.0,200151.0,197709.17,197377.0,96.0,96.0,96.0,96.0,78.0,83.0,81.06,81.0,356.11,6314.07,5537.03,6314.07,4.35,77.08,67.59,77.08,0.0,94.0,74.83,91.0,
NVIDIA GeForce RTX 3070,force,201888.0,202326.0,202121.62,202120.0,96.0,96.0,96.0,96.0,69.0,73.0,71.12,71.0,356.11,6380.07,3697.94,6380.07,4.35,77.88,45.14,77.88,0.0,96.0,43.41,1.5,
NVIDIA GeForce RTX 3070,hybrid,149059.0,150565.0,149623.75,149570.5,73.0,74.0,73.12,73.0,70.0,72.0,71.25,71.5,495.0,6518.96,3371.23,648.96,6.04,79.58,41.15,7.92,0.0,99.0,41.48,0.0,
NVIDIA GeForce RTX 3090,combinator,246759.0,251176.0,248199.93,247736.5,72.0,72.0,72.0,72.0,83.0,86.0,85.0,85.0,499.16,6619.83,5599.86,6619.83,2.03,26.94,22.79,26.94,0.0,89.0,67.39,81.0,
NVIDIA GeForce RTX 3090,dict2,88.0,88.0,88.0,88.0,66.0,66.0,66.0,66.0,74.0,74.0,74.0,74.0,499.91,6554.58,5209.24,6554.58,2.03,26.67,21.2,26.67,0.0,68.0,41.89,67.0,
