GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,89275.0,89491.0,89353.75,89341.0,96.0,97.0,96.88,97.0,67.0,68.0,67.75,68.0,887.95,5931.25,3819.61,5931.25,7.88,52.66,33.91,52.66,0.0,98.0,51.86,96.0,
NVIDIA GeForce GTX 1080 Ti,dict2,44.0,52.0,46.72,45.5,62.0,66.0,64.39,64.5,58.0,60.0,58.28,58.0,1650.08,6634.79,5698.66,6631.2,14.65,58.9,50.59,58.87,0.0,97.0,65.88,79.0,
NVIDIA GeForce GTX 1080 Ti,dict4,106807.0,111792.0,107889.56,107505.0,87.0,97.0,96.39,97.0,82.0,86.0,83.56,84.0,1149.44,6126.09,5693.35,6126.09,10.2,54.39,50.54,54.39,0.0,97.0,84.3,97.0,
NVIDIA GeForce GTX 1080 Ti,force,2.0,2.0,2.0,2.0,59.0,61.0,60.12,60.0,53.0,53.0,53.0,53.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,40931.0,41430.0,41349.12,41430.0,96.0,97.0,96.38,96.0,59.0,60.0,59.88,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,101616.0,105463.0,103290.08,102810.0,72.0,75.0,73.0,73.0,84.0,87.0,85.69,86.0,327.78,5349.68,3129.99,5349.68,4.0,65.3,38.21,65.3,0.0,73.0,35.34,33.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,109.0,110.0,109.29,109.0,62.0,62.0,62.0,62.0,60.0,61.0,60.86,61.0,338.56,5294.46,4150.94,5294.46,4.13,64.63,50.67,64.63,0.0,63.0,49.54,63.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,128662.0,136791.0,131661.5,130864.5,91.0,92.0,91.11,91.0,87.0,89.0,87.44,87.0,338.56,5294.46,4648.21,5294.46,4.13,64.63,56.74,64.63,0.0,93.0,77.35,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,121732.0,126354.0,123202.67,122860.0,92.0,93.0,92.06,92.0,88.0,88.0,88.0,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,10.0,88759.0,33154.78,9409.5,58.0,70.0,63.38,63.0,64.0,84.0,70.66,65.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,102921.0,106282.0,104070.89,103935.0,72.0,73.0,72.78,73.0,83.0,86.0,84.67,85.0,338.56,5360.46,2694.34,456.46,4.13,65.44,32.89,5.57,0.0,72.0,27.88,0.5,
NVIDIA GeForce RTX 3070,combinator,84404.0,88085.0,85762.46,85461.0,60.0,79.0,67.77,62.0,73.0,76.0,74.46,74.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict2,131.0,131.0,131.0,131.0,60.0,61.0,60.67,61.0,61.0,61.0,61.0,61.0,356.11,5314.07,4212.41,5314.07,4.35,64.87,51.42,64.87,0.0,89.0,51.56,75.0,
NVIDIA GeForce RTX 3070,dict3,137013.0,140770.0,138522.11,138264.0,95.0,96.0,95.89,96.0,83.0,85.0,84.11,84.0,356.11,5314.07,4667.47,5314.07,4.35,64.87,56.98,64.87,0.0,96.0,80.35,95.0,
NVIDIA GeForce RTX 3070,dict4,136024.0,139313.0,137222.44,136665.0,89.0,96.0,95.56,96.0,83.0,85.0,84.39,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,16.0,5550.0,3438.22,5219.5,60.0,86.0,67.17,66.0,62.0,64.0,62.11,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,132708.0,133299.0,132937.89,132866.0,90.0,92.0,91.0,91.0,75.0,78.0,76.89,77.0,498.34,5529.68,2981.3,659.68,6.08,67.5,36.39,8.05,0.0,92.0,38.4,0.0,
NVIDIA GeForce RTX 3090,combinator,200199.0,203256.0,201356.38,201080.0,82.0,86.0,82.77,83.0,84.0,86.0,85.23,85.0,542.01,5663.34,3475.67,5663.34,2.21,23.04,14.14,23.04,0.0,79.0,34.68,33.0,
NVIDIA GeForce RTX 3090,dict2,165.0,167.0,166.25,166.5,69.0,76.0,72.5,72.5,74.0,75.0,74.25,74.0,499.91,5556.58,4559.19,5556.58,2.03,22.61,18.55,22.61,0.0,76.0,54.0,71.0,
NVIDIA GeForce RTX 3090,dict3,222340.0,227899.0,224388.0,223686.0,96.0,97.0,96.39,96.0,86.0,87.0,86.22,86.0,540.23,5599.84,4951.37,5599.84,2.2,22.79,20.15,22.79,0.0,97.0,79.83,96.0,
NVIDIA GeForce RTX 3090,force,15.0,4708.0,3121.82,4553.0,54.0,76.0,61.88,55.0,72.0,73.0,72.94,73.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,202707.0,205134.0,203665.22,203590.0,82.0,83.0,82.78,83.0,82.0,84.0,83.0,83.0,520.1,5644.77,4856.62,5644.77,2.12,22.97,19.76,22.97,0.0,90.0,59.46,75.0,
NVIDIA RTX A4000,combinator,121008.0,122357.0,121625.46,121499.0,92.0,93.0,92.92,93.0,82.0,86.0,84.54,85.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict2,165.0,166.0,165.75,166.0,54.0,76.0,70.5,76.0,74.0,74.0,74.0,74.0,743.42,5743.39,5076.86,5743.39,4.54,35.07,31.0,35.07,0.0,96.0,53.87,65.0,
NVIDIA RTX A4000,dict3,116224.0,116718.0,116444.67,116392.0,93.0,94.0,93.17,93.0,90.0,91.0,90.33,90.0,842.96,5842.93,3922.51,5842.93,5.15,35.68,23.95,35.68,0.0,96.0,53.18,95.0,
NVIDIA RTX A4000,dict4,116250.0,116641.0,116473.43,116641.0,88.0,93.0,91.57,93.0,90.0,91.0,90.29,90.0,829.45,5824.16,5374.38,5807.85,5.07,35.57,32.82,35.47,2.0,97.0,80.74,95.0,
NVIDIA RTX A4000,force,16.0,49640.0,23338.7,10459.0,54.0,77.0,72.56,75.0,74.0,83.0,77.44,76.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,120946.0,121857.0,121332.56,121303.0,93.0,93.0,93.0,93.0,82.0,85.0,83.67,84.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,93570.0,93906.0,93707.92,93661.0,15.0,95.0,83.5,95.0,65.0,67.0,66.0,66.0,5569.52,6884.86,6416.95,6876.83,34.1,42.2,39.34,42.2,0,0,0,0,
Radeon RX Vega,dict2,53.0,53.0,53.0,53.0,0.0,77.0,66.69,72.5,65.0,67.0,65.56,65.5,4741.88,6021.03,5784.75,6019.02,29.1,36.9,35.46,36.9,0,0,0,0,
Radeon RX Vega,dict3,93165.0,93439.0,93241.12,93235.0,15.0,95.0,86.82,95.0,71.0,72.0,71.76,72.0,5033.68,6364.26,6179.88,6362.02,30.9,39.0,37.89,39.0,0,0,0,0,
Radeon RX Vega,dict4,92693.0,93356.0,92857.67,92767.5,15.0,95.0,87.28,95.0,73.0,74.0,73.83,74.0,6720.14,7883.76,7687.1,7792.87,41.2,48.3,47.13,47.8,0,0,0,0,
Radeon RX Vega,force,5.0,5.0,5.0,5.0,22.0,73.0,62.5,72.0,59.0,60.0,59.38,59.0,7708.79,9197.79,8767.5,8878.1,47.3,56.4,53.75,54.4,0,0,0,0,
Radeon RX Vega,hybrid,92688.0,93477.0,93262.75,93352.0,15.0,95.0,71.62,94.0,58.0,59.0,58.75,59.0,8607.06,10276.99,9642.27,9292.42,52.8,63.0,59.12,57.0,0,0,0,0,
