GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,52477817.0,52499832.0,52488889.5,52487063.5,94.0,94.0,94.0,94.0,57.0,57.0,57.0,57.0,1616.2,4681.0,4162.93,4662.62,14.35,41.56,36.96,41.39,1.0,98.0,75.17,94.0,
NVIDIA GeForce GTX 1080 Ti,dict3,10617568.0,10747691.0,10668186.09,10646886.0,29.0,33.0,30.55,30.0,65.0,67.0,66.0,66.0,1107.35,2192.77,2046.24,2189.71,9.83,19.47,18.17,19.44,0.0,27.0,17.27,20.0,
NVIDIA GeForce GTX 1080 Ti,dict4,30395601.0,30638842.0,30576559.39,30611699.5,47.0,63.0,55.5,54.0,65.0,66.0,65.17,65.0,1138.88,2223.52,2082.62,2223.52,10.11,19.74,18.49,19.74,0.0,62.0,45.91,52.0,
NVIDIA GeForce GTX 1080 Ti,force,9438815.0,19415161.0,16809059.47,16315231.0,70.0,94.0,90.84,92.0,55.0,55.0,55.0,55.0,1148.79,4176.09,2496.77,1288.09,10.2,37.07,22.17,11.44,0.0,95.0,34.66,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,6298701.0,14607141.0,13064161.93,14351650.0,13.0,93.0,76.8,93.0,55.0,56.0,55.67,56.0,1132.6,4165.77,2448.38,1271.77,10.06,36.98,21.74,11.29,0.0,95.0,17.62,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,143128105.0,145083599.0,143851275.0,143677293.0,85.0,87.0,86.0,86.0,79.0,84.0,82.31,83.0,327.78,3337.68,1610.66,445.68,4.0,40.74,19.66,5.44,0.0,91.0,34.07,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,12218013.0,13416830.0,12532166.8,12332968.5,21.0,39.0,26.3,24.0,57.0,58.0,57.4,57.0,338.56,2070.46,1699.48,2070.46,4.13,25.27,20.75,25.27,0.0,44.0,17.93,17.5,
NVIDIA GeForce RTX 2080 SUPER,dict4,58465067.0,60348525.0,59010583.33,58740058.0,53.0,55.0,54.2,55.0,79.0,81.0,79.8,80.0,338.56,2070.46,1888.68,2070.46,4.13,25.27,23.06,25.27,0.0,59.0,47.63,55.0,
NVIDIA GeForce RTX 2080 SUPER,force,55814642.0,147620355.0,140238072.93,147049085.0,60.0,93.0,85.93,93.0,65.0,76.0,72.4,73.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,152774317.0,131447220.83,141692415.0,7.0,87.0,75.17,79.0,60.0,81.0,77.5,79.5,338.56,3348.46,1669.71,456.46,4.13,40.87,20.38,5.57,0.0,86.0,28.98,0.0,
NVIDIA GeForce RTX 3070,combinator,108943864.0,110347754.0,109345606.31,109189885.0,85.0,86.0,85.23,85.0,65.0,68.0,66.92,67.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,13382170.0,14203695.0,13863360.5,13920363.5,14.0,29.0,19.75,18.5,65.0,70.0,67.25,66.5,356.11,2058.07,1828.07,2058.07,4.35,25.12,22.32,25.12,0.0,27.0,12.92,14.0,
NVIDIA GeForce RTX 3070,dict4,61912993.0,62835377.0,62215228.77,62162947.0,44.0,68.0,55.54,53.0,71.0,74.0,72.62,73.0,356.11,2058.07,1826.07,2058.07,4.35,25.12,22.29,25.12,0.0,49.0,18.55,18.0,
NVIDIA GeForce RTX 3070,force,50626985.0,124959303.0,107037500.47,108876509.0,81.0,93.0,88.93,89.0,59.0,63.0,61.47,62.0,356.11,3378.07,1506.2,510.07,4.35,41.24,18.39,6.23,0.0,94.0,23.02,0.0,
NVIDIA GeForce RTX 3070,hybrid,8780325.0,95405179.0,76827829.23,88102310.0,14.0,83.0,63.77,80.0,57.0,65.0,62.77,64.0,495.0,3524.96,2020.65,648.96,6.04,43.03,24.67,7.92,0.0,99.0,33.48,0.0,
NVIDIA GeForce RTX 3090,combinator,258319805.0,260052243.0,258804896.38,258634070.0,90.0,91.0,90.08,90.0,79.0,83.0,81.46,81.0,499.16,3633.83,3111.53,3633.83,2.03,14.79,12.66,14.79,0.0,95.0,73.06,92.0,
NVIDIA GeForce RTX 3090,dict3,15103993.0,15886753.0,15558952.57,15603694.0,5.0,21.0,13.0,10.0,74.0,78.0,76.0,76.0,537.73,3553.34,2858.09,3553.34,2.19,14.46,11.63,14.46,0.0,21.0,7.92,9.0,
NVIDIA GeForce RTX 3090,force,195423081.0,230392788.0,227342478.69,230157801.0,92.0,96.0,92.69,92.0,73.0,78.0,75.62,76.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,9301114.0,167501657.0,152374813.83,165405007.0,16.0,80.0,69.17,77.0,66.0,78.0,75.08,75.5,520.1,3654.77,3184.71,3654.77,2.12,14.87,12.96,14.87,0.0,97.0,65.3,96.0,
NVIDIA RTX A4000,combinator,104331551.0,104997716.0,104510895.0,104428953.0,86.0,87.0,86.08,86.0,74.0,82.0,78.38,79.0,744.04,3800.01,2006.73,906.01,4.54,23.2,12.25,5.53,0.0,94.0,33.08,0.0,
