GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,112428760.0,112487034.0,112461347.5,112460349.0,88.0,93.0,91.75,92.0,59.0,59.0,59.0,59.0,1568.04,4605.12,4096.74,4599.38,13.92,40.88,36.37,40.83,0.0,96.0,73.72,92.0,
NVIDIA GeForce GTX 1080 Ti,dict3,21389597.0,21584247.0,21498042.5,21509163.0,25.0,28.0,26.75,27.0,66.0,67.0,66.75,67.0,1145.16,2227.52,1867.0,2227.52,10.17,19.78,16.57,19.78,0.0,20.0,11.33,15.0,
NVIDIA GeForce GTX 1080 Ti,dict4,26762843.0,30501894.0,28223108.06,27863167.5,20.0,35.0,31.33,34.0,53.0,62.0,56.22,55.0,1138.88,2223.52,2082.62,2223.52,10.11,19.74,18.49,19.74,0.0,35.0,23.0,27.0,
NVIDIA GeForce GTX 1080 Ti,force,8502080.0,77900947.0,66006975.18,77600330.0,44.0,93.0,82.53,90.0,53.0,54.0,53.94,54.0,1149.44,4176.4,2961.56,4176.4,10.2,37.08,26.29,37.08,0.0,96.0,45.29,28.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,9669230.0,47311351.0,40199704.0,45303373.0,17.0,95.0,82.08,94.0,52.0,53.0,52.85,53.0,1146.19,4172.84,3170.84,4172.84,10.18,37.05,28.15,37.05,0.0,97.0,42.11,12.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,330173497.0,340287388.0,334117849.31,333773344.0,89.0,90.0,89.62,90.0,84.0,87.0,85.38,86.0,327.78,3333.68,2087.57,3333.68,4.0,40.69,25.48,40.69,0.0,92.0,46.29,51.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,23519894.0,25123775.0,24002831.5,23683828.5,23.0,28.0,26.75,28.0,59.0,59.0,59.0,59.0,338.56,2070.46,1300.94,2070.46,4.13,25.27,15.88,25.27,0.0,29.0,10.22,12.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,51350621.0,60164468.0,54421505.41,53833847.0,25.0,37.0,32.53,34.0,63.0,72.0,65.29,64.0,338.56,2070.46,1834.38,2070.46,4.13,25.27,22.39,25.27,0.0,41.0,28.09,32.0,
NVIDIA GeForce RTX 2080 SUPER,force,284779081.0,490099736.0,463331804.78,468682689.0,63.0,95.0,90.09,94.0,74.0,86.0,83.96,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,321780271.0,361983531.0,345290449.47,344585478.0,55.0,92.0,86.79,92.0,77.0,87.0,84.53,85.0,338.56,3344.46,2052.21,3344.46,4.13,40.83,25.05,40.83,0.0,93.0,39.78,26.0,
NVIDIA GeForce RTX 3070,combinator,583691217.0,585360753.0,584186969.0,583916163.0,87.0,90.0,89.77,90.0,74.0,79.0,77.0,77.0,356.11,3378.07,2137.97,3378.07,4.35,41.24,26.1,41.24,0.0,92.0,47.68,81.0,
NVIDIA GeForce RTX 3070,dict3,48312471.0,48312471.0,48312471.0,48312471.0,14.0,14.0,14.0,14.0,71.0,71.0,71.0,71.0,356.11,2058.07,1490.91,2058.07,4.35,25.12,18.2,25.12,0.0,17.0,7.33,5.5,
NVIDIA GeForce RTX 3070,dict4,193117780.0,194906110.0,194173218.33,194495765.0,40.0,42.0,41.33,42.0,76.0,77.0,76.67,77.0,356.11,2058.07,1301.86,2058.07,4.35,25.12,15.89,25.12,0.0,41.0,20.56,27.0,
NVIDIA GeForce RTX 3070,force,394097002.0,835019819.0,802786903.39,831355524.5,89.0,96.0,94.5,95.0,69.0,78.0,74.56,75.0,356.11,3378.07,2215.54,3378.07,4.35,41.24,27.05,41.24,0.0,94.0,50.3,84.0,
NVIDIA GeForce RTX 3070,hybrid,11612693.0,618070493.0,484860969.53,482673053.0,4.0,93.0,67.95,78.0,61.0,76.0,71.47,71.0,489.27,3511.23,2426.14,3511.23,5.97,42.86,29.62,42.86,0.0,93.0,35.28,6.5,
NVIDIA GeForce RTX 3090,combinator,975177397.0,983046190.0,978279952.89,977573061.0,91.0,92.0,91.33,91.0,82.0,83.0,82.67,83.0,499.16,3621.83,3101.53,3621.83,2.03,14.74,12.62,14.74,0.0,93.0,69.94,88.0,
NVIDIA GeForce RTX 3090,dict3,53384457.0,53384457.0,53384457.0,53384457.0,9.0,9.0,9.0,9.0,78.0,78.0,78.0,78.0,541.67,3553.34,2262.72,3553.34,2.2,14.46,9.21,14.46,0.0,13.0,5.29,0.0,
