GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,881.0,882.0,881.14,881.0,99.0,100.0,99.14,99.0,58.0,59.0,58.43,58.0,1925.35,9676.39,8305.46,9549.7,17.09,85.91,73.73,84.78,0.0,100.0,77.28,99.0,
NVIDIA GeForce GTX 1080 Ti,dict1,93.0,93.0,93.0,93.0,99.0,99.0,99.0,99.0,59.0,59.0,59.0,59.0,1626.25,9091.54,7594.27,9083.79,14.44,80.71,67.42,80.64,2.0,100.0,70.3,99.0,
NVIDIA GeForce GTX 1080 Ti,dict2,10.0,12.0,11.07,11.0,99.0,100.0,99.33,99.0,52.0,57.0,54.6,56.0,1522.14,8986.79,8013.32,8986.79,13.51,79.78,71.14,79.78,0.0,100.0,82.74,99.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1085.0,1087.0,1085.88,1086.0,99.0,100.0,99.19,99.0,72.0,72.0,72.0,72.0,1105.38,8570.02,7552.37,8570.02,9.81,76.08,67.05,76.08,0.0,100.0,85.59,99.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1084.0,1086.0,1085.29,1085.0,99.0,100.0,99.12,99.0,72.0,73.0,72.06,72.0,1147.31,8611.96,7638.54,8611.96,10.19,76.46,67.81,76.46,0.0,100.0,84.43,99.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,99.0,100.0,99.5,99.5,55.0,56.0,55.12,55.0,1144.98,8675.65,4635.29,1330.32,10.16,77.02,41.15,11.81,0.0,99.0,44.77,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,353.0,354.0,353.57,354.0,93.0,100.0,98.86,100.0,57.0,58.0,57.71,58.0,1137.56,8670.21,4624.61,1276.21,10.1,76.97,41.06,11.33,0.0,100.0,40.59,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1621.0,1625.0,1623.5,1624.0,99.0,99.0,99.0,99.0,79.0,84.0,82.58,83.0,327.78,6781.68,3984.35,6781.68,4.0,82.78,48.64,82.78,0.0,99.0,50.63,66.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,125.0,125.0,125.0,125.0,99.0,99.0,99.0,99.0,60.0,60.0,60.0,60.0,327.78,6715.68,2931.29,445.68,4.0,81.98,35.78,5.44,0.0,99.0,35.45,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,13.0,13.0,13.0,13.0,99.0,99.0,99.0,99.0,61.0,61.0,61.0,61.0,338.56,6726.46,5893.34,6726.46,4.13,82.11,71.94,82.11,0.0,99.0,82.09,98.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1586.0,1620.0,1599.75,1598.0,98.0,99.0,98.94,99.0,84.0,86.0,85.19,85.0,338.56,6726.46,5893.43,6726.46,4.13,82.11,71.94,82.11,0.0,99.0,80.39,99.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1515.0,1540.0,1523.19,1520.5,99.0,99.0,99.0,99.0,86.0,89.0,86.94,87.0,338.56,6726.46,5893.34,6726.46,4.13,82.11,71.94,82.11,0.0,99.0,82.22,99.0,
