GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,879.0,882.0,880.86,881.0,99.0,100.0,99.29,99.0,58.0,59.0,58.14,58.0,1580.85,9167.69,7873.77,9123.66,14.03,81.39,69.9,81.0,1.0,100.0,83.11,99.0,
NVIDIA GeForce GTX 1080 Ti,dict1,93.0,93.0,93.0,93.0,99.0,99.0,99.0,99.0,58.0,58.0,58.0,58.0,1640.21,9104.86,7069.2,9104.86,14.56,80.83,62.76,80.83,2.0,100.0,64.09,99.0,
NVIDIA GeForce GTX 1080 Ti,dict2,11.0,12.0,11.24,11.0,99.0,100.0,99.24,99.0,58.0,60.0,58.24,58.0,1652.64,9117.29,8099.6,9117.29,14.67,80.94,71.91,80.94,0.0,100.0,81.09,99.0,
NVIDIA GeForce GTX 1080 Ti,dict3,969.0,974.0,970.82,970.0,99.0,100.0,99.41,99.0,76.0,77.0,76.18,76.0,1142.88,8607.52,7634.1,8607.52,10.15,76.42,67.77,76.42,0.0,100.0,81.87,99.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1085.0,1086.0,1085.53,1086.0,99.0,100.0,99.12,99.0,71.0,72.0,71.29,71.0,1145.81,8610.46,7637.04,8610.46,10.17,76.44,67.8,76.44,0.0,100.0,81.87,99.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,99.0,100.0,99.12,99.0,53.0,53.0,53.0,53.0,1149.44,8680.09,4273.55,1288.09,10.2,77.06,37.94,11.44,0.0,100.0,38.12,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,352.0,356.0,354.86,355.0,99.0,100.0,99.86,100.0,54.0,54.0,54.0,54.0,1146.19,8678.84,4287.01,1284.84,10.18,77.05,38.06,11.41,0.0,100.0,36.7,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1621.0,1632.0,1626.58,1627.5,99.0,99.0,99.0,99.0,80.0,85.0,83.33,83.5,327.78,6781.68,3321.59,445.68,4.0,82.78,40.55,5.44,0.0,99.0,42.79,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,126.0,126.0,126.0,126.0,99.0,99.0,99.0,99.0,58.0,59.0,58.6,59.0,327.78,6715.68,2533.89,445.68,4.0,81.98,30.93,5.44,0.0,99.0,29.67,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,13.0,13.0,13.0,13.0,99.0,99.0,99.0,99.0,62.0,62.0,62.0,62.0,338.56,6726.46,5855.47,6726.46,4.13,82.11,71.48,82.11,0.0,99.0,84.23,99.0,
