GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2665109209.0,2665109209.0,2665109209.0,2665109209.0,47.0,47.0,47.0,47.0,58.0,58.0,58.0,58.0,1909.32,4941.37,3123.66,1918.16,16.95,43.87,27.73,17.03,0.0,73.0,29.0,1.0,
NVIDIA GeForce GTX 1080 Ti,force,705719095.0,24214840819.0,8102665281.5,3745050606.0,92.0,99.0,96.0,96.5,63.0,65.0,63.75,63.5,1144.29,4171.65,2536.31,1283.65,10.16,37.04,22.52,11.4,0.0,98.0,17.0,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,3675478041.0,3675478041.0,3675478041.0,3675478041.0,28.0,28.0,28.0,28.0,63.0,63.0,63.0,63.0,1133.12,4159.77,2688.42,2715.77,10.06,36.93,23.87,24.11,0.0,96.0,24.5,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,35167571.0,41203078.0,38185324.5,38185324.5,2.0,2.0,2.0,2.0,62.0,62.0,62.0,62.0,338.56,3278.46,2020.05,3278.46,4.13,40.02,24.66,40.02,0.0,33.0,9.57,1.0,
NVIDIA GeForce RTX 2080 SUPER,force,357641007.0,44321294227.0,18025407948.5,13711348280.0,35.0,55.0,45.0,45.0,67.0,68.0,67.25,67.0,338.56,3344.46,1380.04,456.46,4.13,40.83,16.85,5.57,0.0,55.0,16.22,1.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,808544690.0,454840829.2,708540570.0,0.0,38.0,11.6,9.0,58.0,61.0,59.6,59.0,338.56,3344.46,2532.97,3344.46,4.13,40.83,30.92,40.83,0.0,44.0,15.28,5.5,
NVIDIA GeForce RTX 3070,dict3,38321309.0,40866195.0,39593752.0,39593752.0,1.0,1.0,1.0,1.0,70.0,70.0,70.0,70.0,356.11,3312.07,2467.65,3312.07,4.35,40.43,30.12,40.43,0.0,18.0,3.0,1.0,
NVIDIA GeForce RTX 3070,force,509686013.0,102214198600.0,41791678199.75,32221414093.0,27.0,82.0,58.5,62.5,60.0,62.0,61.5,62.0,356.11,3378.07,1414.86,510.07,4.35,41.24,17.27,6.23,0.0,41.0,8.22,0.0,
NVIDIA GeForce RTX 3070,hybrid,0.0,916212842.0,517066013.8,813953020.0,0.0,95.0,27.8,12.0,63.0,64.0,63.4,63.0,495.0,3516.96,2390.28,3516.96,6.04,42.93,29.18,42.93,0.0,93.0,13.77,0.0,
NVIDIA GeForce RTX 3090,dict3,41828370.0,41828370.0,41828370.0,41828370.0,1.0,1.0,1.0,1.0,79.0,79.0,79.0,79.0,540.61,3597.34,2724.19,3597.34,2.2,14.64,11.08,14.64,0.0,24.0,4.0,1.0,
NVIDIA GeForce RTX 3090,force,0.0,97845028461.0,27571351118.4,6927126939.0,7.0,77.0,30.0,24.0,71.0,74.0,72.4,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,10789001.0,1888664547.0,942513053.8,716897061.0,0.0,89.0,25.4,13.0,71.0,75.0,73.0,73.0,419.93,3542.6,3062.29,3542.6,1.71,14.41,12.46,14.41,0.0,45.0,10.92,2.0,
NVIDIA RTX A4000,dict3,37877684.0,40502598.0,39190141.0,39190141.0,1.0,1.0,1.0,1.0,84.0,84.0,84.0,84.0,869.02,3867.3,2215.02,1050.86,5.31,23.62,13.53,6.42,0.0,30.0,5.07,1.5,
NVIDIA RTX A4000,force,308446396.0,78357786277.0,25309151070.25,11285185804.0,25.0,90.0,59.25,61.0,70.0,71.0,70.25,70.0,743.73,3793.7,1814.71,905.7,4.54,23.17,11.08,5.53,0.0,44.0,9.11,0.0,
NVIDIA RTX A4000,hybrid,10693559.0,11821759566.0,5916226562.5,5916226562.5,0.0,95.0,47.5,47.5,76.0,76.0,76.0,76.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,540839809.0,544996886.0,542660853.25,542403359.0,1.0,43.0,31.5,41.0,65.0,66.0,65.75,66.0,5670.7,6935.07,6242.47,5994.46,34.8,42.5,38.27,36.75,0,0,0,0,
Radeon RX Vega,dict4,431639160.0,431639160.0,431639160.0,431639160.0,17.0,17.0,17.0,17.0,71.0,71.0,71.0,71.0,6613.68,7938.95,7277.31,6902.36,40.5,48.7,44.6,42.3,0,0,0,0,
Radeon RX Vega,force,525720516.0,38728615806.0,20621598393.75,21616028626.5,4.0,21.0,15.5,18.5,57.0,58.0,57.5,57.5,,,,,,,,,,,,,
Radeon RX Vega,hybrid,470917880.0,482384522.0,476651201.0,476651201.0,8.0,13.0,10.5,10.5,57.0,57.0,57.0,57.0,7846.11,9466.55,8628.41,8434.07,48.1,58.0,52.88,51.7,0,0,0,0,
