GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2272432730.0,2505170422.0,2365481920.22,2341138706.0,50.0,55.0,53.44,54.0,58.0,60.0,58.78,58.0,1449.38,4540.17,3233.85,4533.48,12.87,40.31,28.71,40.25,1.0,98.0,40.14,2.0,
NVIDIA GeForce GTX 1080 Ti,dict4,778653634.0,778653634.0,778653634.0,778653634.0,30.0,30.0,30.0,30.0,65.0,65.0,65.0,65.0,1145.16,4099.52,2917.91,4099.52,10.17,36.39,25.9,36.39,0.0,40.0,13.8,0.0,
NVIDIA GeForce GTX 1080 Ti,force,65270079.0,5527576630.0,4117106152.89,5388731253.0,45.0,95.0,60.11,47.0,53.0,53.0,53.0,53.0,1140.73,4171.65,1711.79,1283.65,10.13,37.04,15.2,11.4,0.0,97.0,8.38,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,604616223.0,1311468645.0,1107948328.13,1281949730.0,18.0,50.0,39.33,48.0,53.0,54.0,53.07,53.0,1140.66,4169.9,2329.91,1281.9,10.13,37.02,20.68,11.38,0.0,53.0,12.75,1.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,8401984584.0,8563280820.0,8487762364.33,8498021689.0,52.0,56.0,53.33,52.0,75.0,75.0,75.0,75.0,327.78,3333.68,2262.14,3333.68,4.0,40.69,27.61,40.69,0.0,46.0,22.91,29.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,35242234.0,41642162.0,38442198.0,38442198.0,2.0,2.0,2.0,2.0,53.0,55.0,54.0,54.0,338.56,3278.46,2438.63,3278.46,4.13,40.02,29.77,40.02,0.0,28.0,9.29,1.0,
NVIDIA GeForce RTX 2080 SUPER,force,544472218.0,56218515768.0,23844281591.0,19307069189.0,45.0,56.0,50.5,50.5,62.0,66.0,64.25,64.5,338.56,3344.46,764.32,456.46,4.13,40.83,9.33,5.57,0.0,56.0,5.56,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,0.0,14264982293.0,11191430312.25,13776354388.0,35.0,65.0,55.88,61.0,64.0,76.0,72.38,74.0,338.56,3344.46,1876.98,1900.46,4.13,40.83,22.91,23.2,0.0,56.0,9.5,0.5,
NVIDIA GeForce RTX 3070,dict3,38533174.0,40154485.0,39343829.5,39343829.5,1.0,1.0,1.0,1.0,58.0,58.0,58.0,58.0,356.11,3312.07,2229.5,3312.07,4.35,40.43,27.22,40.43,0.0,18.0,3.14,1.0,
NVIDIA GeForce RTX 3070,force,464895374.0,62086967370.0,26590225607.75,21904519843.5,17.0,87.0,51.5,51.0,62.0,62.0,62.0,62.0,356.11,3378.07,816.26,510.07,4.35,41.24,9.96,6.23,0.0,88.0,7.44,0.0,
NVIDIA GeForce RTX 3070,hybrid,11058423086.0,17834213939.0,14446318512.5,14446318512.5,31.0,78.0,54.5,54.5,66.0,69.0,67.5,67.5,436.8,3451.26,1825.82,586.26,5.33,42.13,22.29,7.16,0.0,57.0,8.78,0.0,
