GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2880292758.0,2971416765.0,2931361230.75,2939288460.5,94.0,95.0,94.5,94.5,68.0,72.0,69.5,68.5,1453.77,4547.54,3943.91,4497.66,12.91,40.37,35.01,39.93,1.0,94.0,68.38,93.0,
NVIDIA GeForce GTX 1080 Ti,dict4,277410586.0,277410586.0,277410586.0,277410586.0,39.0,39.0,39.0,39.0,68.0,68.0,68.0,68.0,1145.16,2230.84,1920.63,2230.46,10.17,19.81,17.05,19.8,0.0,44.0,23.29,33.0,
NVIDIA GeForce GTX 1080 Ti,force,104127112.0,1605953218.0,1430673454.18,1596179530.0,68.0,97.0,92.71,94.0,56.0,58.0,57.59,58.0,1144.29,4171.65,2957.96,4171.65,10.16,37.04,26.26,37.04,0.0,96.0,35.59,5.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,1024681187.0,1471902736.0,1391258616.14,1470503818.5,27.0,95.0,83.43,94.0,55.0,58.0,57.29,58.0,1139.16,4168.4,2517.74,1280.4,10.11,37.01,22.35,11.37,0.0,95.0,18.25,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3983235594.0,4087161062.0,4036977538.29,4044977304.0,85.0,94.0,92.71,94.0,84.0,86.0,85.43,86.0,327.78,3333.68,2253.91,3333.68,4.0,40.69,27.51,40.69,0.0,54.0,32.31,49.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,326669779.0,326669779.0,326669779.0,326669779.0,34.0,34.0,34.0,34.0,70.0,70.0,70.0,70.0,338.56,2070.46,1421.24,2070.46,4.13,25.27,17.35,25.27,0.0,34.0,20.38,25.0,
NVIDIA GeForce RTX 2080 SUPER,force,336764459.0,4565630100.0,3628235442.33,4291497211.0,64.0,94.0,82.11,89.0,68.0,85.0,78.78,79.0,338.56,3344.46,1724.33,843.46,4.13,40.83,21.05,10.3,0.0,94.0,34.07,18.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2466327023.0,4196116107.0,3615095679.0,4182843907.0,39.0,75.0,60.33,67.0,67.0,80.0,75.33,79.0,338.56,3344.46,1256.48,456.46,4.13,40.83,15.34,5.57,0.0,52.0,14.0,0.0,
NVIDIA GeForce RTX 3070,combinator,4201929318.0,4201929318.0,4201929318.0,4201929318.0,96.0,96.0,96.0,96.0,74.0,74.0,74.0,74.0,356.11,3378.07,1368.92,510.07,4.35,41.24,16.71,6.23,0.0,89.0,25.46,0.0,
NVIDIA GeForce RTX 3070,dict4,264880959.0,264926230.0,264903594.5,264903594.5,14.0,19.0,16.5,16.5,60.0,60.0,60.0,60.0,356.11,2058.07,1328.94,2058.07,4.35,25.12,16.22,25.12,0.0,17.0,7.86,12.0,
